,business_id,count,name_biz,stars_biz,address,neighborhood,latitude,longitude
0,4JNXUYY8wbaaDmk3BPzlWw,474,Mon Ami Gabi,4.0,3655 Las Vegas Blvd S,The Strip,36.1128270642,-115.172581497
1,7sPNbCx7vGAaH7SbNPZ6oA,450,Bachi Burger,4.0,"470 E Windmill Ln, Ste 100",Southeast,36.0427979056,-115.153225035
2,RESDUcs7fIiihp38-d6_6g,446,Bacchanal Buffet,4.0,"Caesars Palace Las Vegas Hotel And Casino, 3570 Las Vegas Boulevard South",The Strip,36.1158543432,-115.176174388
3,K7lWdNUhCbcnEvI0NhGewg,432,Wicked Spoon,3.5,"The Cosmopolitan Of Las Vegas, 3708 Las Vegas Blvd S",The Strip,36.1098756593,-115.175163842
4,iCQpiavjjPzJ5_3gPD5Ebg,421,Secret Pizza,4.0,"The Cosmopolitan Of Las Vegas, 3708 Las Vegas Blvd S",The Strip,36.1099136471,-115.176315898
5,UPIYuRaZvknINOd1w8kqRQ,417,Monta Ramen,4.0,"5030 Spring Mountain Rd, Ste 6",Chinatown,36.1270432,-115.2096534
6,g8OnV26ywJlZpezdBnOWUQ,416,Hash House A Go Go,4.0,6800 W Sahara Ave,Westside,36.144667,-115.239955
7,KskYqH1Bi7Z_61pH6Om8pg,413,Lotus of Siam,4.0,"953 E Sahara Ave, Ste A5",Eastside,36.14345,-115.14278
8,JyxHvtj-syke7m9rbza7mA,375,Sushi House Goyemon,3.5,"5255 S Decatur Blvd, Ste118",,36.0950586541,-115.208877933
9,DkYS3arLOhA8si5uUEmHOw,372,Earl of Sandwich,4.5,3667 Las Vegas Blvd S,The Strip,36.109361,-115.171877
10,A5Rkh7UymKm0_Rxm9K2PJw,347,Yard House Town Square,4.0,6593 Las Vegas Blvd S,Southeast,36.0684267393,-115.178000895
11,yfxDa8RFOvJPQh0rNtakHA,344,Pho Kim Long,3.5,4029 Spring Mountain Rd,Chinatown,36.1261943318,-115.193445287
12,fL-b760btOaGa85OJ9ut3w,328,Rollin Smoke Barbeque,4.5,3185 S Highland Dr,,36.1321763,-115.177067
13,zdE82PiD6wquvjYLyhOJNA,320,KoMex Fusion,4.5,"633 N Decatur Blvd, Ste H",,36.179939,-115.206417
15,P7pxQFqr7yBKMMI2J51udw,320,Holsteins Shakes and Buns,4.0,3708 Las Vegas Blvd S,The Strip,36.1097544,-115.1738726
16,igHYkXZMLAc9UdV5VnR_AA,320,Echo & Rig,4.5,440 S Rampart Blvd,Westside,36.166576,-115.286232
18,j5nPiTwWEFr-VsePew7Sjg,301,Ichiza,4.0,4355 Spring Mountain Rd,Chinatown,36.125908,-115.197904
20,4k3RlMAMd46DZ_JyZU0lMg,301,Ramen Sora,4.0,4490 Spring Mountain Rd,Chinatown,36.1265262,-115.2017756
21,XXW_OFaYQkkGOGniujZFHg,293,The Peppermill Restaurant & Fireside Lounge,4.0,2985 Las Vegas Blvd S,The Strip,36.1336130336,-115.163122017
22,cYwJA2A6I12KNkm2rtXd5g,291,Gordon Ramsay BurGR,4.0,3667 Las Vegas Blvd S,The Strip,36.110724,-115.172169
23,uW6UHfONAmm8QttPkbMewQ,290,Island Flavor,4.5,8090 S Durango Dr,Southwest,36.0417787776,-115.278213657
24,2weQS-RnoOBhb1KsHKyoSQ,283,The Buffet,3.5,"Wynn Las Vegas, 3131 Las Vegas Blvd S",The Strip,36.1268872232,-115.165590048
25,3GEEy7RP6e4bT4LAiWFMFQ,277,Pizza Rock,4.0,201 N 3rd St,Downtown,36.1718303,-115.1420069
27,3BCsAgo_1i4xMuTyLKMLRQ,276,SkinnyFATS,4.5,6261 Dean Martin Dr,,36.0758571125,-115.181633346
28,IMLrj2klosTFvPRLv56cng,274,Honey Salt,4.0,1031 S Rampart Blvd,Westside,36.160577,-115.292996
