Year,Rank,Name,College,Conference,Games,Punts,Punt_Yards,Avg_Punt
2000,1,Brian Morton,Duke,ACC,11,77,3478,45.2
2000,2,Preston Gruening,Minnesota,Big Ten,11,46,2080,45.2
2000,3,Brooks Barnard,Maryland,ACC,11,49,2191,44.7
2000,4,Kevin Stemke,Wisconsin,Big Ten,13,69,3070,44.5
2000,5,Dave Zastudil,Ohio,MAC,11,47,2084,44.3
2000,6,Casey Roussel,Tulane,CUSA,11,59,2609,44.2
2000,7,Dan Hadenfeldt,Nebraska,Big 12,11,39,1708,43.8
2000,8,Jeff Ferguson,Oklahoma,Big 12,13,56,2437,43.5
2000,9,Aaron Edmonds,Brigham Young,MWC,12,67,2898,43.3
2000,10,Alan Rhine,Florida,SEC,12,47,2035,43.3
2000,11,Nate Fikse,UCLA,Pac-10,11,72,3109,43.2
2000,12,Damon Duval,Auburn,SEC,12,65,2811,43.2
2000,13,Freddie Capshaw,Miami (FL),Big East,11,49,2119,43.2
2000,14,Richie Butler,Arkansas,SEC,11,65,2784,42.8
2000,15,Brian Simnjamovski,San Diego State,MWC,11,55,2356,42.8
2000,16,Brian Simnjanovski,San Diego State,MWC,11,55,2356,42.8
2000,17,Mike Abrams,Virginia,ACC,11,65,2768,42.6
2000,18,Jason Baker,Iowa,Big Ten,12,74,3145,42.5
2000,19,Tom Waring,Wyoming,MWC,11,59,2502,42.4
2000,20,Jonathan Kilgo,Georgia,SEC,11,58,2450,42.2
2000,21,Matt Brennie,Wake Forest,ACC,11,63,2648,42
2000,22,Jeff Edwards,Boise State,Big West,11,47,1975,42
2000,23,Kent McCullough,Miami (OH),MAC,11,56,2344,41.9
2000,24,B.J. Sander,Ohio State,Big Ten,12,37,1549,41.9
2000,25,Travis Hale,Rice,WAC,11,54,2256,41.8
2000,26,Dan Dyke,Georgia Tech,ACC,11,34,1420,41.8
2000,27,Nick Avondet,Eastern Michigan,MAC,11,71,2954,41.6
2000,28,Nick Harris,California,Pac-10,11,73,3030,41.5
2000,29,Steve Mullins,Utah State,Big West,11,64,2647,41.4
2000,30,Mike Masucci,Buffalo,MAC,8,38,1575,41.4
2000,31,Nick Murphy,Arizona State,Pac-10,12,86,3551,41.3
2000,32,Mark Haulman,Southern Mississippi,CUSA,11,76,3140,41.3
2000,33,Ray Cheetany,Nevada-Las Vegas,MWC,12,64,2646,41.3
2000,34,Prentiss Cole,Mississippi State,SEC,11,63,2601,41.3
2000,35,Mark Fazzolari,West Virginia,Big East,11,60,2479,41.3
2000,36,Glen Beard,Texas-El Paso,WAC,11,54,2229,41.3
2000,37,Keith Cottrell,Florida State,ACC,12,48,1983,41.3
2000,38,Devin Sanderson,South Florida,Ind,11,47,1933,41.1
2000,39,J.J. Standring,Northwestern,Big Ten,12,74,3024,40.9
2000,40,Adam Wulfeck,Cincinnati,CUSA,12,61,2492,40.9
2000,41,Joey Hildbold,Notre Dame,Ind,10,60,2456,40.9
2000,42,David Leaverton,Tennessee,SEC,11,59,2415,40.9
2000,43,Steve Fitts,Illinois,Big Ten,11,52,2128,40.9
2000,44,Mike Shafer,Syracuse,Big East,11,51,2086,40.9
2000,45,Craig Jarrett,Michigan State,Big Ten,11,62,2528,40.8
2000,46,Dallas Thompson,Air Force,MWC,11,50,2040,40.8
2000,47,Kurtis Doerr,Oregon,Pac-10,12,68,2768,40.7
2000,48,Curtis Head,Marshall,MAC,12,60,2444,40.7
2000,49,Lane Bearden,Alabama,SEC,11,60,2443,40.7
2000,50,Colin Vadheim,Southern Methodist,WAC,12,67,2717,40.6
2000,51,Adam Coles,Connecticut,Ind,11,56,2267,40.5
2000,52,Jared Fritz,Kent State,MAC,11,72,2908,40.4
2000,53,Kevin Miller,East Carolina,CUSA,11,30,1212,40.4
2000,54,Pat Fleming,Bowling Green State,MAC,11,58,2340,40.3
2000,55,Andy Kohl,New Mexico State,Big West,11,50,2017,40.3
2000,56,Cody Scates,Texas A&M,Big 12,11,52,2089,40.2
2000,57,Hayden Epstein,Michigan,Big Ten,11,51,2050,40.2
2000,58,Adam Stiles,Baylor,Big 12,11,81,3248,40.1
2000,59,Ben Graves,Memphis,CUSA,11,78,3125,40.1
2000,60,Mike Fessler,Oregon State,Pac-10,12,68,2726,40.1
2000,61,Ross Stewart,Alabama-Birmingham,CUSA,11,58,2326,40.1
2000,62,Reagan King,Mississippi,SEC,11,56,2247,40.1
2000,63,Chris Sivori,Louisville,CUSA,11,55,2204,40.1
2000,64,Patrick Fleming,Bowling Green State,MAC,10,59,2360,40
2000,65,Javier Beorlegui,Central Florida,Ind,11,45,1802,40
2000,66,Jared Gilpin,Missouri,Big 12,11,65,2587,39.8
2000,67,Cort Moffitt,New Mexico,MWC,12,86,3411,39.7
2000,68,Kevin McMyler,Boston College,Big East,11,63,2503,39.7
2000,69,Andy Jerdon,Akron,MAC,11,51,2021,39.6
2000,70,Brian Brandt,Central Michigan,MAC,11,87,3440,39.5
2000,71,Derek Jones,Nevada,WAC,12,79,3119,39.5
2000,72,Clinton Greathouse,Texas Tech,Big 12,8,36,1422,39.5
2000,73,Tyeler Dean,South Carolina,SEC,12,53,2087,39.4
2000,74,Casey Lipscomb,Tulsa,WAC,12,64,2515,39.3
2000,75,Jamie Somaini,Clemson,ACC,11,60,2360,39.3
2000,76,Brian Williams,Navy,Ind,11,58,2275,39.2
2000,77,Andy Lee,Pittsburgh,Big East,11,30,1177,39.2
2000,78,Mike Clark,Houston,CUSA,11,76,2972,39.1
2000,79,Mike Macgillivray,Southern California,Pac-10,12,58,2267,39.1
2000,80,Joey Huber,Colorado State,MWC,11,52,2035,39.1
2000,81,David Royer,Penn State,Big Ten,12,62,2411,38.9
2000,82,Kris Stockton,Texas,Big 12,11,54,2100,38.9
2000,83,Joe Webb,Vanderbilt,SEC,11,64,2473,38.6
2000,84,Golden Whetman,Utah,MWC,11,63,2432,38.6
2000,85,Carl Gomez,Iowa State,Big 12,11,56,2163,38.6
2000,86,Joey Pelfanio,Kansas,Big 12,11,65,2505,38.5
2000,87,Travis Brown,Kansas State,Big 12,13,51,1966,38.5
2000,88,Matt Steffen,Western Michigan,MAC,12,45,1731,38.5
2000,89,Alan Cox,Washington State,Pac-10,11,71,2726,38.4
2000,90,Mat McBriar,Hawaii,WAC,8,43,1647,38.3
2000,91,Jason Ball,North Texas,Big West,11,75,2865,38.2
2000,92,Dan Macelroy,Army,CUSA,11,59,2254,38.2
2000,93,Jeremy Flores,Colorado,Big 12,11,59,2247,38.1
2000,94,Donnie Jones,Louisiana State,SEC,11,57,2174,38.1
2000,95,Ryan Fleming,Washington,Pac-10,11,55,2094,38.1
2000,96,Jimmy Erwin,Northern Illinois,MAC,11,44,1675,38.1
2000,97,Michael Carr,San Jose State,WAC,12,61,2313,37.9
2000,98,Brandon Hannum,Toledo,MAC,11,55,2083,37.9
