source_name,review_date,critic_name,review_detail
PopMatters," February 9, 2017",Elena Razlogova," Loach's downtrodden heroes usually find some way to sustain hope, in family or in humor, in individual ingenuity or collective kindness. But this time, the filmmaker's own anger at systemic, interminable inequities threatens to overcome his optimism."
The Atlantic," February 9, 2017",David Sims," There's a heightened edge to I, Daniel Blake, an embittered streak of comedy that keeps the otherwise miserable plot from weighing too heavily."
South China Morning Post," February 3, 2017",James Mottram," Frank, unsentimental but fuelled by good nature and an earthy humour, the film reminds you of Loach's great works in the early '90s like Raining Stones and Ladybird, Ladybird."
Associated Press," January 6, 2017",Jocelyn Noveck," In the end, the title, seemingly unremarkable, reveals itself as especially poignant. Daniel is crying out for recognition as an ""I"" -- even if he can't contribute, even if he needs help for a while. "
Rolling Stone," January 6, 2017",Peter Travers," This new Ken Loach landmark sums up everything that has kept his muckraking motor running for decades. An old-school social realist, the 80-year-old filmmaker again speaks up for the exploited lower classes,"
Paste Magazine," January 5, 2017",Brogan Morris," If you want reality -- if you want an idea, for one, as to how the British people could become so despairing that they would do something as drastic as vote to leave the European Union -- see I, Daniel Blake."
Entertainment Weekly," January 5, 2017",Chris Nashawaty, Loach's film isn't as stridently political as it probably sounds. These are just proud people who want to be treated with respect.
Common Sense Media," January 3, 2017",Barbara Shulgasser, Grim drama about heartless welfare system; language. 
The Young Folks," January 1, 2017",Gary Shannon," Ken Loach's I, Daniel Blake is so unyieldingly empathetic that even its bleakest moments carry an air of triumph. "
PopMatters," December 30, 2016",Alex Ramon," I, Daniel Blake undoubtedly has its heart in the right place; it's a shame that Loach and Laverty's good intentions haven't resulted, in the end, in better cinema."
Christian Science Monitor," December 30, 2016",Peter Rainer," Loach's low-key naturalism, which barely masks his fury at the injustices perpetrated on screen, is matched by Dave Johns's performance as Daniel."
Antagony & Ecstasy," December 28, 2016",Tim Brayton," A hectoring political op-ed about The State Of Britain Today, but when you've been hectored by Loach, you've been hectored by the very best."
NYC Movie Guru," December 28, 2016",Avi Offer, Equally heartwarming and heartbreaking. A testament to the humanism of writer/director Ken Loach
Cinemalogue.com," December 28, 2016",Todd Jorgenson," While it lacks subtlety, the film captures the frustration of the working class, which is the filmmaker's hallmark, through a character that earns our sympathy and might also share our fury."
3AW," December 26, 2016",Jim Schembri," Nobility and dignity for the ordinary person are values Loach has always championed, and they are at the very heart of I, Daniel Blake."
ABC Radio Brisbane," December 25, 2016",Matthew Toomey," Cinema has the power to open our eyes to the world's issues and offer a path forward if we're willing to take it. I, Daniel Blake is a great example and should not be missed."
Contactmusic.com," December 23, 2016",Rich Cline, Loach makes movies that are refreshingly honest in their approach and unflinching in their reaction to injustice.
RogerEbert.com," December 23, 2016",Christy Lemire," I, Daniel Blake is an extremely Ken Loach-y Ken Loach film, for better and for worse."
New York Times," December 22, 2016",Stephen Holden," ""I, Daniel Blake"" is a powerful return to form for Mr. Loach, the much-honored left-wing British filmmaker who is now 80 and is still in full command as a filmmaker and a social critic."
PopMatters," December 22, 2016",Chris Barsanti, Ken Loach's heartrending drama follows a widowed British carpenter struggling to keep an inhuman social services bureaucracy from turning him into just another number.
Daily Telegraph (UK)," May 12, 2016",Patrick Smith," While it too often sands the complications off what you sense should feel like an uncomfortably splintery issue, in its best moments, it's a quietly fearsome piece of drama."
CineVue," May 12, 2016",John Bleasdale, A succinct and furious raging against the dying of the light.
Variety," May 12, 2016",Owen Gleiberman," ""I, Daniel Blake"" is one of Loach's finest films, a drama of tender devastation that tells its story with an unblinking neorealist simplicity that goes right back to the plainspoken purity of Vittorio De Sica."
Guardian," May 12, 2016",Peter Bradshaw," This film intervenes in the messy, ugly world of poverty with the secular intention of making us see that it really is happening, and in a prosperous nation, too. I, Daniel Blake is a movie with a fierce, simple dignity of its own."
Screen International," May 12, 2016",Wendy Ide," While it might not break new ground, there is no denying the potency of the film's empathetic anguish and fury."
Hollywood Reporter," May 12, 2016",David Rooney," While the framework and perspective are familiar, the veteran Brit director's films can still have the power to grip us in an emotional chokehold."
Film-Forward.com," June 11, 2016",Kent Turner," Defiantly old school, ... it had heart and was undeniably moving, leaving the audience teary-eyed."
The Young Folks," May 22, 2016",Jordan Ruimy," I, Daniel Blake is a problematic, but important critique of the British social system."
Sight and Sound," May 20, 2016",Geoff Andrew," I, Daniel Blake is as timely today as was Kes in the late 60s or Raining Stones in the 90s."
El antepenúltimo mohicano," May 20, 2016",Alberto Sáez Villarino, The director shows that he have the most lucid mind throughout his career. [Full review in Spanish]
AV Club," May 20, 2016",Mike D'Angelo," Loach and Laverty's hearts are in the right place, as ever. It's their spleens, which definitely do not work a dream, that they need to monitor."
Collider," May 19, 2016",Talia Soghomonian, No one possesses the ability to depict the social issues and inequalities plaguing Great Britain quite like Ken Loach and his loyal co-writer Paul Laverty.
The Playlist," May 17, 2016",Nikola Grozdanovic," Quietly dismissing rumblings about Jimmy's Hall being his final film, I, Daniel Blake sees Ken Loach in especially endearing form."
We Got This Covered," May 17, 2016",Luke Hearfield," I, Daniel Blake is a dignified film containing moments of hilarity and genuine heartbreak. It's a movie dripping with social relevance and shines a light on the red tape bureaucracy that cripples those that are in most need of help. "
La Jornada," May 16, 2016",Leonardo Garcia Tsao," Everything is very noble and the political correctness is added to the film sober correction. However, screenwriter Paul Laverty frequently resorts to sentimentality to make clearer the drama of Daniel Blake. [Full review in spanish]"
El Pais (Spain)," May 16, 2016",Carlos Boyero," Loach doesn't give a break neither to the poor protanonist or the scared viewer. Everything that he display emerges truth, anger, indignation and denial from that prestigious and unreal thing called social justice. [Full review in Spanish]"
El Mundo (Spain)," May 16, 2016",Luis Martínez," The problem is that with the course of time, the director's speach has become very thin, and for a few moments it looks like a self-parody. [Full review in spanish]"
