source_name,review_date,critic_name,review_detail
Cinencuentro," February 1, 2017",Sebastian Zavala Kahn, A film that proposes a plausible scenario and that delights to surprise us with different plot twists and fascinating discoveries by its protagonists. [Full review in Spanish]
Bangkok Post," January 12, 2017",Kong Rithdee," Arrival, which aims to touch rather than to excite, looks inward. The film about aliens, it proposes, is in fact a way to look at the human race, the good and the bad in us (mostly the bad)."
The Straits Times (Singapore)," January 11, 2017",John Lui," Like all good science fiction, Arrival is about one big idea taken to a satisfying conclusion."
South China Morning Post," January 9, 2017",Richard James Havis, An unusually delicate tale about how to cope with an alien arrival on Earth.
National Review," January 9, 2017",Armond White," Though a second-rate, semi-profound art movie, Arrival is nonetheless an ambitious demonstration of how the media manipulate our perception and our experience."
Film Comment Magazine," January 3, 2017",Devika Girish," A Spielberg-Nolan lovechild of sorts, wondrous and mind-bending in equal parts, Denis Villeneuve's latest is a quintessential science-fiction blockbuster steeped in genre traditions and made singular by Amy Adams's transporting performance."
Washington City Paper," January 2, 2017",Tricia Olszewski," Arrival may offer a few too many metaphors to keep some viewers engaged. But it's guaranteed to stick in your mind a fair amount longer than, say, Men in Black 3."
"Vue Weekly (Edmonton, Canada)"," January 1, 2017",Brian Gibson," It's remarkable how far Villeneuve, too, has travelled -- from minor but impressive Quebec features to big-budget filmmaking that's turned mainstream genre-fare into thrilling, atmosphere-rich cinema."
Huffington Post," January 1, 2017",Derek Malcolm," The film is not a colourful one, with suitably muted cinematography and a sense of realism many such stories eschew. Maybe that's not the best news for the box-office but it makes for a more intelligent movie of the genre all the same."
Hindustan Times," December 31, 2016",Rashid Irani, This film cements Villeneuve's reputation as one of the finest filmmakers of his time.
Daily Star," December 31, 2016",Andy Lea," In it's own way, this beautifully shot, brilliant acted and smartly written movie is as exciting as Independence Day or War of the Worlds."
Columbus Alive," December 30, 2016",Brad Keefe," Arrival may not be the sci-fi movie we deserve, but it's the one we need right now."
Cine Vértigo," December 27, 2016",Ernesto Diezmartinez," With Arrival, Villeneuve and Heisserer have delivered us the 2001: Space Odyssey (1968) of the new century. [Full review in Spanish]"
The Sunday Age," December 27, 2016",Craig Mathieson," Most aliens-on-Earth movies move towards destruction, usually of the planet-wide kind, but the crux of Arrival is creation: the writing of a word, the beginning of a bond, the start of a life."
"Commercial Appeal (Memphis, TN)"," December 26, 2016",John Beifuss, How to communicate? The challenge faced by every artist is dramatized as a semantic conundrum and amplified as an existential dilemma ('What is your purpose on Earth?') in this moody science fiction film.
ABC Radio Brisbane," December 25, 2016",Matthew Toomey," Don't go in thinking you can sit back, relax, and enjoy some action-heavy entertainment. Your mind will be put to work. "
Blog de cine," December 22, 2016",Mikel Zorrilla, A film that goes beyond everything and also combines in a masterly way its cerebral side with strong emotional roots. [Full review in Spanish]
Cinemaphile.org," December 22, 2016",David Keyes," In times when audiences are trained to be enamored by special effects and simplified narrative patterns, Arrival is an unusual discovery: a movie that requires us to think beyond the polished surface and contemplate our own place in the universe."
Daily Dead," December 21, 2016",Heather Wixson," Arrival's narrative takes an unbelievable turn (and I mean that in the best way possible), opening up the film's story in an emotional way that I was not expecting, leaving me absolutely stunned."
En Filme," December 20, 2016",Luis Fernando Galván, A suspense film that turns out to be more complex and emotional than expected. [Full review in Spanish]
Screen International," September 1, 2016",Fionnuala Halligan," In a crowded genre, Villeneuve's picture is distinguished chiefly for being so richly realised and executed, gifted with an almost symbiotic score by his regular collaborator Johann Johannsson."
TheWrap," September 1, 2016",Alonso Duralde," A fairly chilly, cerebral bit of business, from its beautifully tamped-down cinematography (by modern master Bradford Young) to Jóhann Jóhannsson's ethereal score."
Uproxx," September 10, 2016",Mike Ryan, Arrival is quite pretentious ... but it's the good kind. It's the smart kind.
RogerEbert.com," September 10, 2016",Brian Tallerico," A film that forces viewers to reconsider that which makes us truly human, and the impact of grief on that timeline of existence."
Den of Geek," September 10, 2016",Edward Douglas, A cerebral and emotionally resonant examination of language through the genre of science fiction.
NOW Toronto," September 9, 2016",Norman Wilner," This is hard science fiction made by an artist - which means big questions, impossible concepts and difficult choices."
Independent (UK)," September 9, 2016",Geoffrey Macnab, It's heartening to encounter a science fiction thriller that is ready to deal with abstract ideas.
Vanity Fair," September 9, 2016",Richard Lawson," Arrival has the heft of a literary airport novel, with enough poetry and pathos to elevate it above Michael Crichton."
ScreenCrush," September 9, 2016",Matt Singer," Arrival is a smart film, but it's not a cold or clinical one."
Film Freak Central," September 6, 2016",Walter Chaw," It's the fulfillment of what great fiction can do, particularly genre fiction."
Collider," September 4, 2016",Brian Formo," For a film about language, Villeneuve smartly relies most on the cinematic language: cinematography, production design, visual effects and musical scoring. His collaborators flex some of the best work of the year in every cinematic realm."
Times (UK)," September 2, 2016",Kate Muir," Less Close Encounters of the Third Kind and more Linguistic Encounters of the Academic Kind, this is a sci-fi movie with intelligence, cerebral and emotional."
Daily Mail (UK)," September 2, 2016",Brian Viner," It's ingenious, and brilliantly directed, shot and scored, all of which bodes well for Villeneuve's next project, a keenly-awaited sequel to 1982's Blade Runner."
