source_name,review_date,critic_name,review_detail
El antepenúltimo mohicano," January 10, 2017",Ignacio Navarro," There is simplicity and verisimilitude, even emotion and suspense, in the development of the plot but its incompleteness takes away much of the repercussion to which it aspires. [Full review in Spanish]"
Washington City Paper," January 2, 2017",Tricia Olszewski," Even though the audience knows how this story ends up, the film does little to shed light on how it truthfully started."
Black Girl Nerds," January 1, 2017",Joelle Smith," The film focuses on real, obtainable love. It's the kind of love that inspires you to be better."
The Sunday Age," December 27, 2016",Craig Mathieson," They end up seeing Spike Lee's revelatory Do the Right Thing, and the history in moments such as that give weight to Richard Tanne's sweet, sturdy romantic drama"
El Mundo (Spain)," December 23, 2016",Francisco Marinero," An ordinary story, told with realism and sobriety that are unusual in American cinema. [Full review in Spanish]"
El Pais (Spain)," December 23, 2016",Carlos Boyero," A charming film, with dialogues and convincing situations and with two protagonists who know how to convey the feelings of the beginning in a love story. [Full review in Spanish]"
Cinemanía (Spain)," December 22, 2016",Andrea G. Bermejo," One of those selective biopics, bathed in African American culture and that can be read just like a romantic comedy. [Full review in Spanish]"
HollywoodInToto.com," December 13, 2016",Christian Toto, Southside With You is a hagiography tormented by the truth.
The Blu Spot," December 12, 2016",Jeff Beck," With a pair of great performances and a fascinating premise, Southside with You is a leisurely-paced, but intriguing, look at a piece of romantic history."
Irish Times," December 5, 2016",Tara Brady, The duo make for good company but the courtship can only just sustain the weight of history.
ArtsHub," December 3, 2016",Sarah Ward, Works best as both a combined character study and a snapshot of issues that remain all too relevant.
South China Morning Post," November 22, 2016",James Marsh," The film turns a potentially grating one-trick pony into a fascinating snapshot of America, the black experience and two future leaders in the throes of some kind of awakening."
FILMINK (Australia)," November 9, 2016",Sophia Watson," ...super likable, charming and romantic... "
Times (UK)," October 3, 2016",Kevin Maher, A truly horrible TV movie premise -- let's re-create the first romantic date between Barack and Michelle Obama -- is given serious intellectual and emotional heft in the writer-director Richard Tanne's feature debut
Observer (UK)," October 2, 2016",Wendy Ide," Decent performances notwithstanding, there's a cloying quality to some of the scenes that turns the romance of the president and his first lady into something akin to a magazine photo story."
Radio Times," September 30, 2016",Stephen Carty," The film itself is relatively slight, but it's warm, engaging and likeable. In fact, it's a perfect choice for a first date."
Daily Telegraph (UK)," September 29, 2016",Robbie Collin," As a multi-faceted character study - of a couple, a nation, a racial identity - there are surprises around every corner."
Guardian," September 29, 2016",Peter Bradshaw," A gently likable, Linklaterish movie that ideologically conflates romantic excitement with progressive idealism, bringing in some unexpected subtleties."
Empire Magazine," September 29, 2016",Olly Richards," Even if you didn't know what comes next, this story of the first days of the Obamas would still seduce as a sweet, smart romance."
The Straits Times (Singapore)," September 28, 2016",Boon Chan," Viewers get the sense of the couple as two intelligent, idealistic people simply getting to know each other, and they are admirably fleshed out by the actors."
Hollywood Reporter," February 2, 2016",Todd McCarthy, A warm and surprisingly engaging account of the first date of Barack Obama and Michelle Robinson.
Salt Lake Tribune," February 2, 2016",Sean P. Means, Sumpter and newcomer Sawyers inhabit the roles of the future First Couple with easygoing charm.
indieWire," February 2, 2016",Eric Kohn," It may not offer a fresh perspective on the world's most famous couple, but effectively resurrects their initial appeal in public life by uncovering its roots."
Salt Lake City Weekly," January 31, 2016",Scott Renshaw," On some level, this enterprise was doomed from conception."
Vox," January 29, 2016",Gregory Ellwood," If you set aside the famous names and everything we know about these two characters' futures, what's left is a wonderfully crafted romance between a pair of African-American individuals, in a context rarely seen onscreen."
The Playlist," January 29, 2016",Noel Murray," There'd be no movie here if not for who the characters are; but even if Tanne had changed their names, ""Southside With You"" will still be a charmer."
Consequence of Sound," January 29, 2016",Michael Roffman," Richard Tanne has pieced together a lovely story that rises above its novelty premise. Southside with You is a rewarding bite-sized drama, rich with characters that we already know, but also don't really know."
Independent (UK)," January 28, 2016",Geoffrey Macnab, It deserves success. Moreover it should make stars of Sawyers and Sumpter.
Guff.com," January 27, 2016",Fred Topel," Makes Barack a predator to begin with. He is determined to ignore her boundaries. Fortunately, I don't believe that part is true. It is dramatic license and poorly thought out fiction."
Thrillist," January 27, 2016",Matt Patches, The JFK-ing of Obama ... it *almost* vindicates itself.
Examiner.com," January 25, 2016",Travis Hopson," We just don't see this kind of thing here in America, but there's also never been a couple in the White House like Barack and Michelle Obama."
Guardian," January 25, 2016",Jordan Hoffman," Southside With You uses our affection for the Obamas to add urgency in the otherwise simple script. We want these two to get together, and we want them to say things like: ""I just want to do more to help out."""
New York Magazine/Vulture," January 25, 2016",Kyle Buchanan," Fortunately, Tanne didn't have to compromise at all with his two charismatic leads: Not only are they dead ringers for Barack and Michelle, but they go beyond impression to deliver something real and human-sized."
RedEye," January 24, 2016",Matt Pais," A romantic, frustrated, compassionate, quietly moving film."
The Daily Beast," January 24, 2016",Jen Yamato, Barack and Michelle's Before Sunrise-esque first date makes for a charming indie romance.
Variety," January 24, 2016",Justin Chang, Tika Sumpter and Parker Sawyer are terrifically cast as younger versions of Michelle and Barack Obama in Richard Tanne's disarmingly romantic walkabout.
ScreenCrush," August 24, 2016",Erin Whitney," An infectiously sweet, lovely tale about two young people who bring out the best and most hidden sides of each other."
Deadline Hollywood Daily," August 24, 2016",Pete Hammond, A sweet and enlightening peak into the early lives of the Obamas as director Richard Tanne takes us on their first date way back in 1989. Both stars are flawless.
Seattle Times," August 24, 2016",Moira MacDonald," It's a sweet-natured, gentle film that might remind more than a few watchers of a special date in their own life, long ago."
San Jose Mercury News," August 24, 2016",Tony Hicks," In the end, Tanne has given us a movie that is warm and watchable without overdoing it."
L.A. Weekly," August 23, 2016",April Wolfe," Sawyers seems to have absconded with one of the real Obama's discarded cigarette butts and sucked in his Marlboro Red essence, while Sumpter gives a solid but overshadowed performance ..."
Movie Nation," August 23, 2016",Roger Moore," Not a film freighted with destiny, but a charming first-date romance, an affectionate farewell to a classy First Couple. "
Baret News," August 22, 2016",Kam Williams," This plausible account of the blossoming of love between Barack and Michelle serves up a pleasant, if sanitized version of their romantic launch en route to an historic rendezvous with destiny!"
Metro," August 22, 2016",Matt Prigge, It's the pleasant movie we deserve after a needlessly contentious eight years.
Slant Magazine," August 22, 2016",Kenji Fujishima," The film may not announce itself as hagiography, but it's hero-worshipful to its core."
New Yorker," August 22, 2016",Richard Brody," This tender, intimate drama has the grand resonance of a historical epic."
Chicago Sun-Times," August 18, 2016",Richard Roeper," Of course this is a stylized -- and yes, on occasion, idealized -- version of the launching point of a lifelong romance between two young Chicago residents who would go on to make history. That's pretty much the point."
New York Daily News," August 16, 2016",Edward Douglas," Equally clever and charming, and ultimately a pretty good date movie in its own right."
Collider," February 23, 2016",Adam Chitwood," If you remove the historic importance of these two characters, Southside with You still mostly works as a simple love story between a pair of intellectuals striving for greatness."
The Film Stage," February 19, 2016",Jordan Raup," In a news cycle which can often make our leaders seem like impassive mouthpieces, Southside With You exceeds in humanizing them. "
MTV," February 2, 2016",Crystal Bell," It's a lovely film about two charismatic people walking, talking and slowing falling in love over ice cream."
RogerEbert.com," February 2, 2016",Nick Allen, How often do we see movies where characters are given the freedom to just walk and talk?
Vanity Fair," February 2, 2016",Richard Lawson," Airy and pleasant, a modest film that gets by on charm and aesthetics. We of course know what mighty things await these two young lovebirds, but for its brief spell, Southside With You's first blushes feel plenty big enough."
Uproxx," February 2, 2016",Mike Ryan," That's what makes Southside With You work, because it just boils down to two people trying to figure out life and each other."
Entertainment Weekly," February 2, 2016",Chris Nashawaty, A classic meet-cute with a twist.
Screen International," February 2, 2016",Tim Grierson," Southside With You is an affectionate look at two young people on their first date, unaware of what history has in store for them."
Minneapolis Star Tribune," August 25, 2016",Colin Covert," While it contains some minor political elements - as does real life - this is at heart a near-perfect date movie, a nonpartisan walking and talking love story."
New York Times," August 25, 2016",Manohla Dargis," Mr. Tanne has clearly made a close study of his real-life inspirations, yet his movie is soon hostage to the couple's history. His characters feel on loan and, despite his actors, eventually make for dull company ..."
Chicago Daily Herald," August 25, 2016",Dann Gire," This insightfully written, tightly directed and superbly acted drama captures an adult first date's magical discoveries, growing attractions and the slowly earned melding of minds and hearts (plus the melting of ice cream later)."
Austin Chronicle," August 25, 2016",Steve Davis," As the one-day POTUS and first lady, Sawyers and Sumpter capture the familiar essence of this now well-known couple without impersonating them, imagining them with a fresh perspective about who they were long before becoming famous."
Rolling Stone," August 25, 2016",Peter Travers," Here's the date movie of the year, about a first 1989 date between Barack Obama (Parker Sawyers) and Michelle Robinson (Tika Sumpter). Both actors are terrific, suggesting the powerhouses they're playing without undue mimickry. "
Brooklyn Magazine," August 25, 2016",Jesse Hassenger," This isn't pure hero worship, either; it's the work of a filmmaker enchanted by his subjects as a couple, not as conduits of history."
Entertainment Weekly," August 25, 2016",Leah Greenblatt," Southside doesn't hang on epiphanies; instead, it delivers something more modest: a tender, unrushed love story."
RogerEbert.com," August 25, 2016",Odie Henderson, An irresistibly romantic and rousing success. 
Arizona Republic," August 25, 2016",Barbara VanDenburgh," First-time filmmaker Richard Tanne eschews politics and heavy foreshadowing, opting instead to craft a breezy, intimate and tender film about two people making that fateful first connection."
AV Club," August 25, 2016",A.A. Dowd," It's a bit like Before Sunrise, only with the leader of the free world in the Ethan Hawke role."
San Diego Union-Tribune," August 25, 2016",Anders Wright," It's charming, sweet and smart, and it isn't loaded with destiny. Tanne, in his first feature, has found a way to make his point by barely making it at all."
Las Vegas Weekly," August 24, 2016",Josh Bell," An awkward mix of low-key romantic drama and historical foreshadowing, with dialogue that sometimes sounds like the characters reciting their own Wikipedia entries."
NOW Toronto," August 24, 2016",Norman Wilner, Southside With You is a small movie about a big thing -- that moment when two people realize they're going to spend the rest of their lives together.
Washington Post," August 24, 2016",Ann Hornaday, A delightfully low-key portrait that is as universal as it is grounded in a well-chronicled public-private life.
Associated Press," August 24, 2016",Jake Coyle," Nuanced and charming, Southside With You is a sunny, strolling odyssey through African-American life in 1989, filtered through two future icons as they navigate the world around them and their place in it."
TheWrap," August 24, 2016",Sam Adams," One might question why a simple first-date story needs to involve the future president and first lady, but its near-total lack of precursors suggest that if it weren't about one of the most famous black couples, it would likely not have been made at all."
TIME Magazine," August 24, 2016",Stephanie Zacharek," As a work of imagination inspired by fact, the film shimmers with warmth."
Chicago Tribune," August 24, 2016",Michael Phillips," Sawyers and Sumpter ... [are] better than the writing, which follows its diagram and lays out the conflicts and personality differences very, very neatly."
San Francisco Chronicle," August 24, 2016",Mick LaSalle," ""Southside With You"" proves once and for all that a romantic film doesn't rely on suspense. We know these people are getting together. What holds us to our seats is wondering how it will happen."
CNN.com," August 24, 2016",Brian Lowry," Nicely conveys a broader, more intimate portrait of the First Couple, the movie probably would have been enriched if Tanne hadn't hemmed himself in so much with the conceit and instead traced more of the early stages of their courtship."
New York Observer," August 26, 2016",Oliver Jones," For a film with relatively modest intentions, Southside With You can stir up some epic and opposing waves of emotion."
Punch Drunk Critics," August 25, 2016",Travis Hopson," We just don't see this kind of thing here in America, but there's also never been a couple in the White House like Barack and Michelle Obama."
Sacramento News & Review," August 25, 2016",Daniel Barnes," It's so respectful I could barely keep my eyes open, but first-rate performances from Sumpter and Sawyers pulled me through."
Kansas City Star," August 25, 2016",Robert W. Butler," ""Southside With You"" is a terrific film - funny, romantic, respectful without being stuffy and, yes, inspiring."
Seattle Weekly," August 25, 2016",Robert Horton," It's like an extended version of a convention video, crafted to please the faithful and maybe haul in a few uncommiteds."
Reeling Reviews," August 25, 2016",Robin Clifford, The actors prove their ability to make the jump to lead roles and Richard Tanne is off to a great start as a filmmaker of note.
Tribune News Service," August 25, 2016",Katie Walsh," One wouldn't quite say this date movie is political, but this deeply personal portrayal of the President and First Lady is inherently political -- asserting their humanity and the specific life experiences that brought them to the White House."
Beliefnet," August 25, 2016",Nell Minow," Utterly witty, charming, and captivating ."
