source_name,review_date,critic_name,review_detail
MetroActive," January 1, 2017",Richard von Busack," The third tale tops it all, thanks to a sweet, tough performance by Lily Gladstone."
Associated Press," December 30, 2016",Lindsey Bahr," As with all of Reichardt's films, the gems are in the smallest moments -- the half smiles, the non-reactions and the silences between two people barely connecting."
PopMatters," December 13, 2016",Piers Marchant," Each story in Certain Women maintains a slow pace, while leading viewers to understand complex emotional depths, as these very different women grapple with loneliness and imminent loss, their hopes for changes they can't quite identify."
Seven Days," December 4, 2016",Margot Harrison, Reichardt's camera always returns eventually from the burrows people dig for themselves to the mountains that hover on the horizon like a promise. 
Sight and Sound," December 1, 2016",Catherine Wheatley," Powerful, focused, nervy, lean. Certain Women is a work of art produced by a director in full control of her material. It leaves you reeling."
MLive.com," November 29, 2016",John Serba," Reichardt has no desire to state any intentions outright, stripping the storytelling bare so its simplicities can reveal truths in the margins of everyday occurrence."
Arkansas Democrat-Gazette," November 27, 2016",Philip Martin, ...a different kind of modern Western; one where confrontations are deflected and firearms feel impotent. What is most important about these stories is the Beckettian persistence of these women. They can't go on. They go on.
sbs.com.au," November 21, 2016",Michelle Orange," Reichardt operates as usual a specific sort of advocate for her characters, applying close, sustained, and considered attention to their predicaments, and in the process evening the balance of the individual with her surroundings."
"Commercial Appeal (Memphis, TN)"," November 17, 2016",John Beifuss," All the stories are calm on the surface and turbulent beneath, but the final narrative in particular is a masterpiece-in-miniature of unexpressed pain."
El Nuevo Herald (Miami)," November 14, 2016",Pilar Ayuso," A film set in a natural and cold atmosphere with dark photography, disturbing characters, and women in situations of anxiety trying to achieve their dreams. [Full review in Spanish]"
Spliced Personality," November 13, 2016",Sean Burns, This staggeringly talented writer-director's sixth feature is perhaps the purest distillation of Reichardt's sensibility and may be her best film yet.
Madison Movie," November 11, 2016",Rob Thomas," ""Certain Women"" differs in structure from some of Reichardt's past masterpieces like ""Old Joy"" and ""Wendy & Lucy."" But it has the same quiet, beating heart."
El antepenúltimo mohicano," November 10, 2016",Alberto Sáez Villarino," A piece of great syntactic complexity, where aesthetics is based on the masterful use of language and stylistic, rhythmic and euphonic resources. [Full review in Spanish]"
Combustible Celluloid," November 9, 2016",Jeffrey M. Anderson, The wonderful American director Kelly Reichardt seems to have been made for short stories. 
Missoula Independent," November 5, 2016",Molly Laich," This film is not about plot. It's about people, specifically women, and their often-unceremonious place in the world."
Tulsa World," November 3, 2016",Michael Smith," It's difficult to grade a film when the subject matter, and the subjects, feel so incomplete."
Chicago Reader," November 3, 2016",J. R. Jones," For the most part, these narratives lack the kind of tension between character and setting that have made Reichardt's quiet, modest, measured films so compelling."
Spirituality and Practice," November 1, 2016",Frederic and Mary Ann Brussat," A gentle, slow-moving, film about the heartache and disappointment of four Wyoming women."
Groucho Reviews," October 31, 2016",Peter Canavese," Reichardt in no way pushes her material, instead giving the viewer the space to live in this space with the characters, observe them and listen to them, and then draw one's own conclusions about thematic import."
The Atlantic," October 30, 2016",David Sims," Certain Women is a film where a missed opportunity to connect, or a brief, surprising flash of empathy, feels crucial enough to pore over days after seeing it."
Variety," January 25, 2016",Guy Lodge, Kelly Reichardt's wonderful triptych of female character studies confirms her status as the quietest of great American filmmakers.
Consequence of Sound," January 24, 2016",Michael Roffman," Certain Women is not always thrilling, but it's certainly faithful."
Slant Magazine," September 28, 2016",Jaime N. Christley, The threat of feeling slighted links every small and large ripple of drama in Kelly Reichardt's film.
NOW Toronto," September 19, 2016",Norman Wilner," Reichardt is back doing what she does best, creating elaborate portraits of the worlds through which her characters move. And by the end of the film, we know these people. We see them."
L.A. Weekly," September 14, 2016",April Wolfe," Certain Women is a kind, loving, and deeply moving portrait of big-hearted small-town people."
Film Freak Central," September 11, 2016",Bill Chambers," Typically uneven for the anthology genre, if also typically successful in that the good counterbalances the bad."
ScreenCrush," August 4, 2016",Erin Whitney, The type of work that requires patience for the quiet intersections and confrontations of simple lives.
Junkee," July 1, 2016",Glenn Dunks, [Kelly Reichardt's] look at the idiosyncratic relationships formed by those in this isolated region of the country is something that is rarely seen on screen.
ABC Radio (Australia)," June 17, 2016",CJ Johnson," It's a very, very quiet, deliberate and precious piece of cinema. It's entertaining in the barest sense of the word, but it is thought-provoking, eye-opening and intriguing in the quietest."
Trespass," June 15, 2016",Alex Doenau," With no answers, great actresses and few rewards, Certain Women is a tough but worthy trip."
4:3," June 14, 2016",Megan Nash," Dern, Williams and Stewart do not disappoint in Certain Women, giving naturalistic performances that fit beautifully in Reichardt's quiet film."
News.com.au," June 10, 2016",Wenlei Ma," Like the women whose stories it tells, Certain Women exudes a quiet strength. It isn't flashy nor is it imposing, but its purpose and meaning rings loud."
Flavorwire," April 27, 2016",Jason Bailey," There are no verbose emotional arias or chest-beating screaming matches. It's a collection of the tiniest moments, which accumulate into a kind of devastation."
The Film Stage," February 19, 2016",Jordan Raup, Perhaps the purest distillation of [Kelly Reichardt's] sensibilities as she patiently explores the longing for human connection in a world where men too often get prioritized.
The Young Folks," February 4, 2016",Josh Cabrita," Certain Women is the rare film where every detail is alive: the town breathes through a glacial pace, the characters are nourished or starved by their interactions, the love shelters and warms everyone by way of Reichardt's humanistic vision."
The Playlist," January 29, 2016",Noel Murray," The glacial storytelling has a mesmerizing effect, and gives audiences time to drink in the big skies - against which the humans look so insignificant - and to appreciate the careful way that Reichardt establishes what the heroines are up against. "
Paste Magazine," January 28, 2016",Tim Grierson, Certain Women is so delicately but smartly constructed that ecstatic reviews may give people the wrong idea about its greatness.
Guff.com," January 27, 2016",Fred Topel," Small town stories that remind us that everything is important to the people experiencing them, and there is drama everywhere you look if you pay attention."
TheFilmFile.com," January 25, 2016",Dustin Putman," [Sundance 2016] Patient, pure and honest without fail, ""Certain Women"" is a quietly breathtaking snapshot of people either struggling, or learning, to make human connections in a world where everyone is unsuspectingly intertwined."
TheWrap," January 25, 2016",Alonso Duralde," As with Reichardt's previous work, the film provides a showcase for the kind of acting and cinematography that's never showy but always perfectly appropriate to the narrative."
