source_name,review_date,critic_name,review_detail
Cambridge Day," January 20, 2017",Tom Meek," In its whole, it's a biting chronicle of the African-American condition over the past six decades."
Spirituality and Practice," December 14, 2016",Frederic and Mary Ann Brussat, A substantive and often sensationalistic documentary about the downfall of O.J. Simpson and the rage of African-Americans against injustices.
Sight and Sound," December 13, 2016",Tom Charity," O.J.: Made in America will surely prove the definitive record of one exceptional African-American's spectacular rise and fall, a graphic illustration of how race, injustice and the pursuit of celebrity collided at the tail-end of the 20th century."
Ozus' World Movie Reviews," December 3, 2016",Dennis Schwartz, An aesthetic and comprehensive 7 1/2-hour documentary on an American hero turned bad.
Eye for Film," December 2, 2016",Jennie Kermode," Although there have been a number of films about this saga, Edelman's is unique in its thoroughness."
Laramie Movie Scope," November 23, 2016",Robert Roten," This documentary details that long journey from the 1960s to the new millennium in societal and racial changes, as well as changes in the enigmatic O.J. He got his payback for being born into poverty and oppression, but fell back to the depths again."
HeyUGuys," July 12, 2016",Jon Lyus," Ezra Edelman has painted a first-class portrait of the most divisive of icons, juxtaposing his rise and fall with an eventful period of American history. This is an excellent documentary - a credit to ESPN's 30 for 30 series."
Medium," July 11, 2016",Chris Barsanti, ...one of the great documentary epics of our time.
Film Experience," June 28, 2016",Glenn Dunks," It's an indictment on so many people it's hard to keep track, but ultimately it's a sad and troubling glimpse into a part of American life and culture that, to this day, remains as relevant as ever."
PopMatters," June 23, 2016",Cynthia Fuchs," Juxtaposing images and interviews, revelations and old news, the film makes clear repeatedly that people base their beliefs on what they see, but what they see is inevitably framed by experiences and expectations."
Uncle Barky," June 17, 2016",Ed Bark," ESPN's ongoing 5-part, 10-hour O. J.: Made In America documentary series at first brush had the air of redundancy. Instead it's anything but."
Winnipeg Free Press," June 13, 2016",Brad Oswald, One of the best documentary projects ever shown on mainstream network television.
Entertainment Weekly," June 13, 2016",Jeff Jensen," Extraordinary on so many levels, O.J.: Made In America transcends its stated subjects and themes. It's a withering critique of self-creation, culture making, and idolatry that speaks to everyone, regardless of race."
