Primary Key,DC Real Property ID,PM Property ID,Property Name,PM Parent Property ID,Parent Property Name,Year Ending,Report Status,Address of Record,Owner of Record,Ward,Reported Address,City,State,Postal Code,Year Built,Primary Property Type - Self-Selected,Primary Property Type - Calculated,Tax Record Floor Area,Reported Building Gross Floor Area,ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft²),Water Use (All Water Sources) (kgal),Electricity Use (kWh),Natural Gas Use (therms),Fuel Oil & Diesel Fuel Use (kBtu),District Water-Based Energy Use (kBtu),Metered Areas (Energy),Metered Areas  (Water),Latitude,Longitude
DC0004N_0027,0004N_0027,N/A,The Salvation Army,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,2626 PENNSYLVANIA AV NW,SALVATION ARMY,2,2626 Pennsylvania Ave NW,Washington,DC,,,Not Provided,Not Provided,"70,814",,,,,,,,,,,,,,,,,
PM1419778,0006_0825,1419778,Hall on Virginia Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,2601 VIRGINIA AV NW,GEORGE WASHINGTON UNIVERSITY,2,2601 Virginia Avenue NW,Washington,DC,20052,1965,Residence Hall/Dormitory,Residence Hall/Dormitory,"173,856","135,257",79,68.6,69.4,129,129.8,763.9,5.6,4359.1,1080325,55986.094,,,Whole Building,,,
PM3987680,0008_0806,3987680,Watergate Retail DDOE,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Incomplete Report,2500 VIRGINIA AV NW,WATERGATE EAST INC,2,2551 Virginia Avenue NW,Washington,DC,20037,1964,Strip Mall,Mall,449825,64757,,,,,,,,,,17.476,,10163193.8,Whole Building,Whole Building,38.899151,-77.054598
PM3448441,0008_0808,3448441,Watergate (Greenfield Partners LLC.),Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,2600 VIRGINIA AV NW,GREENPENZ 2600 VIRGINIA AVENUE LLC,2,2600 Virginia Avenue,Washington,DC,20037,1963,Office,Office,"286,113","217,716",,98.8,100.5,175.5,177.3,1868.5,8.6,,2132342,,,14243902.9,Whole Building,,,
DC00080809,0008_0809,N/A,Watergate west,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,2700 VIRGINIA AV NW,WATERGATE WEST INC,2,2700 Virginia Avenue NW,Washington,DC,20037,,Not Provided,Not Provided,"307,708",,,,,,,,,,,,,,,,,
PM1163866,0008_0811,1163866,0600 New Hampshire Avenue NW (Watergate),Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0600 NEW HAMPSHIRE AV NW,WATERGATE HOLDINGS I LLC,2,600 New Hampshire Ave NW,Washington,DC,20037,1972,Office,Office,"363,050","281,989",46,132.8,133.6,316,316.9,4153.8,14.7,7505.7,6686204,8745.103,,13760780.2,Whole Building,Whole Building,38.89781099,-77.05506721
PM3485106,0008_0812,3485106,Watergate South Inc,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0700 NEW HAMPSHIRE AV NW,WATERGATE SOUTH INC,2,700 New Hampshire Ave NW,Washington,DC,20037,1971,Multifamily Housing,Multifamily Housing,"432,755","426,755",,25.6,25.6,80.4,80.4,1383.2,3.2,19675,3201324,,,,Whole Building,Combination of common and tenant areas,,
DC00082881,0008_2881,N/A,Not Reported,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,No Report Received,2650 VIRGINIA AVENUE NW,THE WATERGATE HOTEL CONDO,2,,Washington,DC,,,Not Provided,Not Provided,"163,681",,,,,,,,,,,,,,,,,
PM1391567,0013_2073*,1391567,Center for Education and Medicine,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,*not matched with covered building list,*not matched with covered building list,2,2501 M Street NW,Washington,DC,20037,1986,Office,Office,,159396,,44.5,44.6,139.8,139.9,898.7,5.6,2118.8,2079870.732,,,,Whole Building,Whole Building,38.9055094,-77.053806
PM4429402,0014_0068,4429402,Squire Patton Boggs,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Incomplete Report,2550 M ST NW,CARR CRHP DC/VA PROPERTIES LLC,2,2550 M Street,Washington,DC,20037,1977,Not Provided,Not Provided,209866,,,,,,,,,,,,,,Whole Building,Whole Building,38.90497754,-77.05421027
PM3642070,0014_1002,3642070,The Westbridge Condominium Association INC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,2555 PENNSYLVANIA AVE NW,WESTBRIDGE CONDOMINIUM,2,2555 Pennsylvania Ave NW,Washington,DC,20037,1978,Multifamily Housing,Multifamily Housing,"184,748","184,748",,27.5,27.5,86.2,86.2,642.4,3.5,5819.4,1486732,,,,Whole Building,Whole Building,38.9044661,-77.0542296
DC00150048,0015_0048,N/A,Not Reported,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,No Report Received,2500 PENNSYLVANIA AV NW,FLORENZ R OURISMAN HOSPITALITY PARTNERS,2,,Washington,DC,20037,,Not Provided,Not Provided,"94,951",,,,,,,,,,,,,,,,,
DC00152002,0015_2002,N/A,THE BADER CONDO,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,2515 K ST NW,THE BADER CONDO,2,2515 K ST NW,Washington,DC,20037,,Not Provided,Not Provided,"51,614",,,,,,,,,,,,,,,,,
DC00160884,0016_0884,N/A,Not Reported,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,No Report Received,0924 25TH ST NW,ALAMAC INC,2,,Washington,DC,20037,,Not Provided,Not Provided,"85,052",,,,,,,,,,,,,,,,,
DC00162006,0016_2006,N/A,The Griffin Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,0955 26TH ST NW,THE GRIFFIN CONDO,2,955 26th Street N.W.,Washington,DC,20037,,Not Provided,Not Provided,"77,638",,,,,,,,,,,,,,,,,
PM3685460,00160093; 00160863,3685460,950 25th Street Northwest,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0950 25TH ST NW,CLARIDGE H COOPERTVE,2,950 25th Street Northwest,Washington,DC,20037,1960,Multifamily Housing,Multifamily Housing,"144,466","373,216",,47.2,47.7,87.2,87.7,1429,3.8,14933.7,1969462,108911.656,,,Whole Building,Whole Building,38.9021021,-77.05356939
PM3361435,0017_2007,3361435,The Plaza Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0800 25TH ST NW,THE PLAZA CONDO,2,800 25th Street NW,Washington,DC,20037,1975,Multifamily Housing,Multifamily Housing,"97,188","113,721",,116.5,117,209.7,210.2,1052.8,9.3,4092.6,1394100,84864.483,,,Whole Building,,38.899878,-77.0537209
PM1327025,0024_0112,1327025,WWF,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1250 24TH ST NW,WORLD WILDLIFE FUND INC,2,1250 24th Street NW,Washington,DC,20037,1986,Office,Office,"311,428","251,707",87,63.3,63.3,198.7,198.7,2017.1,8,3276.4,4668304,,,,Whole Building,Whole Building,38.90650228,-77.05185679
PM2683077,0024_0113,2683077,American College of Cardiology Heart House,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,2400 N ST NW,AMERICAN COLLEGE OF CARDIOLOGY FOUNDATION,2,2400 N Street NW,Washington,DC,20037,1985,Office,Office,"241,362","168,891",67,76,76,232.3,232.4,1587.8,9.4,2007.5,3613022,5040.284,,,Whole Building,Whole Building,,
PM3514785,0024_0870,3514785,Fairmont Washington D.C. Georgetown,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,2401 M ST NW,LHCW HOTEL HOLDING (2002) LLC,2,2401 M Street NW,Washington,DC,20037,1985,Hotel,Hotel,"458,206","386,390",17,131.3,131.3,315.9,315.9,5113.9,13.2,25626.8,9646540,178209.073,,,Whole Building,Whole Building,38.90555725,-77.05177644
PM1649511,0024_0871,1649511,2445 M Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,2445 M ST NW,WRIT 2445 M LLC,2,2445 M Street N.W.,Washington,DC,20037,1986,Office,Office,"397,105","309,800",79,74.8,74.8,234.9,234.9,2934.4,9.5,5850.6,6791193,,,,Whole Building,,38.90558858,-77.05263423
PM2703000,0024_0885,2703000,WestEnd25,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Incomplete Report,1229-1231 25TH ST,RH 1229-1231 25TH STREET LLC,2,1255 25th Street,Washington,DC,20006,2010,Multifamily Housing,Multifamily Housing,298475,271827,,,,,,,,8630.6,,,,,Whole Building,Whole Building,38.90666626,-77.05267791
PM2809459,0024_0886*,2809459,1227 25th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,*not matched with covered building list,*not matched with covered building list,2,1227 25th Street NW,Washington,DC,20037,1988,Office,Office,,150905,71,67.7,67.7,212.7,212.7,1294.4,8.6,2079.8,2995772.262,,,,Whole Building,,38.9059887,-77.0527555
PM1488874,0024_1008,1488874,Association for American Medical Colleges,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,2450 N STREET NW,WHITMAN PLACE CONDOMINIUM,2,2450 N Street NW,Washington,DC,20037,1991,Other,Other,"101,675","207,663",,45.6,45.5,143.2,143,2866.4,13.8,2382.7,2775207,,,,Whole Building,Whole Building,,
PM3488104,0025_0808,3488104,2400 M Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,2400 M ST NW,EQR-JBG 2400 RESIDENTIAL LLC,2,2400 M Street NW,Washington,DC,20037,2006,Multifamily Housing,Multifamily Housing,"401,625","267,750",,42.4,42.4,131,131,1417.8,5.3,11740,3247596,2755.678,,,Whole Building,Whole Building,38.90507245,-77.05171073
PM3993696,0025_1646,3993696,The Atlas Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1111 25TH ST NW,ATLAS CONDOMINIUM,2,1111 25TH ST NW,Washington,DC,20037,2005,Multifamily Housing,Multifamily Housing,"112,894","112,894",,9,9.1,27.8,27.8,127,1.1,3829,289680,330.082,,,Whole Building,Whole Building,38.9045789,-77.0529714
PM3520098,0025_1782,3520098,The Columbia Residences,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,2425 L ST NW,THE COLUMBIA RESIDENCES CONDO,2,2425 L Street NW,Washington,DC,20037,2006,Multifamily Housing,Multifamily Housing,"270,803","549,021",72,45.8,45.8,106.2,106.2,2569.1,4.7,16720.9,4472962,99049.17746,,,Whole Building,Whole Building,38.9041982,-77.0523516
PM1072055,0026_0011,1072055,2401 Penn Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,2401 PENNSYLVANIA AV NW,2401P CO LLC,2,2401 Pennsylvania Ave,Washington,DC,20037,1990,Other,Other,"221,834","146,301",,76.8,76.9,208.1,208.1,1252.9,8.6,7797.5,2614546,23209.979,,,Whole Building,Whole Building,,
DC00270819,0027_0819,N/A,2400 Pennsylvania AV NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,2400 PENNSYLVANIA AV NW,S MARSH,2,2400 Pennsylvania Ave NW,Washington,DC,20037,,Not Provided,Not Provided,"71,934",,,,,,,,,,,,,,,,,
PM3185754,0027_0820,3185754,2424 Pennsylvania,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,2424 PENNSYLVANIA AV NW,PENNSYLVANIA HOUSE ASSOCIATION,2,2424 Pennsylvania Ave NW,Washington,DC,20037,1962,Multifamily Housing,Multifamily Housing,"112,936","94,500",,53.2,53.4,122.8,122.9,489.5,5.2,6004.3,886653.3,20048.992,,,Whole Building,,38.90299046,-77.05227492
PM3408959,0027_0823,3408959,The Melrose Hotel,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,2430 PENNSYLVANIA AV NW,HH MELROSE HOTEL ASSOCIATES LP,2,2430 Pennsylvania Avenue NW,Washington,DC,20037,2007,Hotel,Hotel,"164,017","190,400",68,85.3,85.6,164.1,164.4,1361.7,7.2,11558,1989542,94595.998,,,Whole Building,Whole Building,,
PM1419760,0028_0000,1419760,City Hall,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,950 24TH STREET NW,COMMERICIAL CONDOMINIUM #0000,2,950 24th St NW,Washington,DC,20052,1989,Residence Hall/Dormitory,Residence Hall/Dormitory,"120,431","157,672",48,81.6,81.8,186.9,187.1,1244.7,7.9,5974.7,2239432,52211.017,,,Whole Building,,38.9021198,-77.0517741
PM3499875,0028_0893,3499875,925 Apartments,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0925 25TH ST NW,925 LLC,2,925 25th st. NW,Washington,DC,20037,1959,Multifamily Housing,Multifamily Housing,"126,522","126,522",,32,32,97.1,97.1,497.8,3.9,6977.2,1126606,2081.147,,,Whole Building,Whole Building,,
DC00282010,0028_2010,N/A,Jefferson House Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,0922 24TH ST NW,JEFFERSON HOUSE CONDO,2,922 24th St NW,Washington,DC,20037,,Not Provided,Not Provided,"88,255",,,,,,,,,,,,,,,,,
PM3682467,0029_0003,3682467,George Washington University Inn,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0824 NEW HAMPSHIRE AV NW,GEORGE WASHINGTON UNIVERSITY,2,824 New Hampshire Ave NW,Washington,DC,20037,1958,Hotel,Hotel,"79,671","82,000",62,87.9,88.6,164.3,164.9,590.3,7.2,5311.9,827245.1,43883.52,,,Whole Building,Whole Building,38.90030297,-77.05312778
DC00300018,0030_0018,N/A,Not Reported,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,No Report Received,0801 NEW HAMPSHIRE AV NW,CHATHAM WASHINGTON DC LLC,2,,Washington,DC,20037,,Not Provided,Not Provided,"98,041",,,,,,,,,,,,,,,,,
DC00300818,0030_0818,N/A,The Elise Apartments,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,0825 NEW HAMPSHIRE AV NW,ESTELLE S GELMAN TRUSTEE,2,825 New Hampshire Ave NW,Washington,DC,20037,,Not Provided,Not Provided,"107,947",,,,,,,,,,,,,,,,,
DC00302012,0030_2012,N/A,Bon Wit Plaza,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,2401 H ST NW,BON WIT PLAZA CONDO,2,2401 H Street NW,Washington,DC,20037,,Not Provided,Not Provided,"70,638",,,,,,,,,,,,,,,,,
