Primary Key,DC Real Property ID,PM Property Id,Property Name,PM Parent Property Id,Parent Property Name,Year Ending,Report Status,Address of Record,Owner of Record,Ward,Reported Address,City,State,Postal Code,Year Built,Primary Property Type - Self Selected,Primary Property Type - Calculated,Tax Record Floor Area ,Reported Building Gross Floor Area ,ENERGY STAR Score, Site EUI (kBtu/ft²) , Weather Normalized Site EUI (kBtu/ft²) , Source EUI (kBtu/ft²) ,Weather Normalized Source EUI (kBtu/ft²) ,Total GHG Emissions (Metric Tons CO2e) ,Total GHG Emissions Intensity (kgCO2e/ft²) ,Water Use (All Water Sources) (kgal) ,Electricity Use (kWh) ,Natural Gas Use (therms) ,Fuel Oil & Diesel Fuel Use (kBtu),District Water-Based Energy Use (kBtu) ,Metered Areas (Energy),Metered Areas  (Water),Latitude,Longitude
PM3987077,0004N_0027,3987077,The Salvation Army,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,2626 PENNSYLVANIA AV NW,SALVATION ARMY,2,2626 Pennsylvania Ave NW,Washington,DC,,1974,Office,Office,"70,814","32,750",29,84,82.9,262,260,366,11,453,"801,687",,,,Whole Building,Whole Building,,
PM1419778,0006_0825,1419778,Hall on Virginia Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,2601 VIRGINIA AV NW,GEORGE WASHINGTON UNIVERSITY,2,2601 Virginia Ave NW,Washington,DC,20052,1965,Mixed Use Property,Mixed Use Property,"173,856","134,886",,55,53.8,95,94,585,4,"2,840","702,865","49,744",,,Whole Building,,,
PM2924130,0008_0806,2924130,Watergate East Inc.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,2500 VIRGINIA AV NW,WATERGATE EAST INC,2,2500 Virginia Avenue NW,Washington,DC,20037,1966,Multifamily Housing,Multifamily Housing,"449,825","389,352",,,,,,,,"8,704",,,,"22,033,128,480",Whole Building,Whole Building,38.898725,-77.054311
PM3448441,0008_0808,3448441,Watergate (Greenfield Partners LLC.),Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,2600 VIRGINIA AV NW,GREENPENZ 2600 VIRGINIA AVENUE LLC,2,2600 Virginia Avenue,Washington,DC,20037,1967,Office,Office,"286,113","218,270",77,100,98.6,188,187,"1,914",9,"1,449","2,472,412",,,"13,378,451",Whole Building,,,
PM4013976,0008_0809,4013976,Watergate west,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,2700 VIRGINIA AV NW,WATERGATE WEST INC,2,2700 Virginia Avenue NW,Washington,DC,20037,1968,Multifamily Housing,Multifamily Housing,"307,722","307,708",1,207,203.7,327,324,"4,683",15,"4,285","4,744,394","473,698",,,Whole Building,Whole Building,38.90004224,-77.05626994
PM1163866,0008_0811,1163866,0600 New Hampshire Avenue NW (Watergate),Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,0600 NEW HAMPSHIRE AV NW,WATERGATE HOLDINGS I LLC,2,600 New Hampshire Ave NW,Washington,DC,20037,1972,Office,Office,"363,050","281,989",60,119,118.5,272,272,"3,488",12,"5,815","5,525,620","1,690",,"14,381,621",Whole Building,Whole Building,38.89781099,-77.05506721
PM3485106,0008_0812,3485106,Watergate South Inc,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,0700 NEW HAMPSHIRE AV NW,WATERGATE SOUTH INC,2,700 New Hampshire Ave NW,Washington,DC,20037,1971,Multifamily Housing,Multifamily Housing,"432,755","426,755",100,13,12.5,39,39,717,2,"13,468","1,569,187",,,,Whole Building,Combination of common and tenant areas,,
DC00082881,0008_2881,N/A,,,,,Exempt from this year's disclosure,2650 VIRGINIA AVENUE NW,THE WATERGATE HOTEL CONDO,2,,Washington,DC,,,,Not Provided,"163,681",,,,,,,,,,,,,,,,,
PM1391567,0013_2073,1391567,2501 M Street Owners LLC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,2501 M ST,ASSOCIATION OF AMERICAN MEDICAL COLLEGES,2,2501 M Street NW,Washington,DC,20037,1986,Office,Office,"159,396","159,396",,30,30.1,95,95,643,4,848,"1,406,816",,,,Whole Building,Whole Building,38.9055094,-77.053806
DC00140068,0014_0068,N/A,Squire Patton Boggs,,,12/31/2014,Exempt from this year's disclosure,2550 M ST NW,CARR CRHP DC/VA PROPERTIES LLC,2,2550 M Street,Washington,DC,20037,,,Not Provided,"209,866",,,,,,,,,,,,,,,,,
