DC Real Property ID,Address of Record,Owner of Record,Ward,Property Name,Address 1,City,State,Postal Code,Primary Property Type,Year Built, Reported Building Gross Floor Area (ft²) ,Tax Record Building Gross Floor Area (ft²),Site EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),ENERGY STAR Score,Total GHG Emissions (MtCO2e),Electricity Use - Grid Purchase and Onsite (kWh),Natural Gas Use (therms),District Steam Use (kBtu),Other Fuel Use (kBTU),X-Coordinate (ESRI),Y-Coordinate (ESRI),Metered Areas (Energy)
00080806,2500 VIRGINIA AV NW,WATERGATE EAST INC,2,"Watergate East, Inc.","2500 Virginia Avenue, N.W.",Washington,DC,20037,Multifamily Housing,1966," 400,000 "," 449,825 ",28.2,94,,1594.09,3295396,,16486,,395219.0672,136802.4981,No Selection Made
00080808,2600 VIRGINIA AV NW,GREENPENZ 2600 VIRGINIA AVENUE LLC,2,Watergate Building,2600 Virginia Avenue,Washington,DC,20037,Office,1963," 217,716 "," 286,113 ",,,,,,,,,395184.5855,136864.4525,
00080811,0600 NEW HAMPSHIRE AV NW,WATERGATE HOLDINGS I LLC,2,0600 New Hampshire Avenue NW (Watergate),600 New Hampshire Ave NW,Washington,DC,20037,Office,1972," 266,215 "," 363,050 ",,,,,,,,,395204.1232,136657.9032,Whole Facility Energy Consumption
00140068,2550 M ST NW,CARR CRHP DC/VA PROPERTIES LLC,2,Westbridge Office Building,2550 M Street NW,Washington,DC,20037,Office,1978," 208,325 "," 209,866 ",67.1,226.4,81,1980.52,4099016.5,,,,395297.6598,137461.386,Whole Facility Energy Consumption
00240112,1250 24TH ST NW,WORLD WILDLIFE FUND INC,2,WWF,"1250 24th Street, NW",Washington,DC,20037,Office,1985," 331,053 "," 311,428 ",68.1,213.7,82,2222.6,5143987,,,,395495.8718,137627.8891,Whole Building
00240113,2400 N ST NW,AMERICAN COLLEGE OF CARDIOLOGY FOUNDATION,2,American College of Cardiology Heart House,2400 N Street NW,Washington,DC,20037,Office,1985," 219,951 "," 241,362 ",82.2,249.9,61,1712.1,3885859,6244.538,,,395489.4847,137681.6742,Whole Building
00240870,2401 M ST NW,LHCW HOTEL HOLDING (2002) LLC,2,"Fairmont Washington, D.C., Georgetown","2401 M Street, NW",Washington,DC,20037,Hotel,1985," 388,390 "," 458,206 ",126.1,300,22,4867.6,9086807,177354.232,,,395490.6932,137548.0557,Whole Building
00240871,2445 M ST NW,WRIT 2445 M LLC,2,2445 M Street,2445 M Street N.W.,Washington,DC,20037,Office,1986," 321,803 "," 397,105 ",77.1,265.9,79,3515.41,7275747.3,,,,395434.9163,137531.4563,No Selection Made
00250808,2400 M ST NW,EQR-JBG 2400 RESIDENTIAL LLC,2,2400 M Street,2400 M STREET NW,Washington,DC,20037,Multifamily Housing,2006," 267,750 "," 401,625 ",,,,,,,,,395492.8441,137438.9026,
00251782,2425 L ST NW,THE COLUMBIA RESIDENCES CONDO,2,The Columbia Residences,2425 L Street NW,Washington,DC,20037,Multifamily Housing,2006," 549,021 "," 270,803 ",,,,,,,,,395395.1966,137335.2173,No Selection Made
00310837,2475 VIRGINIA AV NW,POTOMAC PLAZA APARTMENTS INC,2,Potomac Plaza,"2475 Virginia Avenue, N.W.",Washington,DC,20037,Multifamily Housing,1957," 316,550 "," 316,550 ",,,,,,,,,395442.2429,136801.1827,Whole Facility Energy Consumption
00330087,2400 VIRGINIA AV NW,COLUMBIA PLAZA LP,2,Columbia Plaza All Bldgs,2400 Virginia Ave NW,Washington,DC,20037,Multifamily Housing,1968," 988,819 "," 1,544,107 ",,,,,,,,,395540.1363,136565.5146,
00360048,2300 N ST NW,TR 2300 N STREET CORP,2,2300 N Street,2300 N Street,Washington,DC,20037,Office,1986," 440,964 "," 451,879 ",96.2,,46,3710.6,8587619,,,,395596.7783,137672.5681,Whole Building
00360859,1201 24TH ST,HYATT EQUITIES LLC,2,Park Hyatt Washington,1201 24th Street NW,Washington,DC,20037,Hotel,1986," 421,400 "," 361,400 ",88.5,,26,3472.8,7069567,78770.59,,,395572.8014,137560.4988,Whole Building
00410040,2300 I ST NW,GEORGE WASHINGTON UNIVERSITY,2,Ross Hall,"2300 I St, NW",Washington,DC,20052,College/University (Campus-Level),1973," 420,653 "," 467,654 ",710.1,951.1,,20596.99,15586360.4,2453816.6,,160853.24,395594.1183,136921.1607,No Selection Made
00430026,616 23RD ST,GEORGE WASHINGTON UNIVERSITY,2,Ivory Tower,"616 23rd St, NW",Washington,DC,20052,Residence Hall/Dormitory,2004," 283,531 "," 327,530 ",89.6,228.2,31,,5093633.8,78195.2,,193411.26,395600.9024,136676.9553,No Selection Made
00500085,1250 22ND ST NW,EMBASSY/SHAW D C VENTURE,2,Embassy Suites Hotels,1250 22nd street NW,Washington,DC,20037,Hotel,1987," 306,123 "," 454,961 ",35.9,37.6,100,584.79,0,109922.9,,,395710.798,137668.5763,
00500086,1255 23RD ST,CAPITOL 50 ASSOCIATES,2,Floyd Akers Building (DDOE),1255 23rd Street NW,Washington,DC,20037,Office,1983," 347,805 "," 83,314 ",60.2,200.9,84,2967.32,6141375,,,,395710.798,137618.525,
00560030,2201 G ST NW,GEORGE WASHINGTON UNIVERSITY,2,"Funger, Duques, & Tompkins Halls","2201 G St and 725 23rd St, NW",Washington,DC,20052,College/University (Campus-Level),1970," 344,663 "," 399,958 ",110.1,282.3,,4291.54,7534905.2,122352.2,,,395709.6583,136791.1115,No Selection Made
00670059,2100 MASSACHUSETTS AV,NOIRO SOUTH LLC,2,Fairfax at Embassy Row,2100 Massachusetts Ave NW,Washington,DC,20008,Hotel,1927," 222,519 "," 217,504 ",112,235,44,2204.7,3633695,119567.646,,,395907.6381,138061.7155,Whole Building
