August 09	
                              Poor Little Fool                          	Ricky Nelson
August 30	
                              Little Star                          	The Elegants
October 04	
                              It's All In The Game                          	Tommy Edwards
November 15	
                              It's Only Make Believe                          	Conway Twitty
November 22	
                              Tom Dooley                          	The Kingston Trio
November 29	
                              It's Only Make Believe                          	Conway Twitty
December 06	
                              To Know Him, Is To Love Him                          	The Teddy Bears
January 24	
                              Smoke Gets In Your Eyes                          	The Platters
February 14	
                              Stagger Lee                          	Lloyd Price
March 14	
                              Venus                          	Frankie Avalon
April 18	
                              Come Softly To Me                          	The Fleetwoods
May 16	
                              The Happy Organ                          	Dave 'Baby' Cortez
May 23	
                              Kansas City                          	Wilbert Harrison
June 06	
                              The Battle Of New Orleans                          	Johnny Horton
July 18	
                              Lonely Boy                          	Paul Anka
August 29	
                              The Three Bells                          	The Browns
September 26	
                              Sleep Walk                          	Santo & Johnny
October 10	
                              Mack The Knife                          	Bobby Darin
November 21	
                              Mr. Blue                          	The Fleetwoods
November 28	
                              Mack The Knife                          	Bobby Darin
December 19	
                              Heartaches By The Number                          	Guy Mitchell
January 02	
                              Why                          	Frankie Avalon
January 09	
                              El Paso                          	Marty Robbins
January 23	
                              Running Bear                          	Johnny Preston
February 13	
                              Teen Angel                          	Mark Dinning
February 27	
                              The Theme From A Summer Place                          	Percy Faith And His Orchestra
May 28	
                              Cathy's Clown                          	The Everly Brothers
July 02	
                              Everybody's Somebody's Fool                          	Connie Francis
July 23	
                              I'm Sorry                          	Brenda Lee
August 13	
                              Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini                          	Brian Hyland
September 24	
                              The Twist                          	Chubby Checker
October 01	
                              My Heart Has A Mind Of Its Own                          	Connie Francis
October 15	
                              Mr. Custer                          	Larry Verne
October 22	
                              Save The Last Dance For Me                          	The Drifters
October 29	
                              I Want To Be Wanted                          	Brenda Lee
November 05	
                              Save The Last Dance For Me                          	The Drifters
November 19	
                              Georgia On My Mind                          	Ray Charles
November 26	
                              Stay                          	Maurice Williams & The Zodiacs
January 06	
                              The Lion Sleeps Tonight                          	The Tokens
January 13	
                              The Twist                          	Chubby Checker
January 27	
                              Peppermint Twist - Part I                          	Joey Dee & the Starliters
February 17	
                              Duke Of Earl                          	Gene Chandler
March 10	
                              Hey! Baby                          	Bruce Channel
March 31	
                              Don't Break The Heart That Loves You                          	Connie Francis
April 07	
                              Johnny Angel                          	Shelley Fabares
May 05	
                              Soldier Boy                          	The Shirelles
June 02	
                              I Can't Stop Loving You                          	Ray Charles
July 14	
                              Roses Are Red (My Love)                          	Bobby Vinton
August 11	
                              Breaking Up Is Hard To Do                          	Neil Sedaka
August 25	
                              The Loco-Motion                          	Little Eva
September 01	
                              Sheila                          	Tommy Roe
September 15	
                              Sherry                          	The 4 Seasons
November 03	
                              He's A Rebel                          	The Crystals
November 17	
                              Big Girls Don't Cry                          	The 4 Seasons
December 22	
                              Telstar                          	The Tornadoes
January 14	
                              Wonderland By Night                          	Bert Kaempfert And His Orchestra
February 04	
                              Will You Love Me Tomorrow                          	The Shirelles
February 18	
                              Calcutta                          	Lawrence Welk And His Orchestra
March 04	
                              Pony Time                          	Chubby Checker
April 08	
                              Blue Moon                          	The Marcels
April 29	
                              Runaway                          	Del Shannon
May 27	
                              Mother-In-Law                          	Ernie K-Doe
June 03	
                              Travelin' Man                          	Ricky Nelson
June 10	
                              Running Scared                          	Roy Orbison
June 17	
                              Travelin' Man                          	Ricky Nelson
June 24	
                              Moody River                          	Pat Boone
July 01	
                              Quarter To Three                          	U.S. Bonds
July 15	
                              Tossin' And Turnin'                          	Bobby Lewis
September 02	
                              Wooden Heart                          	Joe Dowell
September 09	
                              Michael                          	The Highwaymen
September 23	
                              Take Good Care Of My Baby                          	Bobby Vee
October 14	
                              Hit The Road Jack                          	Ray Charles and his Orchestra
October 28	
                              Runaround Sue                          	Dion
November 11	
                              Big Bad John                          	Jimmy Dean
December 16	
                              Please Mr. Postman                          	The Marvelettes
December 23	
                              The Lion Sleeps Tonight                          	The Tokens
January 05	
                              Telstar                          	The Tornadoes
January 12	
                              Go Away Little Girl                          	Steve Lawrence
January 26	
                              Walk Right In                          	The Rooftop Singers
February 09	
                              Hey Paula                          	Paul and Paula
March 02	
                              Walk Like A Man                          	The 4 Seasons
March 23	
                              Our Day Will Come                          	Ruby And The Romantics
March 30	
                              He's So Fine                          	The Chiffons
April 27	
                              I Will Follow Him                          	Little Peggy March
May 18	
                              If You Wanna Be Happy                          	Jimmy Soul
June 01	
                              It's My Party                          	Lesley Gore
June 15	
                              Sukiyaki                          	Kyu Sakamoto
July 06	
                              Easier Said Than Done                          	The Essex
July 20	
                              Surf City                          	Jan & Dean
August 03	
                              So Much In Love                          	The Tymes
August 31	
                              My Boyfriend's Back                          	The Angels
September 21	
                              Blue Velvet                          	Bobby Vinton
October 12	
                              Sugar Shack                          	Jimmy Gilmer And The Fireballs
November 16	
                              Deep Purple                          	Nino Tempo & April Stevens
November 23	
                              I'm Leaving It Up To You                          	Dale & Grace
December 07	
                              Dominique                          	The Singing Nun (Soeur Sourire)
January 04	
                              There! I've Said It Again                          	Bobby Vinton
February 01	
                              I Want To Hold Your Hand                          	The Beatles
March 21	
                              She Loves You                          	The Beatles
April 04	
                              Can't Buy Me Love                          	The Beatles
May 16	
                              My Guy                          	Mary Wells
May 30	
                              Love Me Do                          	The Beatles
June 06	
                              Chapel Of Love                          	The Dixie Cups
June 27	
                              A World Without Love                          	Peter And Gordon
July 04	
                              I Get Around                          	The Beach Boys
August 01	
                              A Hard Day's Night                          	The Beatles
August 15	
                              Everybody Loves Somebody                          	Dean Martin
August 22	
                              Where Did Our Love Go                          	The Supremes
September 05	
                              The House Of The Rising Sun                          	The Animals
October 17	
                              Do Wah Diddy Diddy                          	Manfred Mann
October 31	
                              Baby Love                          	The Supremes
November 28	
                              Leader Of The Pack                          	The Shangri-Las
December 05	
                              Ringo                          	Lorne Greene
December 12	
                              Mr. Lonely                          	Bobby Vinton
December 19	
                              Come See About Me                          	The Supremes
December 26	
                              I Feel Fine                          	The Beatles
January 02	
                              I Feel Fine                          	The Beatles
January 16	
                              Come See About Me                          	The Supremes
January 23	
                              Downtown                          	Petula Clark
February 06	
                              You've Lost That Lovin' Feelin'                          	The Righteous Brothers
February 20	
                              This Diamond Ring                          	Gary Lewis And The Playboys
March 06	
                              My Girl                          	The Temptations
March 13	
                              Eight Days A Week                          	The Beatles
March 27	
                              Stop! In The Name Of Love                          	The Supremes
April 10	
                              I'm Tel
