userName,isInvestorRelation,sentiment,replyTo,isSuggested,userID,tweetID,totalReshares,likesList,tweetBody,time,date,totalLikes,mentionedUsers
Nernurino,FALSE,,,FALSE,905459,73637870,0,,$PULM you guys all gotta look at this $CERU $ETRM $MYOS $TBIO $TENX $DFFN $ACAT $CDTI $NAKD $ATNM $TWTR $FB $AAPL,1:16:03,5/2/17,0,
finzine,FALSE,,,FALSE,839813,73637621,0,,$AAPL Apple's Trump Card Inside Your New MacBook Pro http://www.forbes.com/sites/ewanspence/2017/02/04/apple-macbook-pro-cellular-connectivity/,1:06:19,5/2/17,0,
DividendTwit,FALSE,,,FALSE,305316,73637122,0,cruisegirl4life,"$AAPL 1/4 trillion in cash. Wow, how about a special one time dividend!?!?!?",0:45:25,5/2/17,1,
EstimizeAlerts,FALSE,,,FALSE,727510,73636144,0,,"Estimize revenue expectations are 1.17% higher than that of Wall Street for $AAPL Q2 [Reporting 04/25 AMC]  http://www.estimize.com/intro/aapl?utm_content=AAPL&utm_medium=eps_update&utm_source=stocktwits#chart=historical",0:06:37,5/2/17,0,
tarasnovak,FALSE,Bullish,,FALSE,671620,73635792,0,,$QCOM I'd add more to my position here. Thanks $AAPL!,23:53:10,4/2/17,0,
jmsd,FALSE,,,FALSE,517503,73635293,0,,"$AAPL Technical Analysis Chart 2/3/2017http://scalpthatstock.com/aapl-technical-analysis-chart-232017/",23:31:10,4/2/17,0,
TrendTradingPro,FALSE,Bullish,,FALSE,893428,73635222,0,,Here's how we're planning to generate #monthly #passive #income through $AAPL http://www.thetatrades.com/blog/2017/02/04/waiting-patiently-for-aapl-while-getting-paid/,23:27:58,4/2/17,0,
PacMann,FALSE,Bearish,,FALSE,764237,73634333,0,"Asianbobby,kyjelly1,pak0011,Stumphin","$AMD  Dow could fall as low as 18,844, before picking back up and taking the next leg higher. $UVXY $AAPL $VIX $SPY $BAC $GS $NVDA shortterm",22:50:00,4/2/17,4,
YoungMula,FALSE,Bullish,,FALSE,221972,73634146,0,,What can go wrong holding FANG $FB $AAPL $AMZN $GOOGL ?,22:41:04,4/2/17,0,
dailyalerts,FALSE,,,FALSE,487487,73634080,0,Rob74,$AAPL Its that time again https://youtu.be/qIUcNLTsyYo,22:37:50,4/2/17,1,
SwingTraderAmos,FALSE,Bullish,,FALSE,388756,73633225,0,Travis2264,"$AAPL let's get behind this cause for our brave troops!https://www.sgtpizza.orgChallenge I ordered 3 pizzas today",22:05:30,4/2/17,1,
jst20946,FALSE,,,FALSE,163893,73633041,0,,$AAPL Island Reversal?,21:58:40,4/2/17,0,
Gpaisa,FALSE,,,FALSE,253775,73632804,0,"MikeyVegas,VTSwingTrader757,freddymini","$AAPL Almost filled that gap from July 22, 2015. Damn that's a long time for 'almost'",21:48:28,4/2/17,3,
StocksResearchhigh,FALSE,,,FALSE,235795,73632560,0,,$AAPL is it going up Monday?,21:39:40,4/2/17,0,
ybockyhc,FALSE,,,FALSE,127057,73632450,0,,Market Flat As Jobs Report Helps Light Earnings $NKE $RL $UA $AAPL $FB https://goo.gl/AZYas9,21:35:38,4/2/17,0,
ConsistencyKey,FALSE,Bearish,,FALSE,519804,73722095,0,,$AAPL Trump supporters slam Super Bowl ads that celebrate immigrants - http://www.bbc.com/news/blogs-trending-38883440,18:37:52,6/2/17,0,
ConsistencyKey,FALSE,Bearish,,FALSE,519804,73721962,0,,$AAPL We'll shake hands one more time $130,18:37:03,6/2/17,0,
VTSwingTrader757,FALSE,,,FALSE,272150,73721849,0,,$AAPL hard resistance at $130.49,18:36:23,6/2/17,0,
MinaKevin,FALSE,,,FALSE,655556,73721768,0,,$AAPL #Apple Reportedly Working On this New Smart Project - https://goo.gl/JfPbO5,18:35:41,6/2/17,0,
Mastertrader_Consultant,FALSE,Bullish,,TRUE,178225,73721327,0,TROMBA,$AAPL This has never been a stock to try and guess action based on every little move. Let the runners run. #investing #trading #livetradepro,18:33:11,6/2/17,1,
GoodNewsBull,FALSE,Bullish,,FALSE,543250,73721130,0,rawiron1,"$SPY Trump about to speak. Man, Bears have such an ally in him as do BTD'ers $AAPL $DIS $SBUX",18:32:06,6/2/17,1,
Dansan,FALSE,Bullish,,FALSE,46632,73721047,0,,$AAPL Honey Badger having a great day. Ride the trend.,18:31:20,6/2/17,0,
martinmannion,FALSE,,,FALSE,442358,73720988,0,,$AAPL what is the ath ? $134,18:30:55,6/2/17,0,
145_soon,FALSE,,,FALSE,356973,73720470,0,friend1ygiraffe,$AAPL impressive and expected,18:27:23,6/2/17,1,
AlexanderHamiltonx,FALSE,Bearish,,FALSE,383614,73720349,0,Hedgetamer,$FB $AMZN Double tops for both of you. Take your money and BTFD in $AAPL until $150 instead.Value will reign supreme in 2017. PE contraction,18:26:34,6/2/17,1,
calvingrinder,FALSE,,,FALSE,165596,73720348,0,,$AAPL,18:26:41,6/2/17,0,
ericpatrickrx,FALSE,,,FALSE,345325,73720119,0,,$AAPL all-time high of $133 with a recent gap up from low to high $120s. Put play coming soon?,18:24:49,6/2/17,0,
ConsistencyKey,FALSE,Bearish,,FALSE,519804,73720056,0,,$AAPL Wall Street slips as investors seek fresh catalysts - http://finance.yahoo.com/news/futures-flat-investors-seek-fresh-123606186.html,18:24:23,6/2/17,0,
OasisCapital,FALSE,Bullish,,FALSE,945839,73720053,0,Marc1234,$AAPL 131 if enough volume comes through.,18:24:21,6/2/17,1,
BetaAlerts,FALSE,,,FALSE,252718,73719915,0,,$AAPL,18:23:26,6/2/17,0,
OphirGottlieb,FALSE,Bullish,,TRUE,10056,73915887,0,,$AAPL How to win with options in Apple and become the expert in the room http://bit.ly/2jIDZ7K,2:19:49,8/2/17,0,
TheBoilerRoom2,FALSE,,,FALSE,940459,73915651,0,,$Aapl Alec Baldwin for president. He can dress just like Trump so I can LMAO everyday and buy AAPL,2:16:14,8/2/17,0,
WarrenBuffettQuotes,FALSE,,,FALSE,427017,73915181,0,"Alex2016,Hedgetamer,aet,shah63",$AAPL Someone is sitting in the shade because someone planted a tree long ago.,2:08:30,8/2/17,4,
Hedgetamer,FALSE,,,FALSE,254258,73914912,0,atlbeancounter,Apple Hires Amazon‰Ûªs Fire TV Head to Run Apple TV Business $amzn $aapl http://bloom.bg/2k0kG8Z,2:04:24,8/2/17,1,
Techguy,FALSE,,,FALSE,555679,73914338,0,,$AAPL #aapl  Apple Inc‰Ûªs (NASDAQ:AAPL) Second Attempt Of Selling Refurbished iPhones In India   https://marketexclusive.com/apple-incs-nasdaqaapl-second-attempt-selling-refurbished-iphones-india/71272/?icd1,1:56:04,8/2/17,0,
realtradeaholic,FALSE,,,FALSE,877211,73914306,0,,Apple Hires Amazon‰Ûªs Fire TV Head to Run Apple TV Business $AMZN $AAPL,1:55:27,8/2/17,0,
The_Real_Slim_Trady,FALSE,Bearish,,FALSE,837644,73914173,0,"Alchemist99,shah63",$AAPL 129 $fb 129 tomorrow,1:53:19,8/2/17,2,
myamazingdates,FALSE,,,FALSE,525181,73914033,0,"onenguyen,Hedgetamer",$AAPL So yea I shorted today - figure the downslide is more pressure than pulling up higher - will find out soon enough and will wait,1:50:54,8/2/17,2,
The_Real_Slim_Trady,FALSE,Bearish,,FALSE,837644,73913906,0,Kwiggins91,$FB $aapl Futures tanking!,1:48:59,8/2/17,1,
bizscience,FALSE,,,FALSE,563432,73913377,0,,"Market Commentary For Wed Feb 8 $EYES, $MOS, $AAPL, $BAC, $HOG, $FB, $SIG, $JPM, $GOOGL, $XRT, $FB, $IBM, $GS, $AMZN http://crweworld.com/article/finance/57700/the-moskowitz-report-eyes-mos-aapl-bac-hog-fb-sig-jpm-googl-xrt-fb-ibm-gs-amzn-ba-nflx-stock-market-commentary-for-wednesday-february-08-2017",1:40:30,8/2/17,0,
SamChase,FALSE,,,FALSE,322991,73913219,0,,"""Apple Hires Amazon‰Ûªs Fire TV Head to Run Apple TV Business"" https://www.bloomberg.com/news/articles/2017-02-08/apple-hires-amazon-s-fire-tv-head-to-run-apple-tv-business $AAPL",1:38:16,8/2/17,0,
safraz,FALSE,,,FALSE,577698,73913097,0,komunamu,What hits first? $AAPL at 135 or $DIS at 112?,1:36:18,8/2/17,1,
calvingrinder,FALSE,Bullish,,FALSE,165596,73912051,0,"trish62,kaluhiokalani71,TheFinalYOLOing",$AAPL's Iovine producing John Lennon.,1:20:56,8/2/17,3,
calvingrinder,FALSE,,,FALSE,165596,73911931,0,,$AAPL http://variety.com/2017/music/features/jimmy-iovine-apple-music-content-plan-1201979226/,1:19:19,8/2/17,0,
darrellengel,FALSE,Bearish,,FALSE,828851,73911910,0,,$AAPL Put a stop on my last 1k shrs at $128.00,1:18:58,8/2/17,0,
HyperbolicX,FALSE,,,FALSE,376469,73946742,0,,$AAPL I wonder if $AAPL could/would buy $NVDA ...They're currently working with $APPL have decent cash position and they have advanced AI.,14:24:42,8/2/17,0,
