listing_id,high,medium,low
7142618,0.037208245,0.295603427,0.667188328
6922984,0.044034186,0.20973768,0.746228135
6860805,0.037208245,0.295603427,0.667188328
7113840,0.125785198,0.465224525,0.408990277
6843735,0.002686104,0.117614568,0.879699328
7098659,0.02273571,0.045282426,0.931981864
7209423,0.010169111,0.031230346,0.958600543
7099874,0.024351492,0.175515645,0.800132863
7098442,0.037939122,0.116443332,0.845617546
7225900,0.002836849,0.01879606,0.978367091
7170692,0.005814098,0.026943197,0.967242705
7226712,0.003108711,0.017032676,0.979858613
7210643,0.004383796,0.040673021,0.954943184
7232655,0.015166667,0.054023928,0.930809405
7098880,0.00347399,0.0187906,0.97773541
6849183,0.013720852,0.241009964,0.745269184
7099119,0.001965271,0.015658292,0.982376437
7200523,0.007432837,0.093674353,0.89889281
7171562,0.003739281,0.015387637,0.980873082
7226762,0.000701461,0.021169943,0.978128596
7226918,0.004490767,0.020489556,0.975019677
7226063,0.000772694,0.013196341,0.986030965
7099838,0.034085223,0.081004152,0.884910625
7211824,0.011959591,0.020888399,0.96715201
7225802,0.005426284,0.033218175,0.961355541
7201315,0.061911297,0.225628148,0.712460555
6885109,0.016338543,0.238835385,0.744826072
7200437,0.049986172,0.228881268,0.72113256
7160363,0.005540188,0.018605754,0.975854058
7226430,0.042963784,0.125124459,0.831911757
7099425,0.029603154,0.27311863,0.697278217
7201348,0.008160243,0.031139763,0.960699994
7160101,0.022948168,0.144564689,0.832487143
7170127,0.039824957,0.127781084,0.832393959
7159392,0.007696381,0.030032447,0.962271171
7210928,0.002176985,0.021472309,0.976350706
7092529,0.109027588,0.40514052,0.485831892
6887689,0.017780071,0.23058085,0.751639079
7169834,0.025965054,0.149298137,0.82473681
7210881,0.001869632,0.014481514,0.983648853
7211726,0.03441725,0.194075324,0.771507426
7210201,0.069033776,0.406871677,0.524094546
7200917,0.03270117,0.066047038,0.901251793
7173759,0.009119381,0.020090908,0.970789712
7170660,0.003443451,0.013783491,0.982773058
7226076,0.029388385,0.173818814,0.796792801
7226839,0.031578564,0.080984979,0.887436457
7170691,0.037810824,0.348104609,0.614084567
6922966,0.017954646,0.28496124,0.697084114
7226846,0.005453004,0.040128634,0.954418363
7226264,0.005179165,0.016791541,0.978029294
7211497,0.005658133,0.03394454,0.960397327
