name,ticker,sector,industry,cyclicality_score,rel_index,start_date,tr_0.5y,tr_1y,tr_1.5y,tr_2y,tr_2.5y,tr_3y,alpha_0.5y,alpha_1y,alpha_1.5y,alpha_2y,alpha_2.5y,alpha_3y,tr_an_0.5y,tr_an_1y,tr_an_1.5y,tr_an_2y,tr_an_2.5y,tr_an_3y,alpha_an_0.5y,alpha_an_1y,alpha_an_1.5y,alpha_an_2y,alpha_an_2.5y,alpha_an_3y
CASCADE NATURAL,3526894Q US Equity,Utilities,Electric Utilities,1,SPX Index,31/12/2003,0.0695412,0.05174189,0.04223326,0.0149456,0.1239013,0.4072246,0.03512116,-0.05701571,-0.0575532,-0.1482243,-0.0706958,0.0605474,0.143918378,0.05174189,0.027960954,0.007445085,0.047831064,0.120609946,0.071475816,-0.05701571,-0.038747,-0.077083048,-0.028901776,0.019788307
CONSTELLAT ENER,CEG US Equity,Utilities,Electric Utilities,1,SPX Index,31/12/2003,-0.01823953,0.1479721,0.5342577,0.5502822,0.488058,0.9021239,-0.05265957,0.0392145,0.43447124,0.3871123,0.2934609,0.5554467,-0.03614638,0.1479721,0.330246754,0.245103289,0.172324776,0.239023663,-0.10254611,0.0392145,0.271924,0.177757318,0.108412263,0.15864852
DUKE ENERGY CORP,DUK US Equity,Utilities,Electric Utilities,1,SPX Index,31/12/2003,0.01921355,0.3020817,0.5593462,0.4727962,0.6105426,0.8594886,-0.01520649,0.1933241,0.45955974,0.3096263,0.4159455,0.5128114,0.038796261,0.3020817,0.344709163,0.213588151,0.210009797,0.229696226,-0.030181743,0.1933241,0.286712,0.144389051,0.149260857,0.147963984
EMPIRE DISTRICT,EDE US Equity,Utilities,Electric Utilities,1,SPX Index,31/12/2003,-0.05528567,0.09715055,0.1915476,0.04085248,0.08289841,0.3371341,-0.08970571,-0.01160705,0.09176114,-0.12231742,-0.11169869,-0.0095431,-0.107514835,0.09715055,0.123934315,0.02022178,0.032369312,0.101687245,-0.171364306,-0.01160705,0.060275,-0.063152851,-0.046272905,-0.003191206
ENSCO PLC-CL A,ESV US Equity,Energy,Energy Equipment & Services,5,SPX Index,31/12/2003,0.07295947,0.1722544,0.3221347,0.6421061,0.7057564,0.857488,0.03853943,0.0634968,0.22234824,0.4789362,0.5111593,0.5108108,0.151242024,0.1722544,0.204621109,0.281446878,0.238131588,0.229255063,0.078564148,0.0634968,0.14322,0.216115208,0.179571034,0.147457724
FED SIGNAL CORP,FSS US Equity,Industrials,Machinery,4,SPX Index,31/12/2003,0.07390728,0.03054716,-0.08271809,-0.1110071,-0.09655498,-0.03564529,0.03948724,-0.07821044,-0.18250455,-0.274177,-0.29115208,-0.38232249,0.153276846,0.03054716,-0.055935024,-0.0571358,-0.039802234,-0.012025804,0.080533722,-0.07821044,-0.125707,-0.148047537,-0.128592632,-0.148364161
KENNAMETAL INC,KMT US Equity,Industrials,Machinery,4,SPX Index,31/12/2003,0.1613691,0.2716706,0.1798918,0.3235488,0.6244019,0.5465825,0.12694906,0.162913,0.08010534,0.1603789,0.4298048,0.1999053,0.348778186,0.2716706,0.116592711,0.15045591,0.214164122,0.156443352,0.270014184,0.162913,0.052715,0.077208847,0.153747307,0.062630615
MANITOWOC CO,MTW US Equity,Industrials,Machinery,4,SPX Index,31/12/2003,0.08493589,0.2158603,0.3292203,0.6321519,1.897449,2.875014,0.05051585,0.1071027,0.22943384,0.468982,1.7028519,2.5283368,0.177085885,0.2158603,0.208921153,0.277557005,0.530404804,0.570692218,0.103583551,0.1071027,0.147634,0.212015676,0.488431662,0.522380964
NUI CORP,NUI US Equity,Utilities,Electric Utilities,1,SPX Index,31/12/2003,-0.09472351,0.1881442,0.422481,0.2908081,0.4438903,0.5036825,-0.12914355,0.0793866,0.32269454,0.1276382,0.2492932,0.1570053,-0.180474477,0.1881442,0.264826578,0.13613736,0.158280326,0.145650235,-0.241609043,0.0793866,0.204961,0.061903103,0.09311474,0.049812605
PUGET ENERGY INC,PSD US Equity,Utilities,Electric Utilities,1,SPX Index,31/12/2003,-0.05763713,0.08642469,0.05136344,-0.06120059,0.01148375,0.2203516,-0.09205717,-0.02233291,-0.04842302,-0.22437049,-0.18311335,-0.1263256,-0.111952221,0.08642469,0.033955658,-0.031083383,0.004577771,0.068632369,-0.175639817,-0.02233291,-0.032548,-0.119301692,-0.077715904,-0.044017659
