Condition,Rating,Review,Polarity,Name,label
Reflex Sympathetic Dystrophy Syndrome,10.0,"""I was diagnosed with RSD on Tuesday. The doctor prescribed me Gabapentin. I'm only taking 1 pill per day for the first week, then taking 2 a day for a week, then moving up to 3 per day. So far, after only taking this pill once a day for 4 days I have seen a huge improvement with my affected foot. My range of motion has increased (with the help of physical therapy) and the constant burning pain has gone down from a pain level of 5 to a 2! The crazy electrical ""zaps"" and ""zings"" have been happening less and are not as intense. I feel way more calm and confident mentally and emotionally. However, the tissue, muscle, and deep bone aches are still severe, but I'm hoping that will subside as I start to raise my dosage. I like these pills so far!""",0.0729938271605,Gabapentin,0
Restless Legs Syndrome,10.0,"""Good for sleeping and my RLS   I take 300 at nite and it works!!""",1.0,Gabapentin,0
Bipolar Disorder,10.0,"""I have been using this medication for quite some time. 300mg 3 times a day. It almost completely erases irratability without hindering my ability to think clearly. In fact it helps my concentration considerably. I am able to focus on the task at hand without freaking out about why things arent working right.""",0.246428571429,Gabapentin,0
Postherpetic Neuralgia,10.0,"""I'm on 300mg 3x a day. It's my lifesaver for neuropathy and restless legs.  It allows me to sleep at night.  I find the only side effect is increased appetite.""",0.0,Gabapentin,0
Anxiety,10.0,"""I have had periodic depression for years, and general anxiety problems as well, lately they had been getting worse.

I cannot tolerate the SSRI anti-depressants, can't even tell any effect when I take Buspar, was taking Clonazepam when things got really bad.

I went back to see a Dr. I have great respect for, had another QEEG, he said I have a ""fast brain"" (Gross CNS hyperarousal).

Started me on 300 mg Gabapentin at bedtime.  Noticed a calming, mellowing effect the first day.

Before I could not stop my mind from racing, from obsessing, and would get almost paralyzed to do anything.

I feel so much better, my mind is calm, depression is lifted, and no side effects other than a very, very slight fogginess.

So far, for me - amazing.""",0.0705555555556,Gabapentin,0
Pain,10.0,"""Okay, I want to start off by clarifying that this med won't work for everyone. But when it does work, it is amazing. This drug has been a godsend. 

I have Lupus which has caused me to have horrible pains to where I can't sleep.
I now can sleep through the night because of this med. I was on 400 mg of methadone and I still had pain. So, the doctor added gabapentin and started to taper the methadone. I am now only on gabapentin and it is wonderful.

With that being, when you first start taking it, you will feel drink and clumsy. However, those side effects go a way.

This medication works best the longer you take it. Good Luck!""",0.325,Gabapentin,0
Peripheral Neuropathy,10.0,"""I was diagnosed with neuro sarcosis. I was in so much pain until I started this medicine. I have taken it for 6 years now and I take 2400mg a day in 3 doses. I like so many others who have commented can feel the pain coming back about 30mins before my next dose. I would not be functional without it. As time has gone on I have noticed more forgetfulness but can blame it all on the medicine.""",0.24,Gabapentin,0
Trigeminal Neuralgia,10.0,"""I have had TN since 1997, and remember only needing 100 mg tid for years...but had to gradually increase that as the pain got more frequent and stronger. I am now taking 800 tid, and if the flare is bad, my neurologist says to take it 4 times a day. It is still helping control the pain, and I have been able to work and live normally. My dentist lets me cancel & reschedule if I'm having a flare. I even have some Emla cream to put carefully on the facial area that is most sensitive. There is also something called Warm Skin that a person can use in the winter, if you live in a cold region. That helps, too. I went to one national mtg and a woman was selling scarves with small pockets in them, to put handwarmer packets in! I'm glad I bought one.""",0.0943892045455,Gabapentin,0
Hot Flashes,10.0,"""20 years ago I was experiencing 33 hot flushes (I'm British!) in 24 hours, this had gone on for about five years.  Nothing worked for me.  I read an article on trials that had taken place in the US, took it to my doctor and we started me on Gabapentin.  Well, it was a godsend.  I'm not at the top of the dosage level and so I have some minor 'warm' periods but nothing I can't cope with.  After that my doctor put all her ladies on it who were having a bad time.  I'd recommend it to anyone.

No cost to me because we have the National Health Service in this coutnry.""",0.1,Gabapentin,0
Peripheral Neuropathy,10.0,"""Last year I went off gabapentin as I wanted to get a pilots license.  The FAA was so nasty because I have diabetes that I guess I will never get the medical clearance.  Lately the neuropathy got so severe I couldn't stand it so gradually worked my way back up to 9-100 mg a day.  What a difference.  I may need more later.  I did notice a few pounds packed on, and a bit of a blur in my eye with the new lens implant.  Now that I know it is the gabapentin putting the weight on, I can be more careful as I want to maintain my figure.  Lyrica made me nuts and I had terrible mood swings.  Once I got up to 700 mg of gabapentin, I noticed a big relief.""",-0.112587412587,Gabapentin,0
Peripheral Neuropathy,10.0,"""I have Multiple Sclerosis and all that comes with it. After some years of easy going I suddenly found my feet would feel like they were on fire so I arranged an appointment with my Neurologist at the local MS clinic and was prescribed Gabapentin 5% in Lipoderm. This is a creamy compound the chemist has to make each refill order and it does take a couple days notice. Anyway, the very first time I applied the lotion to the feet the pain, which was so severe I would cry in agony, dissipated rapidly and was gone within 15 minutes. I use 
1 ML twice a day to the feet and am pain free. I can not say it does anything to the numbness of the toes and bottom of feet but there is no pain to that so it is not a problem.""",0.193055555556,Gabapentin,0
Migraine,10.0,"""Got botox and been through all the meds for 8 yrs, finally got the nerve decompression surgery and thought I was well on my way then WHAM hit with a massive migraine with vertigo was horrible lasted for weeks then Dr gave me Neurontin and WHAM it pulled me right out of my migraine!!!!!! so I'm confident now, hoping for great results.""",0.216666666667,Gabapentin,0
Restless Legs Syndrome,10.0,"""I had bad rls. It went up my arms and down my legs .I am on lamictal 300mg once a day and trazodone 50mg at night. The trazodone seemed to make it worse.  Mirapex did nothing to help the restlessness .  As soon as I was prescribed neurontin, I felt better. 300mg x5 a day.  I would recommend this drug for anyone with rls.""",-0.188888888889,Gabapentin,0
Bipolar Disorder,10.0,"""Neurontin has been a life saver for me. I've been taking it for 8 years since my first time I was in a drug rehab center. My doctor started giving me neurontin as a mood stabilizer and said that it helps with opioid and heroin withdrawal symptoms. And he was absolutely right. I have been on so many medications and neurontin is definitely the best med I have taken for my symptoms. I recommend this to anyone who has the problem tht I do.""",0.322619047619,Gabapentin,0
Postherpetic Neuralgia,10.0,"""I was first given Neurontin for the shingles, for a few days nothing helped the pain of the shingles, most painful thing I have ever had. After about a week I started feeling better, was sleeping all night and now I have no pain. Even though I still have the shingles best medicine for pain I have ever taken.""",0.225,Gabapentin,0
Diabetic Peripheral Neuropathy,10.0,"""I had two major surgeries last year. A total hip and a total knee  while in rehab for the total knee. I started experiencing diabetic neuropathy. The doctor gave me 900 mgs daily for it. I can tell you it was a great improvement and was very pleased. The 1st of the year I tried a herbal medicine and it didn't work.  I did give it a month. I am now back on the gabapentin. I am so thankful for it, never will I go without it.""",0.168055555556,Gabapentin,0
Anxiety,10.0,"""I am 42 yes old and have had social anxiety my whole life. It's been hard to deal with. I became an addict because I couldn't cope. After serving in the military I went to the VA for help. I was on so many medicines I can't remember them all. Gabapentin has changed my life. Been completely clean for years and no anxiety.""",0.115476190476,Gabapentin,0
Migraine,10.0,"""I read the other comments and decided to try it.  It was wonderful! I've been using Neurontin for nerve pain down my leg for 3 months. It's great to know it serves more than one purpose.  Thanks everyone.""",0.369907407407,Gabapentin,0
Anxiety,10.0,"""When my doctor first prescribed gabapentin, normally a seizure medicine, for my anxiety, I was a little confused. She explained to me that if you look at 2 brain scans, one patient with seizures, and one with anxiety, the damage in their brain is very similar.

Within a week, I was able to feel a dramatic difference with my anxiety. Within a month, I truly felt ""normal"" again. I LOVE what this medication does for me, and it's made a huge impact on my daily life. 

I take one 300mg tablet in the morning, and two at night, and I have a very mild twitch that it's also helped to relieve as an extra plus.""",0.09375,Gabapentin,0
Peripheral Neuropathy,10.0,"""I have a c6-c7 compressed disk that has been causing severe arm pain.  The pain medicines didn't help at all but after being prescribed gabapentin the pain has completely dissappeared.""",0.1,Gabapentin,0
Anxiety,10.0,"""I have just recently started taking this medicine and my anxiety has vanished. I have even tried to make myself anxious and it will not happen. I am satisfied so far. """,0.0875,Gabapentin,0
Bipolar Disorder,10.0,"""I have a diagnosis of Bipolar 1 spectrum that has been classified as treatment resistant as no meds have allowed for me to have much success without dire side effects or polarizing symptoms. I was put on 100mg. 3 times a day. After 4 years of major rapid cycling mood symptoms Gabapentin worked immediately with no side effects. Its so strange to wake up feeling great and to go to sleep at night feeling great. I even have made many new friends and had several job offers since I started this miracle drug. No depression or mania for 2 weeks. So incredibly grateful""",0.354886363636,Gabapentin,0
Vulvodynia,10.0,"""I started using Neurontin this summer. I was not able to function when my vulvodynia flared up, so many hours and days were spent lying on the couch in pain. Neurontin kicks in pretty fast and helps me be able to be productive. I would be lost without its help!""",0.204166666667,Gabapentin,0
