Condition,Rating,Review
Bipolar Disorder,10,"""I was afraid to take this medication I went online and looked it up and read so many bad things about it hair loss memory loss etc ... I am so glad I went ahead and gave it a try for myself I think it's a miracle drug ! It's helped stabilize my mood, taken away my migraines and even helped me lose a few pounds !!! I haven't had any negative side effects at all from it ! I know it's effects everyone differently and for me personally it's been great I love it!"""
Migraine Prevention,10,"""After 7 years of debilitating migraines almost daily and rebound headaches from taking Excedrin and ibuprofen, I finally found a doctor that was willing to help me. She suggested Topamax and just in this short period of a couple months, there's been a significant difference. Not only am I rarely having pain, I feel less anxious and more balanced out emotionally as well. Even friends and co-workers can see the difference in my mood! As for side effects, I experienced the tingling in my hands, feet and face but my Dr. mentioned taking a Multi vitamin each day, which has seemed to help. Also been drinking LOTS of water, to counteract the major dry mouth. Overall, Topamax has been more of an effective, positive experience for me than anything."""
Trigeminal Neuralgia,10,"""I have taken it for 1 and 1/2 years for migraine. Also, after developing chronic lower back pain from degenerative discs it has really helped me cope with the pain."""
Obesity,10,"""I am 56 years old and weighed 249 pounds. Finally decided to deal with this weight issue once and for all. My knees prevented me from working out and my weight caused my knee issue. I sat down with my primary care physician and she ultimately suggested the use of topamax. In July 2015 i started with 25 milligrams and evolved to 125 miligrams. It is now December 8 and I weigh 221 pounds. Here is how I would describe the experience. It stops the need to impulse eat, so you don't feel deprived, so...your not crying when the scale isn't moving quickly. Its not quick, because I am post menopausal...but
its not painful. Appetite is down, I can now walk 45 minutes...and for the first time in my life..I know I will reach a goal weight."""
Seizure Prevention,10,"""I have had extremely positive effects from this drug, but I do have to take Prozac with it as it causes mood swings or depression with me."""
Seizures,10,"""I went to a new doctor and mentioned to her that I had a binge eating problem in addition to having PCOS(also causes weight gain) and recently being diagnosed diabetic. She put me on Trokendi XR and told me it would help with the binge eating and OMG has it! Not only has it changed the taste of foods, where before foods I would normally eat all of in one sitting, I now only eat a literal serving size of and don't physically want anymore, and most times don't even want to eat unless I'm physically hungry. I HIGHLY recommend trying this instead of surgery or letting them put you in a hospital if you an overeating problem. Surgery should be a LAST resort! Good luck to all! <3"""
Seizure Prevention,10,"""This medication has really helped my seizures plus my migraines. It is really convenient because I have both problems and I don't have to take two medications for both problems. Topamax is great."""
Bipolar Disorder,10,"""I take this as a mood stabalizer it has really helped level out my moods"""
Migraine Prevention,10,"""have been researching and researching for so many years and I have to say that Topamax saved my life.  I am currently 23 years old,  and I started having these migraines when I was 15. I didn't know that this would be a lifelong thing that would eventually lead me to be on daily medication. The frequency that I would get them,would be more than six times a month. Anyway, I went on propannalol? (Beta blocker), NO SUCESS. & then doctors prescribed me topamax. I didn't have any side effects. At all. No tingling. Nothing. And GUESS WHAT, I didn't have a migraine for 3 years!!!! NOT ONE. but I got off of it, thinking they were ""gone"" & now I'm suffering with new hormonal migraines. Going back on topamax & hoping for same results!!!!"""
Migraine Prevention,10,"""I would get headaches all the time to the point I was not a functioning human being. I'm 26 and the past few years they gotten more frequent more painful and more uncontrollable. My doctor recommended topiramate and after a few trials of different mg it's a game changer. I honestly never get headaches anymore and had not a single side effect from this medication (which I was concerned about). It really does help and gave me a feeling of normalcy back in my life."""
Obesity,10,"""I was just diagnosed with epilepsy about 2 weeks ago and I am now taking 50 mg of topamax 2 times a day and I have to say this is the best thing ever!  I don't know how much I have lost because I did not know what I was when I started and I need to get a new set of scales.  I was around 240 lbs so I needed.  I noticed right away that my diet Dr pepper tasted flat and just thought that I had a bad batch till the next case tasted worse.  I also noticed that food tasted ""off"" too,  now my appetite is down and I took a deeper look at the info on topamax and know this is the drug I have been needing the last 10 years!"""
Migraine Prevention,10,"""Love this medicine, no headaches."""
Migraine Prevention,10,"""After several concussions, i was left with months of daily, debilitating headaches that were ruining my quality of life. My neurologist prescribed me this medication for post concussive syndrome- 50 mgs a day and it has been a miracle drug! This medicine has given me my life back. I am much more mobile, less irritable, and overall happier. I've been on the medicine for about a month though, and have seen a slight return of symptoms. I used to live off of over the counter pain killers, but this medicine has really helped to repair the damage to my brain after tbi. Was warned it would effect memory, but haven't noticed that as a side effect."""
Seizure Prevention,10,"""Great   and Keppra too"""
Obesity,10,"""Update I started Topamax a week ago tomorrow 50mg at night and I have lost 5 lbs I'm 5'3"" and started at 157lbs I am at the Dr.s now stepped on the scale and I'm at 152 so I couldn't be happier...I have very minimal side effects taking them at night helps with those I sleep very well and I have had some tingling fingers but nothing unbearable...all in all I am very happy with the 5 lbs  lost in 6 days looking forward to more weight loss in one more week I do increase my dosage to 100 mg so we shall see about those side effects...but if things keep going the way then I might stay on them for a while"""
Trigeminal Neuralgia,10,"""It took me a year to be diagnosed with Trigeminal Neuralgia - and I had to go to a doctor in Vienna for this, because the doctors in Romania misdiagnosed me - but Topamax is the medicine that really saved my life. Literally! Because I was contemplating suicide, the pain was that bad and nothing else was working for me. I have lost a little weight in the first couple of months and I also have some trouble finding common words while speaking, but otherwise I did not experience any other side effects so far. My cholesterol level is now increasing - I am wondering if anyone is experiencing that as a possible side effect."""
Migraine Prevention,10,"""I have suffered from severe migraines since I was 15 and the older I got the more severe they got I have been on numerous medications over the years but 5 years ago I found a neurologist that gave me Topamax and my life has changed completely 50g in the morning and 50g at night and I don't get any anymore I had a few at the start but haven't had a headache now for a few years thank God for Topamax"""
Migraine Prevention,10,"""I was on Corgard for 7 years and it did not control my migraines. I get complex migraines with neuro symptoms... numbness on one side of face/arm/hand... .feels like a stroke, but isn't.... have had CTs etc. Anyway, was switched to Topomax at 25 mg in March and increased to 50mg in May... no migraines except for one episode of a few days of the 'aura' but did not go into the full blown scary feeling migraine. My side effects have been significant  weight loss and some word find issues, but I would not trade them for feeling like I am having a stroke. I don't know the long term effect of taking Topamax though.... will have to ask my neurologist. I have changed to a new one recently. Am so thankful so far for Topamax."""
Migraine Prevention,10,"""I suffer bi-lateral migraines and have been on Topamax for several years off and on now. I have mixed reviews.  I LOVE Topamax, because nothing else works for me. In fact I was given Maxalt and Propranolol together and wound up in the hospital almost dead. You can NOT take those two together. All medicines have side effects, so does Topamax. I liked the weight loss in the beginning, but be careful with it. I lost 80 lbs and couldn't stop. I forgot to eat. Topamax makes me just not hungry. I have it fixed now and watch out for it, but it was very scary. The memory loss has been a problem at times, but has been funny too. I have not experienced the HOT they spoke of...I FREEZE ALL THE TIME!"""
Bipolar Disorder,10,"""After so many years of trying I finally start to function as a ( almost) normal human being. Topamax is my lifesaver."""
Migraine Prevention,10,"""I've been taking Topamax for about a year now. I started at 25 mg twice a day and I currently take 100 mg twice a day.  IT IS WONDERFUL. I have had only 2-3 migraines since my Dr upped my dosage 3 months ago. I still get ""regular"" headaches 4-5 times a day but I can handle those. I was gearing 5--6 migraines a week before Topamax. The side effects are all there but I don't care as long as the migraine pain stays away."""
Migraine Prevention,10,"""Topamax has significantly reduced my migraines from 1 a month to 1 every 18 months.  I have also found that it helps you - to not over eat or drink alcohol.  I am very happy being on Topamax for all these reasons.  I initially did have tingly feet, a small price to pay, but rarely get that sympton now.  I am on 50 mg a day."""
