Condition,Rating,Review
Generalized Anxiety Disorder,10,"""I've only taken this for three days and already I feel so much calmer.  I have struggled with anxiety for a long time and am on many antidepressants.  What a relief!  I would recommend this to anyone with anxiety."""
Neuralgia,10,"""This is the best help I have had.  Before I started using Lyrica I had to go to the doctor for injections often. One day he asked whether anyone ever gave me anything for nerve pain.  He gave me Lyrica and I take 75mg twice a day and I have not been this pain free in years."""
Fibromyalgia,10,"""I have suffered from Fibromyalgia for years and have regular flare ups. The nerve pain in my jaw and neck was horrific. I found even oxynorm and Tramil was not able to control the pain. This drug has changed my life dramatically.... I feel almost normal again and able to cope with my symptoms. I am on the lowest dose of 25mg. 2 times per day and combined with 10mg. of Endep I can now get a good nights sleep and no nerve pain. I have been advised to stay on this dosage for at least 3 months and then cut down to one per day and eventually cease taking it. As I am very sensitive to drugs I was surprised that I have had no side effects. Thanks for giving my life back..... I don't know how I would have survived without it?"""
Neuralgia,10,"""I take 300mg Lyrica once per day b4 bedtime..along with 1000 mg aceteminophen (Panadol/Tylenol) 3 times daily for trigeminal neuralgia..it is a godsend..i love this regimen..works wonders for my severe facial pain..the side effects i will take gladly for my pain relief..side effects include unsteady gait which subsides once my body gets accustomed to the dosage n lowered libido which returns within a day or two of not taking this regimen..otherwise i love Lyrica."""
Diabetic Peripheral Neuropathy,10,"""I started using Lyrica six months after it was put on the market and I think it is a miracle drug for those of us who could not sleep or relax in any way due to severe neuropathy.  The only side effect I experienced was sleepiness which disappeared after about a week.  This is a wonderful, wonderful thing for diabetics with nerve pain.  Thank you to the makers!"""
Reflex Sympathetic Dystrophy Syndrome,10,"""I have Reflex Sympathetic Dystrophy Syndrome and to those who actually have to feel the constant pain that we do, knows just how hard it makes our daily life. I have been on neurontin and amytriptiline and have had nerve blocks. I cry after I have a nerve block because I for a short time feel normal. These blocks are dangerous and I have had some complications.  My family physician prescribed Lyrica and I see a huge difference in my pain. I now have hope to live a normal life!"""
Peripheral Neuropathy,10,"""I used this for my last herniated disk issue.  I had a sequestered herniated L5 L4 issue and suffered from nerve pain down my left leg and drop foot.  Pain Medications (e.g. 10mg Percocet 3-4 times daily) did nothing for my leg pain though helped my back.
Lyrica at 150mg twice daily did the trick for my leg nerve pain. The sciatica makes your leg kill while you know nothings wrong with it, so with Lyrica I was amazed to have the leg pain just disappear. No side effects. Sciatica went away by itself after 3 months so no need for Lyrica anymore."""
Generalized Anxiety Disorder,10,"""All I can say is I love it. I am scared to take meds doctors give me but my anxiety is that bad I thought I can not go on like this I have to do something about it. I started of on 50 at night just to see how I would cope it chilled me out and when I woke I didn't feel heavy so that was good. Because when I take a pill on the night and next day get up heavy makes my anxiety mad.  But started on 50. Now am on 100s 3 times a day. Can talk to people can go for hair cut can sit in the same room as people look at there face when talking to me. With out almost passing out. If I was to say if you wanted to get anxiety under control these are well worth ago. Plus I also recommend propranolol beta blockers 40mg 4 times a day  They are great as well"""
Fibromyalgia,10,"""Suffering from complex pain syndrome and resultant fibromyalgia, and to find something that reduces the burning pain of my skin and along with other drugs to help with sleep has made me feel like ""myself"" for the first time in over 7 years.  I have shed many tears in pain and dejection, but not so many lately.  Thanks Lyrica."""
Neuropathic Pain,10,"""I posted below. Been taking since Sept, I take 50ml x3 at night although presp says 3 a day. Sleep like a baby, no pain still, and wake refreshed. At first it might make u feel little drunk in am, just silly, nothing bad. Still working and a lifesaver! I needed to update on the free prescription, it's Pfizer website and goto patient presp program. Fill out info along w required things, mail it, in 2 weeks u get letter if accepted, then prsp comes by FedEx! U have to call close to running out each month so that Pfizer can fedex u your refill! Got mine paid for a year! Otherwise it's $400 for 90 pills. I get 50ml free from Pfizer a 90 day supply! Thank you Pfizer!"""
