Condition,Rating,Review
Reflex Sympathetic Dystrophy Syndrome,10,"""I was diagnosed with RSD on Tuesday. The doctor prescribed me Gabapentin. I'm only taking 1 pill per day for the first week, then taking 2 a day for a week, then moving up to 3 per day. So far, after only taking this pill once a day for 4 days I have seen a huge improvement with my affected foot. My range of motion has increased (with the help of physical therapy) and the constant burning pain has gone down from a pain level of 5 to a 2! The crazy electrical ""zaps"" and ""zings"" have been happening less and are not as intense. I feel way more calm and confident mentally and emotionally. However, the tissue, muscle, and deep bone aches are still severe, but I'm hoping that will subside as I start to raise my dosage. I like these pills so far!"""
Restless Legs Syndrome,10,"""Good for sleeping and my RLS   I take 300 at nite and it works!!"""
Bipolar Disorder,10,"""I have been using this medication for quite some time. 300mg 3 times a day. It almost completely erases irratability without hindering my ability to think clearly. In fact it helps my concentration considerably. I am able to focus on the task at hand without freaking out about why things arent working right."""
Postherpetic Neuralgia,10,"""I'm on 300mg 3x a day. It's my lifesaver for neuropathy and restless legs.  It allows me to sleep at night.  I find the only side effect is increased appetite."""
Anxiety,10,"""I have had periodic depression for years, and general anxiety problems as well, lately they had been getting worse.

I cannot tolerate the SSRI anti-depressants, can't even tell any effect when I take Buspar, was taking Clonazepam when things got really bad.

I went back to see a Dr. I have great respect for, had another QEEG, he said I have a ""fast brain"" (Gross CNS hyperarousal).

Started me on 300 mg Gabapentin at bedtime.  Noticed a calming, mellowing effect the first day.

Before I could not stop my mind from racing, from obsessing, and would get almost paralyzed to do anything.

I feel so much better, my mind is calm, depression is lifted, and no side effects other than a very, very slight fogginess.

So far, for me - amazing."""
Pain,10,"""Okay, I want to start off by clarifying that this med won't work for everyone. But when it does work, it is amazing. This drug has been a godsend. 

I have Lupus which has caused me to have horrible pains to where I can't sleep.
I now can sleep through the night because of this med. I was on 400 mg of methadone and I still had pain. So, the doctor added gabapentin and started to taper the methadone. I am now only on gabapentin and it is wonderful.

With that being, when you first start taking it, you will feel drink and clumsy. However, those side effects go a way.

This medication works best the longer you take it. Good Luck!"""
Peripheral Neuropathy,10,"""I was diagnosed with neuro sarcosis. I was in so much pain until I started this medicine. I have taken it for 6 years now and I take 2400mg a day in 3 doses. I like so many others who have commented can feel the pain coming back about 30mins before my next dose. I would not be functional without it. As time has gone on I have noticed more forgetfulness but can blame it all on the medicine."""
Trigeminal Neuralgia,10,"""I have had TN since 1997, and remember only needing 100 mg tid for years...but had to gradually increase that as the pain got more frequent and stronger. I am now taking 800 tid, and if the flare is bad, my neurologist says to take it 4 times a day. It is still helping control the pain, and I have been able to work and live normally. My dentist lets me cancel & reschedule if I'm having a flare. I even have some Emla cream to put carefully on the facial area that is most sensitive. There is also something called Warm Skin that a person can use in the winter, if you live in a cold region. That helps, too. I went to one national mtg and a woman was selling scarves with small pockets in them, to put handwarmer packets in! I'm glad I bought one."""
Hot Flashes,10,"""20 years ago I was experiencing 33 hot flushes (I'm British!) in 24 hours, this had gone on for about five years.  Nothing worked for me.  I read an article on trials that had taken place in the US, took it to my doctor and we started me on Gabapentin.  Well, it was a godsend.  I'm not at the top of the dosage level and so I have some minor 'warm' periods but nothing I can't cope with.  After that my doctor put all her ladies on it who were having a bad time.  I'd recommend it to anyone.

No cost to me because we have the National Health Service in this coutnry."""
Peripheral Neuropathy,10,"""Last year I went off gabapentin as I wanted to get a pilots license.  The FAA was so nasty because I have diabetes that I guess I will never get the medical clearance.  Lately the neuropathy got so severe I couldn't stand it so gradually worked my way back up to 9-100 mg a day.  What a difference.  I may need more later.  I did notice a few pounds packed on, and a bit of a blur in my eye with the new lens implant.  Now that I know it is the gabapentin putting the weight on, I can be more careful as I want to maintain my figure.  Lyrica made me nuts and I had terrible mood swings.  Once I got up to 700 mg of gabapentin, I noticed a big relief."""
