restaurant_name,restaurant_address,restaurant_cuisine,restaurant_ranking,restaurant_num_review,restaurant_lon_lat,reviewer_id,reviewer_location,reviewer_level,review_title,review_content,review_time
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",Thorner H,"New York City, New York",levelBadge badge lvl_05,Food like no other and vegetarian at that!,"5 star service from the moment you walk in. I also want to point out this is a no tipping restaurant; this has an incredibly positive effect on all of the staff. Innovative and exceptionally fresh food. Dirt candy is a very interesting place to take anyone for a meal, but particularly someone who has not thought much of a...
More ","Reviewed January 4, 2017"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",Sankarmukh,"New York City, New York",levelBadge badge lvl_06,Dirt Candy: A great vegetarian restaurant,"We, a party of two, had a reservation at 7pm on Saturday. On arrival, we were seated on high stools overlooking the kitchen. The restaurant was crowded and I was happy to find a seat. Actually, it was pretty interesting to watch the kitchen staff. The web site menu does not talk about tasting menu but they have a great...
More ","Reviewed January 4, 2017"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",Joanne F,,levelBadge badge lvl_02,Delicious and creative vegetarian food,"We had a family lunch here on a recent snowy Saturday afternoon and it was quite a treat! I had the lunch special which came with a coffee, cocktail, appetizer and main course for $30. The cocktail was called a Poolside Breeze and was basically a prosecco spritzer with cilantro, cucumber and a touch of jalapeño. It was delicious and...
More ","Reviewed January 4, 2017"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",isik s,"Tel Aviv, Israel",levelBadge badge lvl_06,Vegetarians club.,"The food here is good (but not great). The Korean Fried Broccoli was a bit too spicy for me, and felt like an apetizer from a cheap Korean resturant. Other dishes where nice and the servise was exelant (the staff earned the forth star).","Reviewed January 4, 2017"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",Sara R,,levelBadge badge lvl_06,Delicious and unique,"I will start off by saying that if you are picky and boring with food, you won't like this place. Haha. The menu is very innovative and cool - every dish is based around a specific vegetable. It's also done kind of tapas style - small plates to share. They recommend two plates per person but we like food so...
More ","Reviewed January 4, 2017"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",K4lps,,levelBadge badge lvl_04,Who needs Michelin stars,"Forget Michelin stars, this place has amazing food which is prepared with great intricacies. The food doesn't only taste amazing but the presentation is fantastic.","Reviewed January 4, 2017"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",MMC2015,"Pittsburgh, Pennsylvania",levelBadge badge lvl_05,"Excellent food and drinks, absolutely love this place!","My boyfriend and I have been several times and we can't get enough of Dirt Candy! We initially went on a recommendation from a chef friend who knows I am vegetarian and we loved it. The food is interesting and tasty, though I will warn the portions (especially for entrees) are on the smaller side. I would definitely recommend getting...
More ","Reviewed January 4, 2017"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",lunahod,"New York City, New York",levelBadge badge lvl_05,Vegetarian tango,"Did the chefs choice menu which they had as a special at their grand str location. Great culinary craftsmanship, interesting ideas, flavour accords of 4-6 notes with each one sounding distinctly. Deserts are smart and tasty. Great calm atmosphere. Perfect night out dinner.","Reviewed January 4, 2017"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",LarchFoodie,"Larchmont, New York",levelBadge badge lvl_06,Vegetarian/vegan food like no other!,"Incredibly creative and beautifully presented vegetarian/vegan food! Unique and playful approach to vegetables that is surprising, exciting, and for the most part, delicious! Our party of four treated ourselves to the tasting menu in order to sample as many of chef Amanda Cohen's dishes as possible. We were not disappointed! From the monkey bread pot through to the Brussels sprouts...
More ","Reviewed January 4, 2017"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",Lotjestar,"Deinze, Belgium",levelBadge badge lvl_04,A must for vegan foodlovers!,"We went here for dinner on a Saturday night and were pleasantly surpised! The food is amazing! You can choose several dishes to share with your party. Everything we had was soooo good. We were suggested to go for whatever sounded the most bizarre and this really worked out. The staff was great! Certainly ask for recommandations or clarifications. It's...
More ","Reviewed January 4, 2017"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",Thorner H,"New York City, New York",levelBadge badge lvl_05,Food like no other and vegetarian at that!,"5 star service from the moment you walk in. I also want to point out this is a no tipping restaurant; this has an incredibly positive effect on all of the staff. Innovative and exceptionally fresh food. Dirt candy is a very interesting place to take anyone for a meal, but particularly someone who has not thought much of a...
More ","Reviewed January 4, 2017"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",Sankarmukh,"New York City, New York",levelBadge badge lvl_06,Dirt Candy: A great vegetarian restaurant,"We, a party of two, had a reservation at 7pm on Saturday. On arrival, we were seated on high stools overlooking the kitchen. The restaurant was crowded and I was happy to find a seat. Actually, it was pretty interesting to watch the kitchen staff. The web site menu does not talk about tasting menu but they have a great...
More ","Reviewed January 4, 2017"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",Joanne F,,levelBadge badge lvl_02,Delicious and creative vegetarian food,"We had a family lunch here on a recent snowy Saturday afternoon and it was quite a treat! I had the lunch special which came with a coffee, cocktail, appetizer and main course for $30. The cocktail was called a Poolside Breeze and was basically a prosecco spritzer with cilantro, cucumber and a touch of jalapeño. It was delicious and...
More ","Reviewed January 4, 2017"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",isik s,"Tel Aviv, Israel",levelBadge badge lvl_06,Vegetarians club.,"The food here is good (but not great). The Korean Fried Broccoli was a bit too spicy for me, and felt like an apetizer from a cheap Korean resturant. Other dishes where nice and the servise was exelant (the staff earned the forth star).","Reviewed January 4, 2017"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",Sara R,,levelBadge badge lvl_06,Delicious and unique,"I will start off by saying that if you are picky and boring with food, you won't like this place. Haha. The menu is very innovative and cool - every dish is based around a specific vegetable. It's also done kind of tapas style - small plates to share. They recommend two plates per person but we like food so...
More ","Reviewed January 4, 2017"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",K4lps,,levelBadge badge lvl_04,Who needs Michelin stars,"Forget Michelin stars, this place has amazing food which is prepared with great intricacies. The food doesn't only taste amazing but the presentation is fantastic.","Reviewed January 4, 2017"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",MMC2015,"Pittsburgh, Pennsylvania",levelBadge badge lvl_05,"Excellent food and drinks, absolutely love this place!","My boyfriend and I have been several times and we can't get enough of Dirt Candy! We initially went on a recommendation from a chef friend who knows I am vegetarian and we loved it. The food is interesting and tasty, though I will warn the portions (especially for entrees) are on the smaller side. I would definitely recommend getting...
More ","Reviewed January 4, 2017"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",lunahod,"New York City, New York",levelBadge badge lvl_05,Vegetarian tango,"Did the chefs choice menu which they had as a special at their grand str location. Great culinary craftsmanship, interesting ideas, flavour accords of 4-6 notes with each one sounding distinctly. Deserts are smart and tasty. Great calm atmosphere. Perfect night out dinner.","Reviewed January 4, 2017"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",LarchFoodie,"Larchmont, New York",levelBadge badge lvl_06,Vegetarian/vegan food like no other!,"Incredibly creative and beautifully presented vegetarian/vegan food! Unique and playful approach to vegetables that is surprising, exciting, and for the most part, delicious! Our party of four treated ourselves to the tasting menu in order to sample as many of chef Amanda Cohen's dishes as possible. We were not disappointed! From the monkey bread pot through to the Brussels sprouts...
More ","Reviewed January 4, 2017"
Dirt Candy,"86 Allen St, New York City, NY 10002-3014","Vegetarian Friendly, Vegan Options",#408,224 Reviews,"40.717892,-73.990982",Lotjestar,"Deinze, Belgium",levelBadge badge lvl_04,A must for vegan foodlovers!,"We went here for dinner on a Saturday night and were pleasantly surpised! The food is amazing! You can choose several dishes to share with your party. Everything we had was soooo good. We were suggested to go for whatever sounded the most bizarre and this really worked out. The staff was great! Certainly ask for recommandations or clarifications. It's...
More ","Reviewed January 4, 2017"
