"","listing_id","Renovate1","EatIn1","FeeNo","Prewar1","Dining1","Dishwasher1","Marble1","HighCeiling1","Hardwood1","Deck1","Elevator1","LaundryNone","Cat1"
"4","7170325","0","1","0","1","1","1","0","0","1","0","0","0","1"
"6","7092344","1","1","1","0","0","1","0","0","1","0","1","0","0"
"9","7158677","0","1","0","0","0","1","0","0","1","0","1","0","0"
"10","7211212","0","1","0","0","0","0","0","0","0","0","0","1","0"
"15","7225292","0","0","0","0","0","0","0","0","0","0","1","0","0"
"16","7226687","0","1","1","0","1","1","0","0","1","0","1","0","0"
"18","7126989","0","0","1","0","0","1","0","0","1","0","0","0","0"
"19","7114138","1","0","1","0","0","1","0","0","1","0","1","0","0"
"23","7131094","0","1","0","0","0","0","0","1","1","0","0","1","0"
"32","7224815","0","1","0","0","1","1","0","0","0","0","0","0","1"
"33","7107333","0","1","0","0","0","0","0","1","1","0","1","0","1"
"36","7088993","0","1","1","1","0","1","1","0","1","1","1","0","1"
"38","7216312","0","0","1","0","0","1","0","0","1","1","1","0","0"
"39","7140668","0","1","0","0","0","0","0","1","1","0","0","1","0"
"42","7141160","0","1","1","0","0","1","0","0","1","0","1","0","1"
"43","7753784","1","1","0","0","0","0","0","0","0","0","0","1","0"
"44","7140840","0","0","0","0","0","0","0","0","1","0","1","1","0"
"46","7172046","0","0","1","0","0","1","1","0","1","0","1","0","1"
"49","7168225","1","0","0","0","0","0","0","1","1","0","0","1","0"
"61","7213185","1","0","0","0","0","0","0","0","0","0","0","1","0"
"66","7206465","0","0","0","0","0","1","0","0","0","0","0","1","0"
"67","7134612","0","0","0","0","0","0","1","0","1","0","1","1","1"
"69","7156935","0","0","0","0","0","1","0","0","0","0","1","0","1"
"74","7096161","0","1","1","0","1","1","0","0","1","1","1","0","0"
"78","7131812","0","0","1","0","0","0","0","0","0","0","0","0","0"
"80","7185840","1","1","1","0","0","1","1","0","1","0","0","0","0"
"82","7114220","0","1","0","0","0","0","0","0","0","1","1","0","0"
"83","7231209","1","1","0","0","0","0","1","0","1","0","0","1","1"
"84","7229242","0","0","0","0","0","1","0","0","1","0","0","0","0"
"85","7089887","1","1","1","0","0","1","1","0","1","0","1","0","1"
"87","7217009","1","1","0","1","0","1","0","1","1","0","0","0","0"
"88","7167986","0","0","0","0","0","0","0","0","1","0","1","1","0"
"89","7126940","0","1","0","1","0","0","0","0","0","0","0","1","0"
"92","7159596","0","1","0","0","0","0","0","0","0","1","1","0","1"
"93","7111210","0","1","0","0","1","0","0","0","1","0","1","1","0"
"101","7152345","0","0","0","0","0","0","0","0","0","0","1","1","1"
"102","7204899","1","1","0","0","0","1","1","1","1","0","0","0","1"
"104","7230245","1","0","0","0","0","0","0","0","1","0","0","1","0"
"106","7211226","1","1","0","0","1","1","0","0","1","0","0","0","1"
"107","7195563","0","1","0","1","0","0","0","0","1","0","1","0","0"
"111","7181313","0","0","1","0","0","0","0","0","0","0","0","1","0"
"113","7206858","1","1","0","0","0","1","0","0","1","0","1","0","0"
"115","7126878","1","1","0","0","0","1","0","0","0","0","0","1","0"
"117","7174518","1","0","0","1","0","0","0","0","0","0","0","1","1"
"118","7209804","1","0","0","0","1","1","1","1","1","0","1","0","0"
"121","7119598","0","1","0","1","0","1","1","0","1","1","1","0","1"
"122","7133917","0","0","0","0","0","0","0","0","0","0","1","1","1"
"133","7174224","0","0","1","0","0","1","0","1","1","0","0","0","1"
"136","7157060","1","0","0","0","1","0","0","0","0","1","1","0","0"
"139","7173006","0","1","0","1","0","0","0","1","1","0","0","1","0"
"140","7216314","1","1","1","1","1","1","0","0","1","0","1","0","0"
"145","7219476","0","0","0","0","0","0","0","0","0","0","1","1","1"
"146","7139119","0","1","0","0","0","0","0","0","0","0","1","1","1"
"151","7206653","1","1","0","0","0","1","0","1","1","1","0","0","1"
"152","7091061","0","0","0","0","0","0","0","0","0","0","1","1","1"
"158","7097027","0","0","0","0","0","0","0","0","0","0","0","1","1"
"161","7106145","1","1","1","0","0","0","0","0","0","0","0","0","1"
"170","7167352","0","1","0","0","0","0","0","0","1","0","1","1","1"
"171","7168370","0","1","0","0","0","1","0","0","1","0","1","0","0"
"181","7097907","0","0","0","1","1","1","0","0","1","0","0","0","1"
"182","7231268","0","0","0","0","0","0","0","0","0","0","0","1","0"
"186","7136953","0","1","1","0","0","1","0","0","1","1","1","0","0"
