"","listing_id","interest_level","Positive.Affect","Space.Affect","About.Town.Affect","Character.Count"
"4",7170325,"medium",3,3,1,553
"6",7092344,"low",1,2,3,827
"9",7158677,"medium",5,5,1,799
"10",7211212,"medium",1,0,0,588
"15",7225292,"low",0,1,0,344
"16",7226687,"low",3,7,0,907
"18",7126989,"low",3,4,0,489
"19",7114138,"high",2,2,2,439
"23",7131094,"low",1,2,1,379
"32",7224815,"low",5,5,2,1374
"33",7107333,"low",0,2,0,489
"36",7088993,"low",4,4,3,689
"38",7216312,"medium",2,4,1,555
"39",7140668,"low",4,0,2,551
"42",7141160,"low",1,0,0,203
"43",7753784,"low",2,1,3,516
"44",7140840,"low",3,4,1,728
"46",7172046,"high",2,3,1,905
"49",7168225,"low",4,8,0,899
"61",7213185,"low",1,0,1,156
"66",7206465,"low",0,0,0,105
"67",7134612,"low",0,1,2,459
"69",7156935,"low",1,0,5,962
"74",7096161,"low",5,5,2,1106
"78",7131812,"medium",3,3,0,582
"80",7185840,"low",0,1,0,413
"82",7114220,"low",0,1,1,453
"83",7231209,"low",0,0,0,976
"84",7229242,"low",1,2,1,682
"85",7089887,"low",5,0,2,765
"87",7217009,"low",3,3,2,705
"88",7167986,"high",0,0,0,207
"89",7126940,"medium",1,0,1,389
"92",7159596,"medium",5,9,1,1125
"93",7111210,"high",0,2,1,416
"101",7152345,"low",0,0,0,8
"102",7204899,"low",0,0,0,393
"104",7230245,"low",2,1,0,324
"106",7211226,"low",3,2,0,1276
"107",7195563,"low",0,1,0,1067
"111",7181313,"medium",0,2,0,159
"113",7206858,"low",3,1,2,792
"115",7126878,"high",1,0,0,249
"117",7174518,"low",0,0,0,224
"118",7209804,"low",0,5,1,399
"121",7119598,"low",4,1,2,1157
"122",7133917,"low",0,2,0,349
"133",7174224,"low",1,2,1,670
"136",7157060,"low",1,1,0,207
"139",7173006,"medium",4,1,1,457
"140",7216314,"low",7,4,8,2470
"145",7219476,"low",0,0,2,360
"146",7139119,"low",0,1,0,306
"151",7206653,"low",8,4,1,1327
"152",7091061,"low",0,0,0,8
"158",7097027,"low",0,0,0,8
"161",7106145,"high",2,0,2,325
"170",7167352,"low",4,0,1,543
"171",7168370,"low",3,3,0,595
"181",7097907,"low",1,0,0,353
"182",7231268,"low",0,0,0,0
"186",7136953,"high",0,0,0,566
"192",7163499,"low",0,1,4,1365
"194",7205089,"low",2,0,1,372
"200",7215442,"low",4,2,3,1019
"204",7221305,"low",1,1,0,195
"205",7218351,"medium",1,2,1,560
"206",7148695,"medium",4,6,0,606
"208",7134031,"low",2,0,0,476
"214",7194919,"low",2,3,0,1025
"217",7198551,"low",0,0,0,8
"226",7090836,"low",0,0,0,8
"228",7129585,"low",3,3,1,645
"235",7107617,"medium",1,1,1,659
"236",7232120,"medium",2,0,2,576
"237",7158471,"low",0,2,3,678
"241",7117491,"low",0,0,0,0
"244",7194997,"low",1,0,0,138
"245",7184842,"low",2,2,0,996
"246",7111019,"low",5,3,1,819
"247",7149858,"low",3,3,1,1139
"248",7141788,"low",2,5,2,633
"249",7134172,"medium",3,2,2,562
"251",7233228,"low",2,1,4,794
"252",7166956,"low",0,1,0,459
"255",7134741,"low",0,1,4,781
"257",7148587,"low",0,0,0,8
"262",7114391,"low",1,1,0,576
"263",7210245,"low",0,1,1,477
"272",7200221,"low",0,0,0,250
"275",7176451,"low",0,0,0,436
"277",7112578,"low",1,0,2,935
"279",7169964,"low",0,0,1,817
"280",7129699,"medium",4,0,0,452
"282",7192613,"low",2,3,0,374
"283",7137236,"low",2,0,0,172
"284",7129545,"low",0,0,0,137
"289",7167474,"low",1,0,1,313
"291",7187520,"low",0,0,0,1
"292",7219030,"low",1,1,0,369
"293",7194762,"low",0,2,4,809
"295",7223079,"medium",0,2,1,387
"296",7197337,"medium",4,2,0,919
"303",7103559,"medium",2,4,4,863
"304",7112266,"medium",4,6,1,1663
"305",7172018,"medium",2,4,1,793
"309",7161834,"low",1,0,0,217
"311",7135375,"low",2,0,0,517
"312",7129249,"low",1,0,2,810
"313",7125143,"low",2,4,3,696
"314",7151407,"medium",1,0,0,345
"315",7223550,"low",1,0,3,911
"320",7223021,"high",2,2,1,431
"322",7174183,"low",3,2,1,338
"323",7202273,"low",0,2,0,318
"325",7161696,"medium",3,0,0,477
"332",7225795,"low",2,2,1,545
"333",7095668,"low",4,3,2,1057
"335",7234386,"medium",1,1,0,208
"336",7230215,"medium",4,1,1,806
