category,upcoming_meeting_date,group_reviews,group_members,upcoming_meetings,upcoming_address,past_meetings,upcoming_meeting_time,group_name
Movements,Fri Feb 17,1,149,18,"163 W 23rd Street, New York, NY",296,8:00 PM,"POLITICS FOR A HUMAN COMMUNITY - New York, NY"
Family,None,2,103,1,Coming soon,4,None,"The New York City Gender Discussion Meetup - New York, NY"
Tech,Tue Feb 21,21,"1,853",1,,40,6:30 PM,"nycdevops - Brooklyn, NY"
Outdoors & Adventure,Sat Apr 22,2,72,1,"FDR BOARDWALK, STATEN ISLAND,New York, NY",15,10:00 AM,"German - American Hiking Club of New York and New Jersey - New York, NY"
Learning,Thu Feb 16,1,62,11,,None,7:30 PM,"NYC Test Prep and Technology Meetup - Astoria, NY"
Sports & Fitness,Sat Feb 25,15,772,1,"27 W 35th St, New York, NY",119,5:00 PM,"The New York Rangers Meetup - New York, NY"
Health & Wellness,Sat Feb 11,4,988,37,"134 West 29th Street (2nd FL), New York, NY",194,3:00 PM,"Wellness Explorers NYC - New York, NY"
Writing,None,None,50,None,None,None,None,"Brooklyn Screenplay Workshopping Meetup - Brooklyn, NY"
Food & Drink,None,4,308,24,None,None,None,"Foolinary Culinary NYC - New York, NY"
Photography,None,1,768,2,None,None,None,"Photography / Lightroom / Editing Workshop - New York, NY"
LGBTQ,None,1,127,2,None,None,None,"Queer Readings: Queer Play Reading Group - Brooklyn, NY"
Music,Mon Feb 13,3,91,10,"70 Lincoln Center 6th Floor - equivalent to 165 W. 65th between Broadway & Amsterdam, New York, NY",79,7:00 PM,"New York Session Symphony - New York, NY"
Language & Culture,Sat Feb 11,1,636,38,"19 W 44th St, New York, NY",None,9:00 PM,"Hellenic Young Professionals of NYC - New York, NY"
Beliefs,None,None,None,None,None,None,None,"Muslim-ish of NYC - New York, NY"
Sci-Fi & Games,Tue Feb 14,10,91,12,,None,6:15 PM,"New York Chess Meetup - New York, NY"
Film,None,None,None,None,None,None,None,"Meet and See the Movie ""Kill the Messenger"" with Narco News - New York, NY"
Career & Business,None,None,None,None,None,None,None,"Real Estate Investing Education, Training & Mentoring Group - New York, NY"
Career & Business,Thu Feb 16,1,708,2,,7,6:00 PM,"New York Real Estate Networking Group - New York, NY"
Career & Business,Thu Feb 23,10,574,2,,82,6:00 PM,"Award Winner! - Business on a Shoestring Network - New York, NY"
Career & Business,None,3,651,26,None,None,None,"New York CryptoParty Network - New York, NY"
Career & Business,Thu Feb 23,7,482,1,"47 Great Jones St., 3rd floor, New York, NY",48,7:00 PM,"New York Tech Karaoke Meetup - New York, NY"
Career & Business,Wed Mar 22,19,"2,533",7,"117 Avenue A, New York, NY, 10009, NY",42,6:00 PM,"Young Entrepreneurs and Professionals Network - New York, NY"
Career & Business,Wed Feb 15,5,690,1,"10 W. 18th Street, New York, NY",24,7:30 PM,"NY Tech Talent - New York, NY"
Career & Business,Mon Feb 27,1,654,1,"144 W 65th St, New York, NY",13,6:30 PM,"Columbia Digital Storytelling Lab - New York, NY"
Career & Business,Thu Feb 23,6,"3,347",1,"33 Irving Place, New York, NY",68,6:30 PM,"NY Career Meetup - New York, NY"
Career & Business,Fri Mar 10,1,994,7,,9,12:00 PM,"NY Technology Startups Meetup - New York, NY"
Career & Business,Fri Feb 10,2,190,10,"1395 Lexington Avenue, New York, NY",34,6:15 PM,"East Side Toastmasters - New York, NY"
Career & Business,None,1,361,7,None,None,None,"DisruptHR NYC - New York, NY"
Career & Business,None,41,None,None,None,None,None,"New York City Investor's Business Daily Meetup Group - New York, NY"
Career & Business,None,2,None,None,None,None,None,"New York Small Business Strategy Meetup - New York, NY"
Career & Business,Thu Feb 16,7,357,29,"1251 Ave Of The Americas, Suite 2300, New York, NY",61,8:00 AM,"NYC Tech Startup Network - New York, NY"
Career & Business,Thu Feb 16,1,259,29,"1251 Ave Of The Americas, Suite 2300, New York, NY",88,8:00 AM,"NewYork Aspiring Entrepreneurs - New York, NY"
Career & Business,Tue Mar 28,1,104,2,"44 WEST 63RD STREET, New York, NY",None,8:00 PM,"New York Amazon Seller Meetup - New York, NY"
Career & Business,None,2,"2,304",21,None,None,None,"Black Entrepreneurs & Professionals Meetup - New York, NY"
Career & Business,None,None,None,None,None,None,None,"Columbia University Toastmasters Meetup - New York, NY"
Career & Business,Tue Feb 21,61,"1,130",1,"247 West 36th Street, New York, NY",159,6:45 PM,"New York Power Team - New York, NY"
Career & Business,Thu Feb 16,35,310,86,"1251 Ave Of The Americas, Suite 2300, New York, NY",None,8:00 AM,"NYC Breakfast Focused Networking (And Happy Hours) - New York, NY"
Career & Business,Wed Feb 22,5,"1,221",2,"113 North 3rd Street, Brooklyn, Ne",22,7:00 PM,"Built-In: The Architecture and Entrepreneurship Meetup - Brooklyn, NY"
Career & Business,Thu Feb 16,22,304,34,"1251 Ave Of The Americas, Suite 2300, New York, NY",None,8:00 AM,"Social Media for Small Business & Entrepreneurs - New York, NY"
Career & Business,Wed Feb 15,2,888,9,"Online, New York, NY",None,8:00 PM,"NYC Tech Sales Training Meetup - New York, NY"
Career & Business,Thu Feb 16,1,629,23,"1251 Ave Of The Americas, Suite 2300, New York, NY",15,8:00 AM,"New York Technology Startups Meetup - New York, NY"
Career & Business,Thu Feb 16,8,253,35,"1251 Ave Of The Americas, Suite 2300, New York, NY",235,8:00 AM,"Breakfast Networking USA - New York, NY"
Career & Business,Thu Feb 23,11,"2,603",11,"10 w 18th, 3rd Floor, New York, NY",61,6:30 PM,"Marketing, Advertising and PR Group - New York, NY"
Career & Business,Mon Feb 27,6,693,7,Coming soon,140,4:45 PM,"NYC Photography Forum - New York, NY"
Career & Business,Thu Feb 16,1,266,1,"177 Huntington Ave, 17th Floor, Boston, MA",None,7:00 PM,"NY Multifamily Real Estate Investing- Portfolio Builders - New York, NY"
Career & Business,None,1,152,4,None,None,None,"Commercial Realty Investment Club - NYC Chapter - New York, NY"
Career & Business,Thu Feb 16,5,428,6,"88 Liberty View Drive, Jersey City, NJ",20,7:00 PM,"Hudson County Flippers and Funders Meetup - Jersey City, NJ"
Career & Business,Wed Mar 22,2,"1,507",2,"45 East 33rd Street (b/t Park Ave & Madison Ave), New York, NY",25,6:30 PM,"Investment Banking Meetup Group: M&A,IPO, Bankers & Analysts - New York, NY"
Career & Business,None,43,"2,183",75,None,None,None,"The NY Recruiting Meetup Network - New York, NY"
Career & Business,Wed Feb 15,1,82,2,"111 Broadway, 12th Fl, New York, NY",None,6:30 PM,"Technology for HR & Recruitment - New York, NY"
Career & Business,Thu Feb 23,4,"1,302",2,"33 Irving Pl (3rd floor), New York, NY",22,6:30 PM,"NYC Consulting Meetup - New York, NY"
Career & Business,Thu Mar 9,5,"1,878",2,"24 West 24th Street, New York, NY",26,6:00 PM,"NewFinance New York - New York, NY"
Career & Business,Thu Feb 16,1,216,6,"Ripley Grier Studio's, 520 8th Ave, Studio 17I, New York City, NY",None,6:00 PM,"Brooklyn & Manhattan Small Business Group - Brooklyn, NY"
Career & Business,Thu Feb 16,3,280,1,"330 7th Ave, 14th Floor (at w 29th St), New York, NY",8,6:30 PM,"Customer Success - New York City - New York, NY"
Career & Business,Sun Feb 26,11,"1,659",7,,145,7:00 PM,"New York Traders Educational Network - New York, NY"
Career & Business,Thu Feb 16,5,"1,212",12,,71,6:30 PM,"Real Estate Investing Tristate - New York, NY"
Career & Business,Fri Feb 17,6,"1,158",9,Coming soon,139,8:30 AM,"Founders Friday NYC - New York, NY"
Career & Business,Sun Apr 30,1,"1,598",1,"www.accesssiliconvalley.net, Menlo Park, CA",17,7:00 PM,"Access Silicon Valley (NY) - New York, NY"
Career & Business,None,3,None,None,None,None,None,"Dartmouth Entrepreneurial Network - NYC Meetup - New York, NY"
Career & Business,Thu Feb 23,8,"1,703",11,"10 w 18th, 3rd Floor, New York, NY",63,6:30 PM,"NYC Digital Marketing Professionals - New York, NY"
Career & Business,Thu Feb 16,2,"1,019",30,"1251 Ave Of The Americas, Suite 2300, New York, NY",32,8:00 AM,"Brooklyn Entrepreneurship Meetup - Brooklyn, NY"
Career & Business,Wed Feb 15,10,"1,130",43,"11 Madison Avenue, New York, NY",None,6:00 PM,"Improve Your Public Speaking Today!! - New York, NY"
Career & Business,Tue Feb 28,5,"1,812",1,"140 Newark Avenue, Jersey City, NJ",20,7:30 PM,"Jersey City Young Professionals - Jersey City, NJ"
Career & Business,None,37,707,58,None,None,None,"New York In-House Counsel - New York, NY"
Career & Business,Thu Feb 16,90,"3,823",15,"30-02 48th Ave, New York, NY",221,6:00 PM,"Shapeways - New York, NY"
Career & Business,Wed Feb 15,18,338,29,"16 W 36th St, New York, NY",216,7:00 AM,"BNI - Chapter 56 - New York, NY"
Career & Business,Wed Feb 15,8,589,6,,13,6:30 PM,"NJ GOLD COAST NETWORKING - Jersey City, NJ"
Career & Business,Thu Feb 16,29,944,20,"1251 Ave Of The Americas, Suite 2300, New York, NY",None,8:00 AM,"Impact Startups & Entrepreneurs NYC - New York, NY"
Career & Business,Wed Feb 15,12,627,3,"137 West 14th Street, New York, NY",96,7:00 PM,"Wikimedia NYC - New York, NY"
Career & Business,Wed Feb 22,2,227,1,"16 W 61st St, 11th floor Auditorium, NY 10023, NY",5,6:30 PM,"Women in Blockchain - New York, NY"
Career & Business,Thu Feb 16,2,660,2,"450 Lexington Ave, 4th Floor, New York, NY",19,6:30 PM,"Fuckup Nights NYC - New York, NY"
Career & Business,Mon Feb 6,4,"1,335",3,"130 East 39th Street , New York, NY",68,6:00 PM,"Award Winner! - Small Business from Concept to Startup - New York, NY"
Career & Business,None,None,174,None,None,None,None,"Public speaking - How to kill it when you take the stage - New York, NY"
Career & Business,None,18,None,None,None,None,None,"High NY - New York, NY"
Career & Business,None,20,"1,334",27,None,None,None,"Hackaday MakeIt NYC - New York, NY"
Career & Business,Tue Feb 28,4,521,1,,6,6:15 PM,"Women Success Strategies Meetup - New York, NY"
Career & Business,None,10,"1,490",18,None,None,None,"Japan NYC Startups - New York, NY"
Career & Business,Tue Feb 21,257,"17,979",1,"54 West 39th St., New York, NY",397,6:00 PM,"The NYC Business Networking Group (NYCBNG): Award Winner! - New York, NY"
Career & Business,None,8,None,None,None,None,None,"CoreNet Global NYC Chapter Meetup - New York, NY"
Career & Business,Thu Feb 16,1,388,35,"1251 Ave Of The Americas, Suite 2300, New York, NY",144,8:00 AM,"NYC Small Business Owners, Consultants & Salespeople Network - New York, NY"
Career & Business,Tue Mar 7,11,"1,173",1,Coming soon,21,6:00 PM,"NYC Sales Development Forum - New York, NY"
Career & Business,None,56,None,None,None,None,None,"Columbia Venture Community - New York, NY"
Career & Business,Wed Mar 15,1,849,None,"1535 BROADWAY, NEW YORK, NY",None,9:00 AM,"Startup Jobs New York - New York, NY"
Career & Business,None,37,None,None,None,None,None,"Investing In Mortgage Notes - New York, NY"
Career & Business,None,29,"4,486",68,None,None,None,"NYC Marketing Mixer - New York, NY"
Career & Business,Thu Feb 16,1,926,29,"1251 Ave Of The Americas, Suite 2300, New York, NY",134,8:00 AM,"NYC Entrepreneurs - Startups,Tech, Mktg, Sales Expert Advice - New York, NY"
Career & Business,Mon Mar 6,24,"1,080",6,"450 Park Avenue South, New York, NY",33,6:30 PM,"NYC Flippers and Funders Meetup - New York, NY"
Career & Business,Tue Feb 14,4,"2,186",1,"6 W 25th St, New York, NY",32,6:00 PM,"New York Alternative Investments Meetup - New York, NY"
Career & Business,Thu Feb 23,5,"4,843",2,"33 Irving Place, New York, NY",38,6:30 PM,"New York Finance, Trading & Banking Meetup - New York, NY"
Career & Business,Fri Feb 10,9,"1,911",41,"330 7th Avenue, New York, NY",228,5:30 PM,"Improv NOW! - NYC Weekly Improv Classes & Performances - New York, NY"
Career & Business,Thu Feb 23,7,"1,244",37,"33 Irving Place, New York, NY",None,6:30 PM,"SEO and Social Media Marketing Academy by NY eCommerce Forum - New York, NY"
Career & Business,Tue Feb 7,20,"3,060",10,Coming soon,289,7:00 PM,"The Chinese American Startup Association(CASA) - New York, NY"
Career & Business,Tue Feb 21,58,"1,694",3,"115 W 18th St, New York, NY",93,6:00 PM,"New York City Revit User Group - New York, NY"
Career & Business,None,28,"2,301",36,None,None,None,"New York Internet Marketers - New York, NY"
Career & Business,Tue Feb 21,31,"2,233",1,"750 3rd Avenue, 4th Floor, New York, NY",31,6:00 PM,"NYC Enterprise Sales Forum - New York, NY"
Career & Business,Thu Feb 16,91,"2,870",11,"188 Madison Ave at 34th St., New York, NY",812,6:00 PM,"Gainfully Unemployed - New York, NY"
Career & Business,Thu Mar 2,1,388,1,"110 Fifth Avenue, 5th Floor, New York, NY",4,6:00 PM,"Sales Tech Meetup - New York, NY"
Career & Business,Wed Feb 15,78,"4,269",1,"105 Madison Avenue, New York, NY",48,6:30 PM,"IDNY: New York City Architecture + Design Meetup - New York, NY"
Career & Business,Thu Feb 16,128,"4,155",39,,713,4:00 PM,"New York City Black Entrepreneurs Network - New York, NY"
Career & Business,Thu Feb 23,19,"2,817",4,Coming soon,67,6:00 PM,"Marketplace Lending (Peer to Peer Lending) - New York, NY"
Career & Business,Wed Mar 1,49,"7,266",4,"885 3rd Avenue, New York, NY",77,6:30 PM,"NY FinTech - New York, NY"
Career & Business,None,2,689,4,None,None,None,"IBM THINK Leaders - New York, NY"
Career & Business,Mon Feb 13,9,"4,934",1,"783 8th Avenue , New York, NY, 10036, New York, NY",82,6:30 PM,"Founder Institute New York: Startup Founder 101 - New York, NY"
Career & Business,Tue Feb 21,111,"19,128",1,"251 W 48th Street , New York, NY",214,6:30 PM,"New York Entrepreneurs & Startup Network (NYESN) - New York, NY"
Career & Business,Thu Feb 23,84,"8,311",2,"Your House, New York, NY",214,8:00 PM,"New York Real Estate Investors Association (REIA) - New York, NY"
Career & Business,None,None,None,None,None,None,None,None
Career & Business,None,1,None,None,None,None,None,"Astoria MasterMinds Meetup - Astoria, NY"
Career & Business,None,1,216,2,None,None,None,"Astoria and LIC Professionals and Business Owners Group - Astoria, NY"
Career & Business,None,2,136,11,None,None,None,"Tech Renaissance USA - Woodside, NY"
Career & Business,None,9,640,293,None,None,None,"NEW YORK GREEKS - Astoria, NY"
Film,None,14,237,None,None,None,None,"-The City Culture (art film music theater festival NYC) - Brooklyn, NY"
Film,None,1,373,6,None,None,None,"SCREENWRITERS RISING NYC - New York, NY"
Film,None,5,318,16,None,None,None,"Females in Film Alliance - New York, NY"
