category,upcoming_meeting_date,group_reviews,group_members,upcoming_meetings,upcoming_address,past_meetings,upcoming_meeting_time,group_name
Movements,Thu Mar 2,7,137,1,"58th St. and Broadway, Woodside, NY",160,7:00 PM,"Wood-Heights Democratic Club Meetup Group - Woodside, NY"
Movements,None,None,None,None,None,None,None,None
Movements,Fri Feb 10,2,317,65,"125 Glenwood Avenue, Jersey City, NJ",68,6:00 PM,"The Resistance - Jersey City - Jersey City, NJ"
Movements,None,126,"4,442",411,None,None,None,"HarlemGo Meetup Group - New York, NY"
Movements,Wed Feb 15,11,"1,978",8,"521 West 126th St, New York, NY",254,7:00 PM,"NYC Democratic Socialists of America - New York, NY"
Movements,Sat Mar 4,30,"4,053",1,Coming soon,193,9:00 AM,"#BetaNYC, NYC's open data, open gov, & civic tech community - New York, NY"
Movements,Mon Mar 6,33,858,22,,774,6:30 PM,"NYC Grassroots Alliance - New York, NY"
Movements,Wed Feb 15,14,263,5,"4 West 43rd Street, New York, NY",None,2:00 PM,"League of Women Voters of the City of New York - New York, NY"
Movements,Sat Feb 11,18,797,5,"W 4th St and Waverly Pl , New York, NY",None,11:00 AM,"#Resist: New York - New York, NY"
Movements,Sat Feb 18,36,"1,469",7,,105,3:00 PM,"""The NYC Political Forum"" - New York, NY"
Movements,Thu Feb 16,9,"1,269",14,,306,7:00 PM,"The New York Young Republican Club - New York, NY"
Movements,None,9,576,None,None,None,None,"The Square Roots Urban Farming Community, NYC - New York, NY"
Movements,Sat Feb 25,1,340,4,,7,9:00 AM,"NYC Tiny House Build: Empowering Women/Girls Meetup - New York, NY"
Movements,Sat Feb 11,4,574,7,"18 Washington Sq North (Intersection of 5th Av. and Waverly Pl.), New York, NY",89,11:00 AM,"Radical Feminist Activists - New York, NY"
Movements,Tue Feb 21,51,"1,807",25,"226 East 57th Street, New York, NY",838,7:30 PM,"NYC Freegan Meetup - New York, NY"
Movements,Wed Feb 22,53,"1,863",2,,363,8:30 AM,"NY Passive House (NYPH) Meetup: New York City - New York, NY"
Movements,Fri Feb 17,1,149,18,"163 W 23rd Street, New York, NY",296,8:00 PM,"POLITICS FOR A HUMAN COMMUNITY - New York, NY"
Movements,Fri Feb 24,1,30,1,"NYC, NYC, NY",None,6:00 PM,"Suffragist Vigil HQ Meetup - New York, NY"
Movements,Sun Feb 12,1,108,None,"30 Battery Place, New York, NY",None,11:00 AM,"New York Social Justice Meetup - New York, NY"
Movements,Sun Feb 12,1,71,2,"424 Park Ave S New York,m States, New York , NY",None,3:00 PM,"New York Black Lives Matter Meetup - New York, NY"
Movements,None,3,365,10,None,None,None,"Non-Profits Professionals Network - New York, NY"
Movements,None,28,268,116,None,None,None,"MoVimento 5 Stelle Nord e Centro America - Brooklyn, NY"
Movements,Sun Feb 26,3,97,None,,None,2:00 PM,"Knitting Table:  Knit Blankets for the Homeless - Jersey City, NJ"
Movements,Sat Feb 11,2,111,None,,1005,3:00 PM,"#Resist: Jersey City - Jersey City, NJ"
Movements,Sun Feb 26,1,50,None,"228 West 72nd street , NYC Upper West Side. B'way & Wes, NY",None,3:00 PM,"New York Political Action Meetup - New York, NY"
Movements,None,2,39,None,None,None,None,"One Hope NYC (PCUSA/ Progressive) - New York, NY"
Movements,Fri Feb 10,2,46,11,"201 Montgomery Street, Second Floor, Jersey City, NJ",None,4:00 PM,"Jersey City Solar Meetup - Jersey City, NJ"
Movements,Tue Feb 14,10,124,11,Coming soon,None,7:00 PM,"New York Volunteering Meetup - One Brick NYC - New York, NY"
Movements,Thu Feb 23,1,77,2,"2 W 64th St, New York, NY",17,6:00 PM,"Food & Water Watch New York - New York, NY"
Movements,Sat Feb 18,16,71,26,"550 Madison Avenue, New York, NY",None,3:30 PM,"The Joy of Change - New York, NY"
Movements,Tue Feb 14,1,293,10,"2 East 36th Street, New York, NY",47,6:30 PM,"New York City Roommates - New York, NY"
Movements,None,8,616,66,None,None,None,"Code for Jersey City - Jersey City, NJ"
Movements,Sat Feb 11,3,"2,876",3,"Queens - 35th Ave. between 31st and 33rd street, New York, NY",260,2:00 PM,"Evolving Lifestyle NYC - New York, NY"
Movements,Wed Feb 22,1,32,None,"444 Amsterdam Ave, New York, NY",None,5:00 PM,"U.S. Russia Relations - New York, NY"
Movements,Sun Feb 12,1,107,1,,None,3:00 PM,"10 Actions / 100 Days Campaign by Women's March - Jersey City, NJ"
Movements,Wed Feb 15,1,49,None,"419 South Park Ave, Manhattan, NY",None,6:30 PM,"Business Opportunities in Climate Change by Global Warming - New York, NY"
Movements,Wed Feb 15,7,80,2,"522 5th Avenue, 3rd Fl, New York, NY",None,7:30 PM,"Spark: igniting global change (New York non-profit) - New York, NY"
Movements,Thu Mar 2,2,121,5,"232 West 14th Street, New York, NY",None,6:00 PM,"Ally Up: sharing ally tools for a more inclusive society. - New York, NY"
Movements,Mon Feb 13,1,87,1,"1230 6th Avenue, New York, NY",None,5:30 PM,"New York Construction Technology Meetup - New York, NY"
Movements,Wed Feb 22,1,102,2,"Lower East Side, New York, NY",None,7:00 PM,"The Gratitude Movement - Brooklyn, NY"
Movements,None,1,175,13,None,None,None,"CMGR Breakfast - New York, NY"
Movements,Sun Feb 12,2,70,1,,35,2:30 PM,"EDNY Young Adult Network - New York, NY"
