Region,Country,1960-1964,1965-1969,1970-1974,1975-1979,1980-1984,1985-1989,1990-1994,1995-1999,2000-2004,2005-2009
LAC,Argentina,255,306,321,355,320,276,207,202,201,218
ANZ,Australia,54,57,65,71,68,59,58,75,136,162
WEM,Austria,38,46,47,52,59,57,55,48,46,45
WEM,Bel-Lux,2,2,1,1,1,1,1,1,1,2
LAC,Brazil,68,70,68,63,61,59,60,59,66,77
ECA,Bulgaria,186,198,196,190,170,145,129,110,123,118
USC,Canada,9,9,13,13,10,14,6,7,9,10
LAC,Chile,105,114,129,122,120,112,117,125,168,182
APA,China,12,17,22,32,35,113,136,177,372,438
ECA,Croatia,,,,,,,55,54,56,32
WEM,Denmark,0,0,0,0,0,0,0,0,0,0
WEM,Finland,0,0,0,0,0,0,0,0,0,0
WEX,France,1411,1370,1321,1255,1126,1020,910,877,857,838
ECA,Georgia,,,,,,,80,72,56,49
WEM,Germany,73,84,94,101,100,101,102,102,99,99
WEM,Greece,236,226,209,195,177,168,135,124,129,113
APA,Hong Kong,0,0,0,0,0,0,0,0,0,0
ECA,Hungary,235,240,219,192,160,146,114,99,88,78
APA,India,0,0,0,0,0,0,27,41,49,68
WEM,Ireland,0,0,0,0,0,0,0,0,0,0
WEX,Italy,1692,1615,1374,1394,1269,1084,973,885,831,775
APA,Japan,13,23,25,30,30,27,24,21,20,19
APA,Korea,0,0,0,0,0,0,13,28,26,19
APA,Malaysia,0,0,0,0,0,0,0,0,0,0
LAC,Mexico,13,15,26,47,59,57,43,41,36,27
ECA,Moldova,,,,,,,175,163,144,141
WEM,Netherlands,0,0,0,0,0,0,0,0,0,0
ANZ,New Zealand,1,1,1,3,5,5,6,7,14,26
APA,Philippines,0,0,0,0,0,0,0,0,0,0
WEX,Portugal,286,347,353,364,363,387,297,254,221,223
ECA,Romania,298,328,338,306,303,274,239,252,231,181
ECA,Russia,793,1064,1099,1257,1339,1080,294,70,58,45
APA,Singapore,0,0,0,0,0,0,0,0,0,0
AME,South Africa,70,90,111,112,105,106,101,107,112,120
WEX,Spain,964,1646,1645,1725,1643,1520,1330,1129,1166,1127
WEM,Sweden,0,0,0,0,0,0,0,0,0,0
WEM,Switzerland,12,12,12,14,14,14,15,15,15,15
APA,Thailand,0,0,0,0,0,0,0,0,0,0
AME,Turkey,786,829,842,803,797,673,575,549,528,495
ECA,Ukraine,,,,,,,140,122,91,74
WEM,United Kingdom,0,0,0,0,0,0,1,1,1,1
LAC,Uruguay,19,19,21,18,14,18,11,10,9,8
USC,USA,232,229,247,301,312,335,305,339,381,379
