"Notes"	"Census Region"	"Census Region Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Injury Mechanism & All Other Leading Causes"	"Injury Mechanism & All Other Leading Causes Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2013"	"2013"	12	2592026	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"1999"	"1999"	16	3024986	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2000"	"2000"	22	3031894	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2001"	"2001"	21	3013785	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2002"	"2002"	15	2989442	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2003"	"2003"	12	2952180	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2004"	"2004"	12	2905156	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2005"	"2005"	13	2842678	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2006"	"2006"	10	2792260	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2007"	"2007"	12	2748721	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2008"	"2008"	16	2716985	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2010"	"2010"	14	2676091	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2012"	"2012"	11	2618174	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2013"	"2013"	13	2592026	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2015"	"2015"	11	2525354	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Fall"	"GRINJ-003"	"White"	"2106-3"	"1999"	"1999"	17	2751144	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Fall"	"GRINJ-003"	"White"	"2106-3"	"2000"	"2000"	14	2770978	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Fall"	"GRINJ-003"	"White"	"2106-3"	"2001"	"2001"	15	2824950	Unreliable
