"Notes"	"Census Region"	"Census Region Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Injury Mechanism & All Other Leading Causes"	"Injury Mechanism & All Other Leading Causes Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2004"	"2004"	10	2755363	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2009"	"2009"	10	2562596	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2013"	"2013"	19	2465430	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2014"	"2014"	15	2436616	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Suffocation"	"GRINJ-017"	"White"	"2106-3"	"2015"	"2015"	13	2407601	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"1999"	"1999"	22	2647304	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2000"	"2000"	17	2668580	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2002"	"2002"	13	2746607	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2003"	"2003"	17	2776657	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2004"	"2004"	16	2801704	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2006"	"2006"	15	2853486	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2008"	"2008"	10	2870508	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2011"	"2011"	22	2851397	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2012"	"2012"	17	2838389	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2013"	"2013"	17	2814210	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2014"	"2014"	15	2799212	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Firearm"	"GRINJ-006"	"White"	"2106-3"	"2015"	"2015"	19	2772808	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"1999"	"1999"	19	2647304	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2000"	"2000"	11	2668580	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2001"	"2001"	24	2715400	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2002"	"2002"	19	2746607	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2003"	"2003"	10	2776657	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2004"	"2004"	16	2801704	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2005"	"2005"	27	2828251	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Poisoning"	"GRINJ-015"	"White"	"2106-3"	"2006"	"2006"	20	2853486	0.7
