Pos.This.Week|Pos.Last.Week|Peak.Pos.This.Week|Total.Weeks|Title|Artist|Entry.Date|Pos.Entry|Overall.Peak.Pos|Overall.Total.Weeks|Chart.Date,,,,
1|NEW|1|1|We R Who We R|KE$HA|2010-11-13|1|1|20|20101113,,,,
2|1|1|12|Like A G6|FAR*EAST MOVEMENT featuring CATARACS & DEV|2010-08-28|92|1|26|20101113,,,,
3|2|1|15|Just The Way You Are|BRUNO MARS|2010-08-07|43|1|48|20101113,,,,
4|3|3|8|Only Girl (In The World)|RIHANNA|2010-09-25|75|1|27|20101113,,,,
5|4|3|11|Just A Dream|NELLY|2010-09-04|12|3|28|20101113,,,,
6|5|4|16|DJ Got Us Fallin' In Love|USHER featuring PITBULL|2010-07-31|19|4|34|20101113,,,,
7|6|6|12|Bottoms Up|TREY SONGZ featuring NICKI MINAJ|2010-08-28|22|6|26|20101113,,,,
8|7|1|15|Teenage Dream|KATY PERRY|2010-08-07|20|1|33|20101113,,,,
9|8|2|22|Dynamite|TAIO CRUZ|2010-06-19|26|2|47|20101113,,,,
10|10|10|4|Raise Your Glass|P!NK|2010-10-23|51|1|30|20101113,,,,
11|78|11|2|Whip My Hair|WILLOW|2010-11-06|78|11|16|20101113,,,,
12|9|9|18|Club Can't Handle Me|FLO RIDA featuring DAVID GUETTA|2010-07-17|65|9|29|20101113,,,,
13|15|13|22|Animal|NEON TREES|2010-06-19|100|13|36|20101113,,,,
14|14|4|25|I Like It|ENRIQUE IGLESIAS featuring PITBULL|2010-05-29|89|4|38|20101113,,,,
15|12|1|19|Love The Way You Lie|EMINEM featuring RIHANNA|2010-07-10|2|1|29|20101113,,,,
16|16|14|18|Deuces|CHRIS BROWN featuring TYGA & KEVIN McCALL|2010-07-17|87|14|27|20101113,,,,
17|NEW|17|1|Sparks Fly|TAYLOR SWIFT|2010-11-13|17|17|2|20101113,,,,
18|79|18|2|Monster|KANYE WEST featuring JAY-Z, RICK ROSS, BON IVER & NICKI MINA|2010-11-06|79|18|5|20101113,,
19|19|19|6|Please Don't Go|MIKE POSNER|2010-10-09|94|16|20|20101113,,,,
20|18|18|8|No Hands|WAKA FLOCKA FLAME feauring ROSCOE DASH & WAL|2010-09-25|45|13|32|20101113,,,,
21|13|3|13|Mine|TAYLOR SWIFT|2010-08-21|3|3|23|20101113,,,,
22|20|6|11|Right Above It|LIL WAYNE featuring DRAKE|2010-09-04|6|6|24|20101113,,,,
23|17|17|10|Fuck You!|CEE LO GREEN|2010-09-11|96|2|48|20101113,,,,
24|25|24|8|Check It Out|WILL.I.AM & NICKI MINAJ|2010-09-25|78|24|13|20101113,,,,
25|21|19|17|If I Die Young|THE BAND PERRY|2010-07-24|92|19|28|20101113,,,,
26|23|20|14|Stuck Like Glue|SUGARLAND|2010-08-14|20|17|24|20101113,,,,
27|NEW|27|1|Innocent|TAYLOR SWIFT|2010-11-13|27|27|1|20101113,,,,
28|27|27|12|Love Like Woe|THE READY SET|2010-08-28|97|27|21|20101113,,,,
29|57|29|2|Firework|KATY PERRY|2010-11-06|57|1|39|20101113,,,,
30|26|21|12|Hot Tottie|USHER featuring JAY-Z|2010-08-28|100|21|16|20101113,,,,
31|24|21|18|Secrets|ONEREPUBLIC|2010-07-17|83|21|32|20101113,,,,
32|22|8|15|Take It Off|KE$HA|2010-08-07|92|8|19|20101113,,,,
33|NEW|33|1|Yeah 3X|CHRIS BROWN|2010-11-13|33|15|24|20101113,,,,
34|29|29|7|We No Speak Americano|YOLANDA BE COOL & DCUP|2010-10-02|83|29|20|20101113,,,,
35|28|6|27|Cooler Than Me|MIKE POSNER featuring BIG SEAN|2010-05-15|85|6|29|20101113,,,,
36|37|32|19|King Of Anything|SARA BAREILLES|2010-07-10|59|32|22|20101113,,,,
37|31|1|25|California Gurls|KATY PERRY featuring SNOOP DOGG|2010-05-29|2|1|27|20101113,,,,
38|39|38|12|As She's Walking Away|ZAC BROWN BAND featuring ALAN JACKSON|2010-08-28|77|32|20|20101113,,,,
39|33|2|29|Airplanes|B.O.B featuring HAYLEY WILLIAMS of PARAMORE|2010-05-01|12|2|30|20101113,,,,
40|38|36|13|Letting Go (Dutty Love)|SEAN KINGSTON featuring NICKI MINAJ|2010-08-21|46|36|20|20101113,,,,
41|NEW|41|1|The Story Of Us|TAYLOR SWIFT|2010-11-13|41|41|1|20101113,,,,
42|36|36|13|September|DAUGHTRY|2010-08-21|94|36|20|20101113,,,,
43|51|43|3|Black And Yellow|WIZ KHALIFA|2010-10-30|64|1|24|20101113,,,,
44|35|25|13|Fancy|DRAKE featuring T.I. & SWIZZ BEATS|2010-08-21|97|25|19|20101113,,,,
45|44|44|7|Can't Be Friends|TREY SONGZ|2010-10-02|74|43|20|20101113,,,,
46|59|46|5|Right Thru Me|NICKI MINAJ|2010-10-16|74|26|19|20101113,,,,
47|49|47|5|No Love|EMINEM featuring LIL WAYNE|2010-10-16|89|29|16|20101113,,,,
48|50|48|4|Aston Martin Music|RICK ROSS featuring DRAKE & CHRISETTE MICHELE|2010-10-23|96|30|19|20101113,,,,
49|41|37|16|Come Back Song|DARIUS RUCKER|2010-07-31|67|37|20|20101113,,,,
50|34|14|19|Misery|MAROON 5|2010-07-10|44|14|20|20101113,,,,
51|54|12|4|Runaway|KANYE WEST featuring PUSHA T|2010-10-23|12|12|13|20101113,,,,
52|52|44|5|Hey Baby (Drop It To The Floor)|PITBULL featuring T-PAIN|2010-10-16|51|7|31|20101113,,,,
53|47|47|20|Farmer's Daughter|RODNEY ATKINS|2010-07-03|96|47|21|20101113,,,,
54|NEW|54|1|Dear John|TAYLOR SWIFT|2010-11-13|54|54|1|20101113,,,,
55|48|48|10|My Kinda Party|JASON ALDEAN|2010-09-11|54|39|20|20101113,,,,
56|NEW|56|1|Better Than Revenge|TAYLOR SWIFT|2010-11-13|56|56|1|20101113,,,,
57|67|57|4|Stereo Love|EDWARD MAYA & VIKA JIGULINA|2010-10-23|93|16|28|20101113,,,,
58|32|32|4|Loca|SHAKIRA featuring EL CATA|2010-10-23|98|32|11|20101113,,,,
59|55|55|9|Anything Like Me|BRAD PAISLEY|2010-09-18|100|48|19|20101113,,,,
60|83|60|2|What's My Name?|RIHANNA featuring DRAKE|2010-11-06|83|1|22|20101113,,,,
61|58|58|7|All I Want Is You|MIGUEL featuring J COLE|2010-10-02|91|58|14|20101113,,,,
62|64|62|4|Memories|DAVID GUETTA featuring KID CUDI|2010-10-23|94|46|14|20101113,,,,
63|NEW|63|1|Haunted|TAYLOR SWIFT|2010-11-13|63|63|1|20101113,,,,
64|75|64|5|Grenade|BRUNO MARS|2010-10-16|81|1|36|20101113,,,,
65|53|18|14|The Boys Of Fall|KENNY CHESNEY|2010-08-14|96|18|18|20101113,,,,
66|63|48|11|Why Wait|RASCAL FLATTS|2010-09-04|48|48|20|20101113,,,,
