Pos.This.Week|Pos.Last.Week|Peak.Pos.This.Week|Total.Weeks|Title|Artist|Entry.Date|Pos.Entry|Overall.Peak.Pos|Overall.Total.Weeks|Chart.Date,,
1|4|1|10|Baby Don't Forget My Number|MILLI VANILLI|1989-04-29|62|1|21|19890701,,
2|5|2|9|Good Thing|FINE YOUNG CANNIBALS|1989-05-06|69|1|17|19890701,,
3|1|1|9|Satisfied|RICHARD MARX|1989-05-06|39|1|15|19890701,,
4|3|3|14|Buffalo Stance|NENEH CHERRY|1989-04-01|83|3|24|19890701,,
5|11|5|9|If You Don't Know Me By Now|SIMPLY RED|1989-05-06|81|1|22|19890701,,
6|13|6|5|Express Yourself|MADONNA|1989-06-03|41|2|16|19890701,,
7|7|7|11|This Time I Know It's For Real|DONNA SUMMER|1989-04-22|88|7|17|19890701,,
8|12|8|9|I Drove All Night|CYNDI LAUPER|1989-05-06|60|6|15|19890701,,
9|9|9|12|Miss You Like Crazy|NATALIE COLE|1989-04-15|75|7|19|19890701,,
10|2|1|14|I'll Be Loving You|NEW KIDS ON THE BLOCK|1989-04-01|68|1|21|19890701,,
11|15|11|7|Toy Soldiers|MARTIKA|1989-05-20|69|1|20|19890701,,
12|14|12|10|I Won't Back Down|TOM PETTY AND THE HEARTBREAKERS|1989-04-29|75|12|15|19890701,,
13|16|13|7|What You Don't Know|EXPOSE|1989-05-20|59|8|15|19890701,,
14|17|14|7|The Doctor|THE DOOBIE BROTHERS|1989-05-20|62|9|14|19890701,,
15|6|1|18|Wind Beneath My Wings|BETTE MIDLER|1989-03-04|97|1|29|19890701,,
16|22|16|9|Rooms On Fire|STEVIE NICKS|1989-05-06|85|16|14|19890701,,
17|10|10|13|Cry|WATERFRONT|1989-04-08|78|10|17|19890701,,
18|8|3|15|Every Little Step|BOBBY BROWN|1989-03-25|84|3|21|19890701,,
19|26|19|7|So Alive|LOVE AND ROCKETS|1989-05-20|94|3|20|19890701,,
20|23|20|8|Into The Night|BARRY MARDONES|1989-05-13|55|20|16|19890701,,
21|24|21|8|Crazy About Her|ROD STEWART|1989-05-13|74|11|17|19890701,,
22|41|22|3|Batdance|PRINCE|1989-06-17|53|1|18|19890701,,
23|29|23|5|Lay Your Hands On Me|BON JOVI|1989-06-03|58|7|16|19890701,,
24|28|24|10|Who Do You Give Your Love To?|MICHAEL MORALES|1989-04-29|88|15|19|19890701,,
25|35|25|8|Once Bitten Twice Shine|GREAT WHITE|1989-05-13|94|5|26|19890701,,
26|33|26|6|My Brave Face|PAUL McCARTNEY|1989-05-27|72|25|10|19890701,,
"27|42|27|4|On Our Own (From ""Ghostbusters II"")|BOBBY BROWN|1989-06-10|64|2|20|19890701",,
28|19|19|11|Veronica|ELVIS COSTELLO|1989-04-22|75|19|14|19890701,,
29|39|29|8|I Like It|DINO|1989-05-13|89|7|25|19890701,,
30|18|8|18|Close My Eyes Forever|LITA FORD & OZZY OSBOURNE|1989-03-04|81|8|25|19890701,,
31|38|31|10|Down Boys|WARRANT|1989-04-29|90|27|16|19890701,,
32|36|32|7|Send Me An Angel|REAL LIFE|1989-05-20|58|26|15|19890701,,
33|30|30|9|Be With You|BANGLES|1989-05-06|73|30|12|19890701,,
34|40|34|6|Dressed For Success|ROXETTE|1989-05-27|80|14|18|19890701,,
35|20|20|13|Coming Home|CINDERELLA|1989-04-08|92|20|17|19890701,,
36|21|1|16|Rock On|MICHAEL DAMIAN|1989-03-18|89|1|21|19890701,,
37|25|1|17|Forever Your Girl|PAULA ABDUL|1989-03-11|68|1|22|19890701,,
38|43|38|7|Hey Baby|HENRY LEE SUMMER|1989-05-20|83|18|18|19890701,,
39|44|39|6|Secret Rendezvous|KARYN WHITE|1989-05-27|83|6|21|19890701,,
40|32|10|19|Where Are You Now?|SYNCH|1989-02-25|89|10|24|19890701,,
41|51|41|3|No More Rhyme|DEBBIE GIBSON|1989-06-17|66|17|14|19890701,,
42|45|42|7|In Your Eyes|PETER GABRIEL|1989-05-20|87|41|14|19890701,,
43|49|43|5|Me Myself And I|DE LA SOUL|1989-06-03|86|34|17|19890701,,
44|34|4|13|Patience|GUNS N'ROSES|1989-04-08|66|4|18|19890701,,
45|54|45|4|I'm That Type Of Guy|LL COOL J|1989-06-10|94|15|16|19890701,,
46|65|46|2|Cold Hearted|PAULA ABDUL|1989-06-24|65|1|21|19890701,,
47|53|47|5|Headed For A Heartbreak|WINGER|1989-06-03|94|19|18|19890701,,
48|58|48|3|Sacred Emotion|DONNY OSMOND|1989-06-17|70|13|16|19890701,,
49|62|49|2|The End Of The Innocence|DON HENLEY|1989-06-24|62|8|18|19890701,,
50|50|50|6|Fire Woman|CULT|1989-05-27|84|46|11|19890701,,
51|56|51|5|Hooked On You|SWEET SENSATION|1989-06-03|91|23|16|19890701,,
52|57|52|6|In My Eyes|STEVIE B|1989-05-27|87|37|17|19890701,,
53|46|46|8|Fascination Street|CURE|1989-05-13|77|46|11|19890701,,
54|66|54|3|Friends|JODY WATLEY with ERIC B. & RAKIM|1989-06-17|76|9|18|19890701,,
55|37|2|15|Soldier Of Love|DONNY OSMOND|1989-03-25|73|2|18|19890701,,
56|31|15|10|Pop Singer|JOHN COUGAR MELLENCAMP|1989-04-29|54|15|12|19890701,,
57|27|25|12|Cuddly Toy (Feel For Me)|ROACHFORD|1989-04-15|97|25|14|19890701,,
58|64|58|6|Joy And Pain|ROB BASE & DJ E-Z ROCK|1989-05-27|90|58|13|19890701,,
59|55|55|8|We Can Last Forever|CHICAGO|1989-05-13|84|55|12|19890701,,
60|70|60|4|Calling It Love|ANIMOTION|1989-06-10|91|53|9|19890701,,
61|72|61|3|Cover Of Love|MICHAEL DAMIAN|1989-06-17|84|31|12|19890701,,
62|47|2|16|Real Love|JODY WATLEY|1989-03-18|73|2|18|19890701,,
63|76|63|3|Angel Eyes|JEFF HEALEY BAND|1989-06-17|85|5|22|19890701,,
64|48|12|16|Evelasting Love|HOWARD JONES|1989-03-18|77|12|19|19890701,,
65|71|65|5|Right Next To Me|WHISTLE|1989-06-03|89|60|13|19890701,,
66|59|6|17|After All|PETER CETERA & CHER|1989-03-11|59|6|20|19890701,,
67|52|1|18|I'll Be There For You|BON JOVI|1989-03-04|82|1|22|19890701,,
68|60|60|7|Moonlight On Water|KEVIN RALEIGH|1989-05-20|85|60|9|19890701,,
69|82|69|2|Keep On Movin'|SOUL II SOUL|1989-06-24|82|11|20|19890701,,
70|78|70|3|Love Train|HOLLY JOHNSON|1989-06-17|82|65|6|19890701,,
71|61|50|8|I Want It All|QUEEN|1989-05-13|92|50|10|19890701,,
72|67|12|22|Thinking Of You|SAFIRE|1989-02-04|80|12|24|19890701,,
73|NEW|73|1|It Isn't, It Wasn't, It Ain't Never Gonna Be|ARETHA FRANKLIN & WHITNEY HOUSTON|1989-07-01|73|41|8|19890701
74|81|74|3|Trouble Me|10,000 MANIACS|1989-06-17|98|44|12|19890701,
75|77|75|7|Yo No Se|PAJAMA PARTY|1989-05-20|91|75|10|19890701,,
76|NEW|76|1|Soul Provider|MICHAEL BOLTON|1989-07-01|76|17|17|19890701,,
77|83|77|2|Comin' Down Tonight|.38 SPECIAL|1989-06-24|83|67|7|19890701,,
78|63|63|6|Praying To A New God|WANG CHUNG|1989-05-27|93|63|7|19890701,,
79|88|79|2|Talk It Over|GRAYSON HUGH|1989-06-24|88|19|18|19890701,,
80|94|80|2|Little Fighter|WHITE LION|1989-06-24|94|52|14|19890701,,
81|87|81|3|Dancing In Heaven (Orbital Be-Bop)|Q-FEEL|1989-06-17|96|75|7|19890701,,
82|90|82|2|Gonna Make It|SA-FIRE|1989-06-24|90|71|7|19890701,,
83|69|14|18|Iko Iko|BELLE STARS|1989-03-04|86|14|18|19890701,,
84|74|3|18|Funky Cold Medina|TONE LOC|1989-03-04|60|3|18|19890701,,
85|93|85|2|Don't Say You Love Me|BILLY SQUIER|1989-06-24|93|58|15|19890701,,
86|79|77|5|Nothin' (That Compares 2 You)|JACKSONS|1989-06-03|93|77|7|19890701,,
87|NEW|87|1|Shower Me With Your Love|SURFACE|1989-07-01|87|5|19|19890701,,
88|68|6|21|Second Chance|THIRTY EIGHT SPECIAL|1989-02-11|78|6|21|19890701,,
89|NEW|89|1|The Prisoner|HOWARD JONES|1989-07-01|89|30|13|19890701,,
90|NEW|90|1|Come Home With Me Baby|DEAD OR ALIVE|1989-07-01|90|69|8|19890701,,
91|NEW|91|1|Tell Me I'm Not Dreaming|ROBERT PALMER|1989-07-01|91|60|8|19890701,,
92|85|57|12|Closer Than Friends|SURFACE|1989-04-15|95|57|13|19890701,,
93|NEW|93|1|All I Want Is You|U2|1989-07-01|93|83|4|19890701,,
94|84|32|20|I Wanna Be The One|STEVIE B|1989-02-18|96|32|20|19890701,,
95|92|91|5|You Are The One|TKA|1989-06-03|98|91|7|19890701,,
96|75|1|23|She Drives Me Crazy|FINE YOUNG CANIBALS|1989-01-28|97|1|23|19890701,,
97|97|97|2|My One Temptation|MICA PARIS|1989-06-24|97|97|4|19890701,,
98|73|1|16|Like A Prayer|MADONNA|1989-03-18|38|1|16|19890701,,
99|86|86|4|Pop Song 89|R.E.M.|1989-06-10|93|86|4|19890701,,
100|80|2|26|Girl You Know It's True|MILLI VANILLI|1989-01-07|83|2|26|19890701,,
1|4|1|8|Satisfied|RICHARD MARX|1989-05-06|39|1|15|19890624,,
2|1|1|13|I'll Be Loving You|NEW KIDS ON THE BLOCK|1989-04-01|68|1|21|19890624,,
3|5|3|13|Buffalo Stance|NENEH CHERRY|1989-04-01|83|3|24|19890624,,
4|6|4|9|Baby Don't Forget My Number|MILLI VANILLI|1989-04-29|62|1|21|19890624,,
5|7|5|8|Good Thing|FINE YOUNG CANNIBALS|1989-05-06|69|1|17|19890624,,
6|2|1|17|Wind Beneath My Wings|BETTE MIDLER|1989-03-04|97|1|29|19890624,,
7|9|7|10|This Time I Know It's For Real|DONNA SUMMER|1989-04-22|88|7|17|19890624,,
8|3|3|14|Every Little Step|BOBBY BROWN|1989-03-25|84|3|21|19890624,,
9|12|9|11|Miss You Like Crazy|NATALIE COLE|1989-04-15|75|7|19|19890624,,
10|10|10|12|Cry|WATERFRONT|1989-04-08|78|10|17|19890624,,
11|17|11|8|If You Don't Know Me By Now|SIMPLY RED|1989-05-06|81|1|22|19890624,,
12|13|12|8|I Drove All Night|CYNDI LAUPER|1989-05-06|60|6|15|19890624,,
13|24|13|4|Express Yourself|MADONNA|1989-06-03|41|2|16|19890624,,
14|18|14|9|I Won't Back Down|TOM PETTY AND THE HEARTBREAKERS|1989-04-29|75|12|15|19890624,,
15|26|15|6|Toy Soldiers|MARTIKA|1989-05-20|69|1|20|19890624,,
16|22|16|6|What You Don't Know|EXPOSE|1989-05-20|59|8|15|19890624,,
17|25|17|6|The Doctor|THE DOOBIE BROTHERS|1989-05-20|62|9|14|19890624,,
18|8|8|17|Close My Eyes Forever|LITA FORD & OZZY OSBOURNE|1989-03-04|81|8|25|19890624,,
19|23|19|10|Veronica|ELVIS COSTELLO|1989-04-22|75|19|14|19890624,,
20|21|20|12|Coming Home|CINDERELLA|1989-04-08|92|20|17|19890624,,
21|11|1|15|Rock On|MICHAEL DAMIAN|1989-03-18|89|1|21|19890624,,
22|29|22|8|Rooms On Fire|STEVIE NICKS|1989-05-06|85|16|14|19890624,,
23|27|23|7|Into The Night|BARRY MARDONES|1989-05-13|55|20|16|19890624,,
24|30|24|7|Crazy About Her|ROD STEWART|1989-05-13|74|11|17|19890624,,
25|20|1|16|Forever Your Girl|PAULA ABDUL|1989-03-11|68|1|22|19890624,,
26|35|26|6|So Alive|LOVE AND ROCKETS|1989-05-20|94|3|20|19890624,,
27|28|25|11|Cuddly Toy (Feel For Me)|ROACHFORD|1989-04-15|97|25|14|19890624,,
28|34|28|9|Who Do You Give Your Love To?|MICHAEL MORALES|1989-04-29|88|15|19|19890624,,
29|37|29|4|Lay Your Hands On Me|BON JOVI|1989-06-03|58|7|16|19890624,,
30|31|30|8|Be With You|BANGLES|1989-05-06|73|30|12|19890624,,
31|15|15|9|Pop Singer|JOHN COUGAR MELLENCAMP|1989-04-29|54|15|12|19890624,,
