BBL,Street Number,Street Name,Borough,Zip,Benchmarking Submission,Entry Number,Site EUI,Weather Normalized Source EUI,Water per Square Foot,ENERGY STAR Score,GHG,Reported Building Square Footage,Reported Facility Type,Number of Buildings,Reported BINs
1000050010,115,BROAD STREET        ,MANHATTAN,10004,No DOF Record as of 08/01/12,,,,,,,,,,
1000090001,34,WHITEHALL STREET,MANHATTAN,10004,Yes,1518,157.9,437.40000000000003,,27,12077.53,852840,Office,1,1000018
1000090014,17,STATE STREET,MANHATTAN,10004,Yes,312,91.5,278.7,,61,4817.62,574105,Office,1,1000020
1000090029,24,WHITEHALL STREET,MANHATTAN,10004,Yes,52,137.19999999999999,306.60000000000002,6.66,41,10190.379999999999,859807,Office,1,1000021
1000100014,33,WHITEHALL STREET    ,MANHATTAN,10004,No DOF Record as of 08/01/12,,,,,,,,,,
1000100016,90,BROAD STREET,MANHATTAN,10004,Yes,602,53.5,153.80000000000001,,76,1846.5,380788,Office,1,1-00010-0016
1000100023,1,WHITEHALL STREET,MANHATTAN,10004,Yes,48,113.10000000000001,252.1,12.96,58,3218.11,329991,Office,1,1000027
1000110021,80,BROAD STREET,MANHATTAN,10004,Yes,2531,77.2,194.6,,69,2719.82,400000,Office,1,1000038
1000130001,1,BROADWAY,MANHATTAN,10004,Yes,1925,,,,N/A,,182899,Office,1,
1000130005,11,BROADWAY,MANHATTAN,10004,Yes,275,100.9,237.20000000000002,,72,3717.62,423348,Office,1,BIN# 1000044
1000130027,25,BROADWAY,MANHATTAN,10004,Yes,2538,132.80000000000001,373.7,,28,9667.4599999999991,807690,Office,1,1000045
1000160010,18,   1 PLACE,MANHATTAN,10280,Yes,2542,128.30000000000001,428.40000000000003,,N/A,1374.17,114100,Entertainment/Culture,1,1084594
1000160120,200,LIBERTY STREET,MANHATTAN,10281,Yes,22,117.3,257.89999999999998,10.5,86,14825.93,1485610,Office,1,
1000160125,225,LIBERTY STREET      ,MANHATTAN,10280,No DOF Record as of 08/01/12,,,,,,,,,,
1000160140,200,VESEY STREET        ,MANHATTAN,10281,No DOF Record as of 08/01/12,,,,,,,,,,
1000160150,250,VESEY PLACE         ,MANHATTAN,10282,No DOF Record as of 08/01/12,,,,,,,,,,
1000160220,450,NORTH END AVENUE,MANHATTAN,10282,Yes,589,88.2,177.8,,N/A,1167.31,188216,Multifamily Housing,1,1085459
1000160225,1,NORTH END AVENUE,MANHATTAN,10281,Yes,272,144.6,356.6,,82,7881.54,622439,Office,1,1085502
