"attributes.Accepts.Credit.Cards","attributes.Alcohol","attributes.Ambience.casual","attributes.Ambience.classy","attributes.Ambience.divey","attributes.Ambience.hipster","attributes.Ambience.intimate","attributes.Ambience.romantic","attributes.Ambience.touristy","attributes.Ambience.trendy","attributes.Ambience.upscale","attributes.Attire","attributes.Caters","attributes.Delivery","attributes.Drive.Thru","attributes.Good.For.Groups","attributes.Good.For.breakfast","attributes.Good.For.brunch","attributes.Good.For.dessert","attributes.Good.For.dinner","attributes.Good.For.latenight","attributes.Good.For.lunch","attributes.Good.for.Kids","attributes.Has.TV","attributes.Noise.Level","attributes.Outdoor.Seating","attributes.Parking.garage","attributes.Parking.lot","attributes.Parking.street","attributes.Parking.valet","attributes.Parking.validated","attributes.Price.Range","attributes.Take.out","attributes.Takes.Reservations","attributes.Waiter.Service","business_id","categories.0","categories.1","city","full_address","hours.Friday.close","hours.Friday.open","hours.Monday.close","hours.Monday.open","hours.Thursday.close","hours.Thursday.open","hours.Tuesday.close","hours.Tuesday.open","hours.Wednesday.close","hours.Wednesday.open","latitude","longitude","name","neighborhoods","open","review_count","stars","state","type","attributes.Happy.Hour","hours","attributes","categories.2","categories.3","categories.4","categories.5","hours.Saturday.close","hours.Saturday.open","hours.Sunday.close","hours.Sunday.open","attributes.Coat.Check","attributes.Good.For.Dancing","attributes.Music.dj","attributes.Smoking","attributes.Wi.Fi","neighborhoods.0","attributes.Wheelchair.Accessible","attributes.Dogs.Allowed","attributes.BYOB","attributes.BYOB.1Corkage","attributes.Corkage","attributes.Order.at.Counter","attributes.Music.background_music","attributes.Music.jukebox","attributes.Music.karaoke","attributes.Music.live","attributes.Music.video","categories","attributes.By.Appointment.Only","categories.6","attributes.Open.24.Hours","attributes.Music","neighborhoods.1","attributes.Hair.Types.Specialized.In.africanamerican","attributes.Hair.Types.Specialized.In.asian","attributes.Hair.Types.Specialized.In.coloring","attributes.Hair.Types.Specialized.In.curly","attributes.Hair.Types.Specialized.In.extensions","attributes.Hair.Types.Specialized.In.kids","attributes.Hair.Types.Specialized.In.perms","attributes.Hair.Types.Specialized.In.straightperms","attributes.Accepts.Insurance","categories.7","attributes.Ages.Allowed","attributes.Dietary.Restrictions.dairy.free","attributes.Dietary.Restrictions.gluten.free","attributes.Dietary.Restrictions.halal","attributes.Dietary.Restrictions.kosher","attributes.Dietary.Restrictions.soy.free","attributes.Dietary.Restrictions.vegan","attributes.Dietary.Restrictions.vegetarian","categories.8","neighborhoods.2","attributes.Parking","categories.9","attributes.Ambience"
TRUE,"none",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"casual",TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"average",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"L_MtTn4IUBTmQtqqM2iFqA","Vietnamese","Restaurants","Phoenix","7000 E Mayo Blvd
Ste 1084
Phoenix, AZ 85054","21:00","10:30","21:00","10:30","21:00","10:30","21:00","10:30","21:00","10:30",33.6586636,-111.9326014,"Tea Light Cafe",NA,TRUE,228,4,"AZ","business",NA,NA,NA,NA,NA,NA,NA,"21:00","10:30",NA,NA,NA,NA,NA,NA,"no",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,"none",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"casual",FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"average",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,TRUE,"OVtSFFNohXIz9vdWDvbnEw","Vietnamese","Restaurants","Phoenix","2844 N 43rd Ave
Phoenix, AZ 85009","20:00","09:00","20:00","09:00","20:00","09:00",NA,NA,"20:00","09:00",33.4794837,-112.1521682,"43rd Express",NA,TRUE,213,4.5,"AZ","business",NA,NA,NA,NA,NA,NA,NA,"20:00","09:00","20:00","09:00",NA,NA,NA,NA,"no",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,"none",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"casual",FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"quiet",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,TRUE,"XbVqzUHS3c9FhG4lI13c3Q","Vietnamese","Chinese","Phoenix","3424 N 19th Ave
Phoenix, AZ 85015","20:30","09:00","20:30","09:00","20:30","09:00","20:30","09:00","20:30","09:00",33.4884017,-112.1003873,"Maxim Restaurant",NA,TRUE,154,4,"AZ","business",NA,NA,NA,"Restaurants",NA,NA,NA,"20:30","09:00",NA,NA,NA,NA,NA,NA,"no",NA,TRUE,FALSE,NA,"yes_free",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,"none",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"casual",FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"average",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,TRUE,"Zy2vca7i9QFGRKa4m0C__A","Vietnamese","Restaurants","Phoenix","4538 N 19th Ave
Phoenix, AZ 85015","20:00","08:00","20:00","08:00","20:00","08:00","20:00","08:00",NA,NA,33.5030184,-112.0999178,"Da Vang",NA,TRUE,391,4,"AZ","business",NA,NA,NA,NA,NA,NA,NA,"20:00","08:00","20:00","08:00",NA,NA,NA,NA,"no",NA,TRUE,NA,FALSE,"no",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"casual",NA,NA,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,TRUE,"4aHi_FH2eP9c25Smb35AZg","Vietnamese","Restaurants","Phoenix","1702 W Camelback Rd
Ste 14
Phoenix, AZ 85015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.5100937,-112.0961354,"Pho Bang Restaurant",NA,FALSE,13,3,"AZ","business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,"beer_and_wine",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"casual",FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"quiet",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,TRUE,"wAs-stW0HP6OXVXdpawnBQ","Vietnamese","Restaurants","Phoenix","4808 N 35th Ave
Phoenix, AZ 85017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.5081911,-112.134648,"Dong-A",NA,TRUE,17,3.5,"AZ","business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,"full_bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"casual",NA,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE,TRUE,"qNpNPI-f2Y2eg364-V0deQ","Vietnamese","Restaurants","Phoenix","7828 N 19th Ave
Ste 6
Phoenix, AZ 85021","21:00","10:00","21:00","10:00","21:00","10:00","21:00","10:00","21:00","10:00",33.551961,-112.100102,"Tu DO Restaurant",NA,FALSE,7,2,"AZ","business",NA,NA,NA,NA,NA,NA,NA,"21:00","10:00","21:00","10:00",NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,"none",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"casual",NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"average",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"Co-sJv4GNxILkF79ZMLq-Q","Vietnamese","Asian Fusion","Phoenix","7000 E Mayo Blvd
Phoenix, AZ 85054","21:30","10:00","21:00","10:00","21:00","10:00","21:00","10:00","21:00","10:00",33.6556844,-111.9300279,"Panda Express",NA,TRUE,19,1.5,"AZ","business",NA,NA,NA,"Chinese","Restaurants",NA,NA,"21:00","10:30","21:00","11:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,"none",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"casual",FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"average",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,TRUE,"-_npP9XdyzILAjtFfX8UAQ","Vietnamese","Sandwiches","Phoenix","6025 N 27th Ave
Ste 24
Phoenix, AZ 85073",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.525634916509,-112.116214529419,"Thao's Sandwiches",NA,TRUE,26,3,"AZ","business",NA,NA,NA,"Restaurants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,"casual",NA,FALSE,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,NA,TRUE,"PEOP7kZ1E4BJx3YzLMrmpA","Vietnamese","Restaurants","Phoenix","8115 N 19th Ave
Ste 101-A
Phoenix, AZ 85021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.555296,-112.09925,"Pho Loc",NA,FALSE,12,3.5,"AZ","business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
