region,country
EAST ASIA AND PACIFIC,American Samoa
EAST ASIA AND PACIFIC,Australia
EAST ASIA AND PACIFIC,Brunei Darussalam
EAST ASIA AND PACIFIC,Cambodia
EAST ASIA AND PACIFIC,China
EAST ASIA AND PACIFIC,Fiji
EAST ASIA AND PACIFIC,French Polynesia
EAST ASIA AND PACIFIC,Guam
EAST ASIA AND PACIFIC,"Hong Kong SAR, China"
EAST ASIA AND PACIFIC,Indonesia
EAST ASIA AND PACIFIC,Japan
EAST ASIA AND PACIFIC,Kiribati
EAST ASIA AND PACIFIC,"Korea, Dem. People's Rep."
EAST ASIA AND PACIFIC,"Korea, Rep."
EAST ASIA AND PACIFIC,Lao PDR
EAST ASIA AND PACIFIC,"Macao SAR, China"
EAST ASIA AND PACIFIC,Malaysia
EAST ASIA AND PACIFIC,Marshall Islands
EAST ASIA AND PACIFIC,"Micronesia, Fed. Sts."
EAST ASIA AND PACIFIC,Mongolia
EAST ASIA AND PACIFIC,Myanmar
EAST ASIA AND PACIFIC,Nauru
EAST ASIA AND PACIFIC,New Caledonia
EAST ASIA AND PACIFIC,New Zealand
EAST ASIA AND PACIFIC,Northern Mariana Islands
EAST ASIA AND PACIFIC,Palau
EAST ASIA AND PACIFIC,Philippines
EAST ASIA AND PACIFIC,Samoa
EAST ASIA AND PACIFIC,Singapore
EAST ASIA AND PACIFIC,Solomon Islands
EAST ASIA AND PACIFIC,"Taiwan, China"
EAST ASIA AND PACIFIC,Thailand
EAST ASIA AND PACIFIC,Timor-Leste
EAST ASIA AND PACIFIC,Papua New Guinea
EAST ASIA AND PACIFIC,Tonga
EAST ASIA AND PACIFIC,Tuvalu
EAST ASIA AND PACIFIC,Vanuatu
EAST ASIA AND PACIFIC,Vietnam
EUROPE AND CENTRAL ASIA,Albania
EUROPE AND CENTRAL ASIA,Andorra
EUROPE AND CENTRAL ASIA,Armenia
EUROPE AND CENTRAL ASIA,Austria
EUROPE AND CENTRAL ASIA,Azerbaijan
EUROPE AND CENTRAL ASIA,Belarus
EUROPE AND CENTRAL ASIA,Belgium
EUROPE AND CENTRAL ASIA,Bosnia and Herzegovina
EUROPE AND CENTRAL ASIA,Bulgaria
EUROPE AND CENTRAL ASIA,Channel Islands
EUROPE AND CENTRAL ASIA,Croatia
EUROPE AND CENTRAL ASIA,Cyprus
EUROPE AND CENTRAL ASIA,Czech Republic
EUROPE AND CENTRAL ASIA,Denmark
EUROPE AND CENTRAL ASIA,Estonia
EUROPE AND CENTRAL ASIA,Faroe Islands
EUROPE AND CENTRAL ASIA,Finland
EUROPE AND CENTRAL ASIA,France
EUROPE AND CENTRAL ASIA,Georgia
EUROPE AND CENTRAL ASIA,Germany
EUROPE AND CENTRAL ASIA,Gibraltar
EUROPE AND CENTRAL ASIA,Greece
EUROPE AND CENTRAL ASIA,Greenland
EUROPE AND CENTRAL ASIA,Hungary
EUROPE AND CENTRAL ASIA,Iceland
EUROPE AND CENTRAL ASIA,Ireland
EUROPE AND CENTRAL ASIA,Isle of Man
EUROPE AND CENTRAL ASIA,Italy
EUROPE AND CENTRAL ASIA,Kazakhstan
EUROPE AND CENTRAL ASIA,Kosovo
EUROPE AND CENTRAL ASIA,Kyrgyz Republic
EUROPE AND CENTRAL ASIA,Latvia
EUROPE AND CENTRAL ASIA,Liechtenstein
EUROPE AND CENTRAL ASIA,Lithuania
EUROPE AND CENTRAL ASIA,Luxembourg
EUROPE AND CENTRAL ASIA,"Macedonia, FYR"
EUROPE AND CENTRAL ASIA,Moldova
EUROPE AND CENTRAL ASIA,Monaco
EUROPE AND CENTRAL ASIA,Montenegro
EUROPE AND CENTRAL ASIA,Netherlands
EUROPE AND CENTRAL ASIA,Norway
EUROPE AND CENTRAL ASIA,Poland
EUROPE AND CENTRAL ASIA,Portugal
EUROPE AND CENTRAL ASIA,Romania
EUROPE AND CENTRAL ASIA,Russian Federation
EUROPE AND CENTRAL ASIA,San Marino
EUROPE AND CENTRAL ASIA,Serbia
EUROPE AND CENTRAL ASIA,Slovak Republic
EUROPE AND CENTRAL ASIA,Slovenia
EUROPE AND CENTRAL ASIA,Spain
EUROPE AND CENTRAL ASIA,Sweden
EUROPE AND CENTRAL ASIA,Switzerland
EUROPE AND CENTRAL ASIA,Tajikistan
EUROPE AND CENTRAL ASIA,Turkey
EUROPE AND CENTRAL ASIA,Turkmenistan
EUROPE AND CENTRAL ASIA,Ukraine
EUROPE AND CENTRAL ASIA,United Kingdom
EUROPE AND CENTRAL ASIA,Uzbekistan
LATIN AMERICA AND THE CARIBBEAN,Antigua and Barbuda
LATIN AMERICA AND THE CARIBBEAN,Argentina
LATIN AMERICA AND THE CARIBBEAN,Aruba
LATIN AMERICA AND THE CARIBBEAN,"Bahamas, The"
LATIN AMERICA AND THE CARIBBEAN,Barbados
LATIN AMERICA AND THE CARIBBEAN,Belize
LATIN AMERICA AND THE CARIBBEAN,Bolivia
LATIN AMERICA AND THE CARIBBEAN,Brazil
LATIN AMERICA AND THE CARIBBEAN,British Virgin Islands
LATIN AMERICA AND THE CARIBBEAN,Cayman Islands
LATIN AMERICA AND THE CARIBBEAN,Chile
LATIN AMERICA AND THE CARIBBEAN,Colombia
LATIN AMERICA AND THE CARIBBEAN,Costa Rica
LATIN AMERICA AND THE CARIBBEAN,Cuba
LATIN AMERICA AND THE CARIBBEAN,Curacao
LATIN AMERICA AND THE CARIBBEAN,Dominica
LATIN AMERICA AND THE CARIBBEAN,Dominican Republic
LATIN AMERICA AND THE CARIBBEAN,Ecuador
LATIN AMERICA AND THE CARIBBEAN,El Salvador
LATIN AMERICA AND THE CARIBBEAN,Grenada
LATIN AMERICA AND THE CARIBBEAN,Guatemala
LATIN AMERICA AND THE CARIBBEAN,Guyana
LATIN AMERICA AND THE CARIBBEAN,Haiti
LATIN AMERICA AND THE CARIBBEAN,Honduras
LATIN AMERICA AND THE CARIBBEAN,Jamaica
