,category,rating,name,app,tp,review,date,brand,ratingNum,lenReview,dateindex,Nbrand,sentiment,neg,neu,pos
325,Strategy,Rated 1 stars out of five stars,Samuel Jacksons,Game of War - Fire Age,Top Grossing Games,"Once upon a time you could play for free. However that ship sailed ages ago,  now it's new content almost daily that'll cost a couple hundred to over $10,000. They also don't know how to build a sustainable economy and so now the game has more premium currencies than can be counted. $100/mth to be relevant, $100/wk to be good, $100/day and there will still be people outgrowing you...","1,12,2017","Machine Zone, Inc.",1,386,638,0,0.8225,0.0,0,0.12
411,Strategy,Rated 2 stars out of five stars,Ste tyman,Game of War - Fire Age,Top Grossing Games,"If your a rich, fat American kid who still sucks on mummy's nips then this game is for you.  If your like the rest of the world who has to deal with bills, kids and a wife then stay clear of this game.  It's all about your money and how quickly they can take it from you. The packs start off cheap bit after the first purchase they soon double in price and after that it doesn't stop.  The devs seem more interested in getting you to pay top price for something that really isn't worth it.","2,7,2017","Machine Zone, Inc.",2,489,664,0,0.8603,0.055,0,0.143
412,Strategy,Rated 3 stars out of five stars,arturo jimenez,Game of War - Fire Age,Top Grossing Games,"Love the game, but needs lots of money to stay competitive! How much? Well a decent pack costs $100 Us Dollars, and it will get you going, but you need a lot of those to be able to play like everyone! Or don't spend and stay shielded! Cause sure enough someone that spends hundreds will burn you! You been advised!","1,12,2017","Machine Zone, Inc.",3,314,638,0,0.9499,0.0,0,0.255
413,Strategy,Rated 4 stars out of five stars,Allen Trinidad,Game of War - Fire Age,Top Grossing Games,Game of War is the game I can't/won't stop playing. The in-app purchases are now very affordable and offer many practical items. The balance has tipped more evenly for new players to become formidable empires. The game crashes much less often however the chat service is still very glitchy. The content is the best part of this game with new features rolling out often enough to hold interest for veteran players like myself.,"2,10,2017","Machine Zone, Inc.",4,425,667,0,0.7266,0.066,0,0.139
414,Strategy,Rated 3 stars out of five stars,Shannon Farley,Game of War - Fire Age,Top Grossing Games,"I purchased the reign supreme coin pack,  my card was charged but I didn't receive the items.    Fixed the login.   however, for the past 2 days i haven't been able to open the app. Every time i try to open it i get a message telling me to close the app through task manager. I have tried restarting my phone, and uninstalling and reinstalling the app, which did not work. I would love to keep playing but not if I'm going to keep having problems. please fix this.","2,1,2017","Machine Zone, Inc.",3,464,658,0,-0.6544,0.107,0,0.069
415,Strategy,Rated 4 stars out of five stars,Emmett Moore,Game of War - Fire Age,Top Grossing Games,"Must say that this game is very addictive. Have been playing for over 2 years now and have never tired of it. Keeps changing and staying relevant.  Changes too fast to keep up sometimes though.  Frustrating on that part for sure.  Also, if you want to be competitive this game is not FREE!  To enjoy the game and be competitive you must spend money, and not just a little bit.  This game will run into thousands of dollars if you want to really play.  Just the truth.  I love the game and continue to spend and play.  As long as spending a few hundred dollars a week on this game is okay with you then you will love it!","1,22,2017","Machine Zone, Inc.",4,619,648,0,0.9539,0.064,0,0.225
416,Strategy,Rated 1 stars out of five stars,Peter Reime,Game of War - Fire Age,Top Grossing Games,Identical in format to dozens of games out there this game will bombard you with ads for its ingame purchases with poor graphics (commodore 64 quality) and incredibly convoluted and boring game play. Only played it to get free credits for a different game.,"1,15,2017","Machine Zone, Inc.",1,256,641,0,0.6041,0.106,0,0.199
417,Strategy,Rated 1 stars out of five stars,Joshua Moody,Game of War - Fire Age,Top Grossing Games,"After avoiding this game for so long, I downloaded it for 2 Tapjoy rewards offers: reaching stronghold level 6 and 10. I received my reward for 6, but not 10. I made it within the 7 day deadline. After complaining to Tapjoy and showing them a screenshot of my level 10 stronghold, Tapjoy replied saying Machine Zone denied that I had reached stronghold 10. Dishonest devs can piss off. Not to mention the game throws a gold sale screen in your face every 5 minutes.","1,20,2017","Machine Zone, Inc.",1,465,646,2,-0.8625,0.179,0,0.129
418,Strategy,Rated 1 stars out of five stars,aaron Walmsley,Game of War - Fire Age,Top Grossing Games,"One of the first things the game tries to do is sell you things. If you don't buy the 2nd builder then when you launch the app again it tries again, and when you unlock the phone with it open it tries again, and again, and again. Even in the middle of the game it tries to sell it. It doesn't add anything to the genre it comes from, and even detracts from itself with all the sales in your face.  It also throws ""limited time offers"" at you, however if you actually watch the timer you see that when it hits 0 it sets back to its original time to try again. All in all another money grab.","1,23,2017","Machine Zone, Inc.",1,589,649,0,0.1027,0.016,0,0.019
493,Strategy,Rated 1 stars out of five stars,no one,Game of War - Fire Age,Top Grossing Games,You need at a minimum a few hundred a month to enjoy this game if you dont have that don't download.  Ive played for the better part of 3 years the free to play days are gone unfortunately.  Im hoping that they some how turn the game back around to a free to play and enjoy. Unfortunately i dont think this will happen. My suggestion would be goto youtube and watch a few videos about the game play. See if its something your willing to spend on . Its a slippery slope once you start.,"1,27,2017","Machine Zone, Inc.",1,484,653,0,0.9588,0.064,0,0.243
