Parcel(s),Building Name,Building Address,Postal Code,Full.Address,Floor Area,Property Type - Self Selected,PIM Link,Benchmark 2010 Status,2010 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Energy Audit Due Date,Energy Audit Status,2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2)
4346/002,200 Marin Street,1901 CESAR CHAVEZ ST,94124,"1901 CESAR CHAVEZ ST
San Francisco, CA 94124
",75035,,http://propertymap.sfplanning.org/?&search=4346/002,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - Change of Ownership,4/1/2017,Upcoming,99,18.6,,-67.7,,123.13,,18.5,,71,31.8,75.4,-20.8,,178.76,,31.8,75.4,84,19.6,58.9,-34.2,-34.3,125.9,1.7,19.6,58.9,95,15.3,45.9,-48.3,-48.3,91.4,1.2,15.3,45.9,,,,,,,,,
3936/001,200 RHODE ISLAND ST,200 RHODE ISLAND ST,94103,"200 RHODE ISLAND ST
San Francisco, CA 94103
(37.766863, -122.402807)",90768,,http://propertymap.sfplanning.org/?&search=3936/001,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,4/1/2017,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0040/017,295 BAY ST,295 BAY ST,94133,"295 BAY ST
San Francisco, CA 94133
(37.805863, -122.411652)",26069,,http://propertymap.sfplanning.org/?&search=0040/017,Violation - Did Not Report,,Exempt,,Exempt,,Exempt,,Exempt,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0283/016,Petite Auberge,863 BUSH ST,94108,"863 BUSH ST
San Francisco, CA 94108
(37.789826, -122.411447)",11174,,http://propertymap.sfplanning.org/?&search=0283/016,Complied,,Violation - Did Not Report,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4316/002,1100 Cesar Chavez,1100 CESAR CHAVEZ ST,94107,"1100 CESAR CHAVEZ ST
San Francisco, CA 94107
",27897,Distribution Center,http://propertymap.sfplanning.org/?&search=4316/002,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,48.4,91.6,384.1,,44.77,,47.9,91.3,,47.1,85.1,-30.8,-30.9,40.2,1.7,47.8,85.8,,50.8,102.7,-16.6,-16.6,49.6,2.1,52.2,104.1,,53.5,111.2,-9.6,-9.6,54,2.3,53.8,111.6
4006/006,395-420 Wisconsin St,395-420 Wisconsin St,94107,"395 420 Wisconsin St
San Francisco, CA 94107
",29795,,http://propertymap.sfplanning.org/?&search=4006/006,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4304/002,Pier 80 - Admin Bldg.,"80 Pier, Admin Bldg., 501 Cesar Chavez",94124,,41390,Office,http://propertymap.sfplanning.org/?&search=4304/002,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,4/1/2099,Municipal,,,,,,,,,,,,,,,,,,,26,64.2,145.3,28.9,29,194.8,4.7,,,37,51,124.9,14,14,152.3,3.7,,,61,43.1,97,-12.3,-12.3,123.9,3,,
5587/004,None,None,None,,44311,,http://propertymap.sfplanning.org/?&search=5587/004,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,11/15/2012,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4324/002,1950-2190 Cesar Chavez,2150 CESAR CHAVEZ ST,94107,"2150 CESAR CHAVEZ ST
San Francisco, CA 94107
",195487,Non-Refrigerated Warehouse,http://propertymap.sfplanning.org/?&search=4324/002,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,100,3.9,,-85,,56.06,,3.9,,,,,,,,,,,,9.8,27.4,-77.7,-77.7,147.5,0.8,9.8,27.4,,11,32.2,-73.8,-73.8,168.9,0.9,11,32.2,,16.1,42.6,-65.4,-65.4,235.5,1.2,16.7,43.3
0689/025,1409 SUTTER ST,1409 SUTTER ST,94109,"1409 SUTTER ST
San Francisco, CA 94109
(37.787308, -122.423699)",10750,,http://propertymap.sfplanning.org/?&search=0689/025,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
