"company","pro"
"The Washington Post","Fun place to work"
"The Washington Post",",Flexible work"
"The Washington Post",",Tuition reimbursement"
"The Washington Post",",Remote work, Work from home, flexible timings, awesome culture and environement"
"The Washington Post",",My customers bring me snacks, fruit, or watered."
"The Washington Post",",none"
"The Washington Post",",Being your own boss; growing your own business; and providing good customer service"
"The Washington Post",",Working on great stories"
"The Washington Post",",A fun place and fast moving place to work"
"The Washington Post",",I felt great pride working for a company that is so highly regarded in the industry."
"The Washington Post",",I had my days free"
"Squarespace","freedom to create, best equipment, free catered lunch, exceptional benefits."
"Squarespace",",Tons of free food (catered lunches) great people for coworkers, centrally located in downtown Portland"
"Squarespace",",catered lunch daily, supportive management"
"Squarespace",",choose your own gear, flexible work arrangements, private chef, top of the line health benefits, modern office environment in the heart of soho, stocked fridge and snacks."
"Squarespace",",catered free lunch, yoga studio membership, health benefits, top of the line technology, talented coworkers and management"
"Squarespace",",nobody yelling about meeting arbitrarily defined milestones"
"Squarespace",",coworkers, challenging, compensation, management, work/life balance"
"Squarespace",",great benefits, catered lunch, stocked food and drinks, company outings"
"Squarespace",",freedom to innovate, free lunch, flexible hours, friendly environment"
"Squarespace",",catered lunch, healthy snacks, fridge stocked with drinks, game room, library, cafeteria, squarespace swag"
"Squarespace",",any equipment i want, catered lunch, video games, 401k match, paid healthcare"
"Amedisys","Good use of technology, always looking for better ways to provide care and meet the needs of patients"
"Amedisys",",good enviroment"
"Amedisys",",Flexibility"
"Amedisys",",Hardly anything worth mentioning"
"Amedisys",",great management"
"Amedisys",",Patients"
"Amedisys",",Love the direct patient care part."
"Amedisys",",Great staff"
"Amedisys",",Flexible Schedule"
"Amedisys",",flexable scheduale"
"Amedisys",",Good learning environment"
"Amedisys",",Flexible work environment, great patients"
"Amedisys",",you can center work around your private life, great benfit package. full time, part time andprn available."
"Spiceworks","everything"
"Spiceworks",",great team, great work, excellent benefits."
"JPMorgan Chase","40 hour work week, paid holidays, PTO, and 401K match"
"JPMorgan Chase",",management"
"JPMorgan Chase",",Good people to work with."
"JPMorgan Chase",",Flexible management allows you to run your errands and still be employed"
"JPMorgan Chase",",Leaned alot and advanced technology compared to competitors"
"JPMorgan Chase",",Good work life balance"
"FactSet Research Systems","My commute from Jersey"
"FactSet Research Systems",",Free Lunch, Free cab"
"FactSet Research Systems",",Alloted $7.00 to eat in the Cafe"
"FactSet Research Systems",",lunches are free"
"FactSet Research Systems",",Medical benefits are great especially for a family"
"FactSet Research Systems",",Free lunch, snacks, and overall good benefits"
