"company","con"
"The Washington Post","Paid only .10 per newspaper had to deliver 1000 newspaper to make hundred dollars a day, which would kill you transmission."
"The Washington Post",",None"
"The Washington Post",",Mostly night work one had to work many years in night before get a day shift"
"The Washington Post",",Compensation, food (nothing is free)"
"The Washington Post",",no lunch breaks, emails all night, no training, disorganization"
"The Washington Post",",Too many hours with very little sleep"
"The Washington Post",",No job security"
"The Washington Post",",short breaks"
"The Washington Post",",I didn't like the commute to and from work each day."
"The Washington Post",",I didn't like getting up at 2 AM"
"Squarespace","growing pains with communication and process as we're rapidly expanding."
"Squarespace",",Large time commitments/flexibility in schedule required, some instability in job security"
"Squarespace",",health coverage used to be mediocre, now quite good"
"Squarespace",",a talented staff means you need to be better than you think you can be"
"Squarespace",",not enough dogs"
"Squarespace",",need to motivate yourself"
"Squarespace",",top down management, not enough product managers"
"Amedisys","Pay structure based on New Orleans base of operations, other major markets forced to underpay staff or recruit less than top level candidates."
"Amedisys",",driving"
"Amedisys",",Frequent changes"
"Amedisys",",Over worked, Poor training, No Communication, Poor Management and a Revolving Door"
"Amedisys",",mileage"
"Amedisys",",Lengthy documentation taken home for hours every night."
"Amedisys",",Pay, too many hours, poor management esp with loss of current Director."
"Amedisys",",Many top level changes."
"Amedisys",",they keep changing employee status"
"Amedisys",",Growth was challenging"
"Amedisys",",Numbers and dollars focused"
"Amedisys",",none"
"Spiceworks","i honestly can't think of one"
"JPMorgan Chase","Limitied on total compensation"
"JPMorgan Chase",",balance of work life and home life"
"JPMorgan Chase",",Wish that I was still working there."
"JPMorgan Chase",",No value for a good employee"
"JPMorgan Chase",",work life balance was difficult and inflexible/no room for advancement other than branch management"
"JPMorgan Chase",",Salary not at par with industry"
"FactSet Research Systems","Free lunch"
"FactSet Research Systems",",management is learniing"
"FactSet Research Systems",",Most middle management never worked anywhere else, Director level and above are now only concerned with their cost cutting bonuses, Product management is being moved overseas too heavily"
"FactSet Research Systems",",Micro-managing, fault-finding approach, and not work-life balance at all"
"FactSet Research Systems",",People are unfriendly in NYC office. No clear direction on certain projects."
"FactSet Research Systems",",poor middle management, executives checked out, not great work life balance"
"FactSet Research Systems",",Low pay for amount of work required, disconnected managers that go home whenever they want, little room for advancement"
"FactSet Research Systems",",no Advancement, bad work atmosphere"
"GE Corporate","frequent re-locations."
"GE Corporate",",proposal writing can become stressful"
"GE Corporate",",Long hours/time off with pay"
"GE Corporate",",Contract Poisiton"
