"company","review"
"The Washington Post","the most enjoyable part of the job is the broad subject matter. a typical day at work can include a variety of issue areas, and employees have a lot of opportunity"
"The Washington Post",",Couriers grossly under paid. 10 cents for daily washingtion post is outrageous. 35 cents for the Sunday paper. And they keep your tips.  Again work for Uber or Lyft you make more money hands down.  If you set it up right you make enough to quit your regular job. Don't work here not worth it.  My paper count was constantly off, I did not have enough newspapers to complete my route. Which cause me burn more fuel and waste more time.  They charge you 5.00 for complaints. Which is more than you make per paper.  I'm  so sorry I every work for this company as a independent contractor."
"The Washington Post",",It honored to work with this company. Friendly and helpful environment."
"The Washington Post",",Team lead, Ba, developer and UAT team are realy helpfull and professional."
"The Washington Post",",I learned alot from here."
"The Washington Post",",A typical work day was running the press line to produce newspaper, that were delivered to the DMV areas.  The most enjoyable part of the job was knowing that I put in a 100% effort to produce the final product"
"The Washington Post",",As a paper route carrier it was a great part time job to have while having a full time job. Good compensation with flexible hours."
"The Washington Post",",I work there for 25 years always have had a fun and friendly atmosphere, people willing to help, management style was helpful in developing and educating the junior staff."
"The Washington Post",",On a typical day at work, I have been learning new lessons to improve my skill. Work us a team with my Co-workers, to be productive in every day task."
"The Washington Post",",Typical day at work I collect the money for a distributor from all the stores in the downtown area"
"The Washington Post",",The most enjoyable part of work if I work at my own pace"
"The Washington Post",",Typical day at work I delivered papers to the door and put the put the Washington Post papers in the Washington Times paper inside the machine"
"The Washington Post",",This place is very flexible in terms of time & work, so you can maintain the balance in your life, only complaint is about the compensation. But it is up to you, you might get a boost in your career after here for a while."
"The Washington Post",",My job is making sure people stat their day with a smile and a paper. Some even bring me snacks,coffee, things to read and I love playing with the little ones as they are on their way to school. My co-worker and I work together on the job and get the job done from 6am-10am. By me passing the paper out a lot of people ask me about the current events, sports and sales that are going on and also where's a good place to eat or a great movie or free show's for the weekend"
