,Source,gMag,gSent,gentity1,gentity1salience,gentity1type,gentity2,gentity2salience,gentity2type,gentity3,gentity3salience,gentity3type,gentity4,gentity4salience,gentity4type,gentity5,gentity5salience,gentity5type,gtopic1,gtopic2,gtopic3,gtopic4,gtopic5,id,lenArticle,lenGoogleAPIentities,lenGoogleAPItokens,lenTextRazorAPIcoarseTopics,lenTextrazorAPIentailments,lenTextrazorAPIentities,lenTextrazorAPIproperties,lenTextrazorAPIrelations,lenTextrazorAPIsentences,lenTextrazorAPItopics,tentity1,tentity1salience,tentity1type,tentity2,tentity2salience,tentity2type,tentity3,tentity3salience,tentity3type,tentity4,tentity4salience,tentity4type,tentity5,tentity5salience,tentity5type
0,reutersbasic,11.3,-0.2,Donald Trump,0.27520803,PERSON,women,0.084030256,PERSON,Republicans,0.062616654,PERSON,United States,0.04993443,PERSON,victim,0.03625261,PERSON,Donald Trump,Republican Party (United States),Abortion,Anti-abortion movements,Politics of the United States,-1011072718,4781,6963,9562,647,1845737,89645,9391,291422,291422,34322,John Kasich,1.0,Agent,Ted Cruz,1.0,Agent,Donald Trump,0.9393,Agent,Hillary Clinton,0.9303,Agent,Anti-abortion movements,0.8561,
1,cnnbasic,1.7,-0.3,Donald Trump,0.18399486,PERSON,Rosie Ayliffe,0.08914265,PERSON,mother,0.08442561,PERSON,White House,0.068797335,PERSON,death,0.041217305,PERSON,Crime,Politics,Abuse,Injustice,Culture,-1027049871,2158,3467,4316,652,547155,32628,4446,121801,121801,36895,Islamic State of Iraq and the Levant,0.5183,Place,CNN,0.3353,Agent,Muslim world,0.334,Place,Donald Trump,0.3318,Agent,United States,0.3036,Place
2,foxbasic,0.9,-0.2,students,0.19379252,PERSON,British,0.14907931,PERSON,Sudanese,0.13824405,PERSON,students,0.10584934,PERSON,Islamic State,0.064203024,PERSON,Islamic State of Iraq and the Levant,University of Medical Sciences and Technology,International relations,Conflicts,Politics,-1031572323,1327,2760,2654,647,366799,31955,2667,68649,68649,44302,Islamic State of Iraq and the Levant,0.6325,Place,Sudan,0.3497,Place,Syria,0.3492,Place,Iraq,0.3069,Place,Donald Trump,0.2966,Agent
3,cnnbasic,2.8,-0.1,DeVos,0.3323696,PERSON,Broad,0.16039099,PERSON,Eli Broad,0.08551339,PERSON,Mitch McConnell,0.056634672,PERSON,letter,0.033615652,PERSON,Republican Party (United States),Public sphere,Government,Politics,Politics of the United States,-1038286469,2158,3184,4316,658,922570,29271,3982,126529,126529,27456,Mitch McConnell,0.5658,Agent,Chuck Schumer,0.5617,Agent,Republican Party (United States),0.4529,Agent,Donald Trump,0.4102,Agent,United States Senate,0.2462,Agent
4,cnnbasic,9.2,0.1,United States,0.15519431,LOCATION,family,0.10609946,LOCATION,Sarmad Assali,0.09775792,LOCATION,relatives,0.06622751,LOCATION,Asalis,0.05923662,LOCATION,American Civil Liberties Union,United States,Politics,Government,Syria,-1043443029,3742,4956,7484,653,1222741,79939,5120,228293,228293,32250,American Civil Liberties Union,0.5897,Agent,Donald Trump,0.4814,Agent,John F. Kennedy,0.404,Agent,Qatar,0.3624,Place,Pennsylvania,0.3568,Place
5,foxbasic,1.4,-0.1,Donald Trump,0.31685308,PERSON,Vladimir Putin,0.23807435,PERSON,Russian,0.047607265,PERSON,Iran.,0.041859142,PERSON,Moscow,0.038023915,PERSON,Vladimir Putin,Russia,Donald Trump,Iran,Public sphere,-1069232525,2013,3343,4026,658,725939,49108,3740,119610,119610,33151,Vladimir Putin,0.7445,Agent,Cold War,0.6877,Event,Russia,0.5925,Place,Syria,0.5263,Place,Bill O'Reilly (political commentator),0.5125,Agent
6,foxbasic,4.5,-0.5,Trump,0.55596465,PERSON,people,0.09281756,PERSON,poll,0.036931247,PERSON,polling,0.02884486,PERSON,news,0.024860702,PERSON,Donald Trump,Opinion poll,Twitter,Politics,NBC,-107171810,1770,2682,3540,659,686278,35380,4366,118665,118665,30849,The New York Times,0.4238,Work,Twitter,0.4103,Work,NBC,0.3847,Agent,CNN,0.3822,Agent,American Broadcasting Company,0.3691,Agent
7,foxbasic,4.5,0.0,Trump,0.31906864,PERSON,hearing,0.10334495,PERSON,courts,0.065531164,PERSON,sheriffs,0.05478062,PERSON,court,0.03335283,PERSON,Donald Trump,Judge,United States,Government information,Law,-1080711666,2357,3320,4714,653,1032627,35532,3854,148413,148413,35181,United States Department of Justice,0.4972,Agent,Syria,0.407,Place,Yemen,0.3953,Place,Sudan,0.3878,Place,Somalia,0.3781,Place
8,foxbasic,5.6,0.0,Republicans,0.22178076,PERSON,Trump,0.21386036,PERSON,Democrats,0.12140854,PERSON,White House,0.08398443,PERSON,retreat,0.026370777,PERSON,Democratic Party (United States),Republican Party (United States),Donald Trump,Nancy Pelosi,United States House of Representatives,-1091114795,2836,4443,5672,650,1109865,60462,4160,168611,168611,31438,Nancy Pelosi,0.7277,Agent,Hillary Clinton,0.7187,Agent,Patient Protection and Affordable Care Act,0.708,,Republican Party (United States),0.6967,Agent,United States Congress,0.6633,Place
9,foxbasic,36.4,0.0,Donald Trump,0.41503766,PERSON,Republicans,0.11513521,PERSON,ObamaCare,0.03399931,PERSON,plan,0.012575326,PERSON,Fluff,0.011749235,PERSON,Donald Trump,Republican Party (United States),President of the United States,Patient Protection and Affordable Care Act,Conservatism in the United States,-1103531978,13090,19139,26180,659,4452968,218524,28431,808134,808134,41071,George W. Bush,0.9546,Agent,Donald Trump,0.8454,Agent,Patient Protection and Affordable Care Act,0.7709,,Republican Party (United States),0.7702,Agent,Vladimir Putin,0.7423,Agent
10,cnnbasic,11.0,0.1,Nimo Hashi,0.1723409,PERSON,husband,0.16587946,PERSON,Abdelsalam Ahmed,0.08936992,PERSON,Utah,0.05484622,PERSON,Donald Trump,0.05136663,PERSON,Refugee,Utah,Somalia,Donald Trump,Salt Lake City,-1107382027,3985,5001,7970,642,1641047,56415,6709,267837,267837,25042,Somalia,0.4831,Place,Donald Trump,0.4773,Agent,Utah,0.4616,Place,Refugee,0.4373,EthnicGroup,Salt Lake City,0.4195,Place
11,cnnbasic,16.8,0.0,America,0.25667015,LOCATION,governments,0.051007446,LOCATION,CEOs,0.037384093,LOCATION,departure,0.033457447,LOCATION,airlines,0.03275632,LOCATION,Airline,Donald Trump,Airport,Emirates (airline),United States,-1143831207,4811,7800,9622,658,2027176,93675,6893,305533,305533,25825,American Airlines,0.8402,Agent,Airline,0.8075,,Boeing,0.7933,Agent,Eastern Air Lines,0.7557,Agent,Delta Air Lines,0.7238,Agent
12,reutersbasic,11.1,0.0,Donald Trump,0.580691,PERSON,Neil Gorsuch,0.020239597,PERSON,U.S. Supreme Court,0.016088272,PERSON,immigration ban,0.015978275,PERSON,brief,0.014320927,PERSON,Donald Trump,President of the United States,Supreme Court of the United States,United States,Democratic Party (United States),-1144194618,5300,8795,10600,660,1900632,123763,13063,306515,306515,37997,Mike Pence,0.8406,Agent,George W. Bush,0.8232,Agent,Supreme Court of the United States,0.7852,Place,Condoleezza Rice,0.7814,Agent,Merrick Garland,0.7731,Agent
13,reutersbasic,5.8,0.0,Passengers,0.13180432,PERSON,Gregory Locke,0.114677764,PERSON,incident,0.07020962,PERSON,passenger,0.039227284,PERSON,Adolf Hitler,0.035876527,PERSON,Antisemitism,Human rights abuses,Nazi Germany,Swastika,New York City,-1145234675,2370,4517,4740,655,735042,45302,3687,147237,147237,38682,Neo-Nazism,0.5108,,The Holocaust,0.4614,,Swastika,0.4404,,Nazi Germany,0.4319,Place,New York City Subway,0.3218,Agent
14,reutersbasic,12.3,-0.1,Dodd-Frank,0.18076034,OTHER,Donald Trump,0.17470405,OTHER,American,0.08478568,OTHER,Democratic,0.055607673,OTHER,banking rules,0.04039675,OTHER,Dodd–Frank Wall Street Reform and Consumer Protection Act,Bank,Federal Reserve System,Donald Trump,Consumer Financial Protection Bureau,-1165399193,5376,8631,10752,658,2185237,121342,9765,320624,320624,42147,Dodd–Frank Wall Street Reform and Consumer Protection Act,1.0,,Federal Reserve System,1.0,Agent,Volcker Rule,1.0,,Jamie Dimon,1.0,Agent,Citigroup,1.0,Agent
15,cnnbasic,12.3,0.2,Ivanka Trump,0.37723657,PERSON,Donald Trump,0.31241518,PERSON,father,0.03412542,PERSON,daughter,0.026563901,PERSON,Jared Kushner,0.01619156,PERSON,Donald Trump,Ivanka Trump,President of the United States,The Trump Organization,White House,-1168987844,5049,7659,10098,657,1956826,75473,11518,345667,345667,32266,Donald Trump,0.7454,Agent,Ivanka Trump,0.6153,Agent,George W. Bush,0.5567,Agent,Goldman Sachs,0.5549,Agent,United States Congress,0.4556,Place
16,reutersbasic,2.6,0.0,Mexican,0.21446049,LOCATION,Donald Trump,0.20841305,LOCATION,United States.,0.053093694,LOCATION,Miguel Angel Osorio Chong,0.04453404,LOCATION,countries,0.03854678,LOCATION,Mexico,United States,Donald Trump,Public sphere,National security,-1174461756,1836,2855,3672,660,597609,48653,4159,106108,106108,25891,United States Department of Defense,0.4363,Agent,Mexico,0.3967,Place,United States Secretary of Defense,0.3471,Agent,Mexico City,0.2679,Place,,,
17,foxbasic,0.2,0.0,Donald Trump,0.39144975,PERSON,White House,0.16397269,PERSON,courts,0.06959593,PERSON,ban,0.05655457,PERSON,refugees,0.05490922,PERSON,Case law,United States lawsuits,Lawsuits,Government,Courts,-1180642001,777,1616,1554,659,351142,17032,1755,47084,47084,26698,,,,,,,,,,,,,,,
18,cnnbasic,11.1,-0.1,Under Armour,0.4972253,ORGANIZATION,Steph Curry,0.1540863,ORGANIZATION,Trump,0.101748995,ORGANIZATION,Kevin Plank,0.058587495,ORGANIZATION,runner,0.016204018,ORGANIZATION,Under Armour,Donald Trump,"Nike, Inc.",Adidas,Sneakers,-1196157953,2667,4203,5334,663,929022,39523,4095,174807,174807,25943,Adidas,0.4416,Agent,Tom Brady,0.3945,Agent,"Nike, Inc.",0.3755,Agent,Basketball,0.3304,Activity,Golden State Warriors,0.3248,Agent
19,cnnbasic,22.6,-0.1,Trump Nordstrom,0.28729746,PERSON,Ivanka Trump,0.17095155,PERSON,White House,0.043560844,PERSON,Conway,0.031791788,PERSON,Conway,0.0221543,PERSON,Twitter,President of the United States,Ivanka Trump,Donald Trump,Ethics,-121945067,7187,10044,14374,659,2701253,103325,13722,445959,445959,39119,Donald Trump,0.7103,Agent,George W. Bush,0.7089,Agent,Twitter,0.7012,Work,Citizens for Responsibility and Ethics in Washington,0.6877,Agent,Republican Party (United States),0.6089,Agent
20,reutersbasic,3.5,0.0,Donald Trump,0.2839977,PERSON,facts,0.11508919,PERSON,novel,0.04918933,PERSON,George Orwell,0.049077682,PERSON,bestseller,0.03835916,PERSON,Donald Trump,George Orwell,Politics,Doublethink,Twitter,-1258972551,1754,3177,3508,654,563320,25842,4557,100640,100640,27936,Donald Trump,0.4814,Agent,Twitter,0.4054,Work,George Orwell,0.397,Agent,CNN,0.3814,Agent,American Civil Liberties Union,0.3043,Agent
21,foxbasic,7.9,-0.3,order,0.23279862,OTHER,Donald Trump,0.18212996,OTHER,ban,0.10174717,OTHER,Opponents,0.05522391,OTHER,Virginia,0.02078454,OTHER,Donald Trump,President of the United States,Lawyer,Lawsuit,Supreme Court of the United States,-1277859136,5100,7762,10200,661,2071882,96211,10554,312023,312023,41434,Janet Napolitano,0.711,Agent,Bill Clinton,0.6928,Agent,Supreme Court of the United States,0.687,Place,Lawsuit,0.6797,,John Kerry,0.6384,Agent
22,foxbasic,9.0,0.0,Neil Gorsuch,0.29708454,PERSON,Supreme Court Justice,0.093229815,PERSON,judges,0.054674804,PERSON,Congress,0.044262376,PERSON,Judge,0.03656979,PERSON,Supreme Court of the United States,Judiciary,United States Congress,Law of the United States,Judge,-1306087401,5782,6902,11564,649,2423200,69363,14112,330386,330386,30622,Antonin Scalia,0.8606,Agent,Supreme Court of the United States,0.8575,Place,Judiciary,0.8065,,United States Congress,0.8018,Place,Lawyer,0.696,
23,reutersbasic,7.3,0.2,Donald Trump,0.30890363,PERSON,Vladimir Putin,0.22829844,PERSON,Jens Stoltenberg,0.056975126,PERSON,NATO,0.05230659,PERSON,phone call,0.035504706,PERSON,Donald Trump,Vladimir Putin,NATO,Ukraine,Jens Stoltenberg,-1308339223,2157,3860,4314,654,704530,57169,3862,138538,138538,40921,Marco Rubio,0.7566,Agent,NATO,0.7062,Agent,Vladimir Putin,0.6973,Agent,Mitch McConnell,0.6572,Agent,Ukraine,0.6207,Place
24,foxbasic,4.9,0.1,Anton Zaslavski,0.5322312,PERSON,spring fundraising concert,0.061631475,PERSON,Donald Trump,0.041725278,PERSON,travel ban,0.03700638,PERSON,concert,0.023286108,PERSON,Zedd,Music,Popular music,Music industry,Performing arts,-1324042044,2340,4486,4680,643,843032,30508,5312,144024,144024,27139,Zedd,0.4723,MusicalArtist,American Civil Liberties Union,0.456,Agent,Electronic dance music,0.3743,MusicGenre,Grammy Award,0.3571,Award,Hip hop music,0.3318,MusicGenre
25,reutersbasic,4.0,-0.3,Donald Trump,0.3719263,PERSON,Neil Gorsuch,0.15205432,PERSON,appeals court judge,0.08438589,PERSON,Gorsuch.Schumer,0.07613391,PERSON,Supreme Court,0.040241167,PERSON,Donald Trump,Chuck Schumer,Democratic Party (United States),Republican Party (United States),Supreme Court of the United States,-1339706525,3471,4287,6942,652,1511896,64097,6414,194929,194929,32718,United States Constitution,0.7245,,Donald Trump,0.6313,Agent,Republican Party (United States),0.5959,Agent,Democracy,0.5756,,Chuck Schumer,0.5577,Agent
26,cnnbasic,11.1,-0.1,White House,0.09354568,ORGANIZATION,President,0.09327739,ORGANIZATION,Donald Trump,0.06173325,ORGANIZATION,President,0.035898577,ORGANIZATION,democracy,0.03236269,ORGANIZATION,President of the United States,Donald Trump,Politics,Government,Law,-135804110,3152,3841,6304,651,1368404,23844,6520,206959,206959,32579,Harry S. Truman,0.5574,Agent,Donald Trump,0.5034,Agent,Democracy,0.4059,,,,,,,
27,cnnbasic,6.1,-0.2,Bashar al-Assad,0.4707862,PERSON,ISIS.,0.09479708,PERSON,US,0.03201598,PERSON,government,0.027849147,PERSON,rhetoric,0.02393793,PERSON,Bashar al-Assad,Islamic State of Iraq and the Levant,Syria,Politics of the Middle East,Diplomacy,-1364770017,3553,5071,7106,653,1317468,52987,9331,211745,211745,43351,Bashar al-Assad,0.9994,Agent,Al-Nusra Front,0.8599,Agent,Islamic State of Iraq and the Levant,0.7766,Place,Syria,0.6279,Place,Al-Qaeda,0.5232,
28,cnnbasic,8.5,0.0,France,0.226022,LOCATION,Donald Trump,0.09827123,LOCATION,European,0.06872563,LOCATION,many,0.029123304,LOCATION,politicians,0.028259404,LOCATION,France,Immigration,Opposition to immigration,Donald Trump,Europe,-1368921458,6222,10100,12444,652,2144256,107524,13270,377416,377416,39725,Brexit,0.7918,,Marine Le Pen,0.7784,Agent,France,0.6615,Place,United Kingdom,0.6015,Place,Immigration,0.5898,
29,reutersbasic,7.0,-0.2,Chinese,0.17641138,ORGANIZATION,foreign exchange reserves,0.046529256,ORGANIZATION,foreign exchange reserves,0.041665934,ORGANIZATION,stocks,0.02985737,ORGANIZATION,euro,0.02985737,ORGANIZATION,World oil market chronology from 2003,Foreign exchange market,Foreign-exchange reserves,Economics,Finance,-1375511473,3883,6404,7766,663,1245074,99498,7723,241453,241453,30717,Euro,0.7249,Currency,Foreign-exchange reserves,0.6746,,Marine Le Pen,0.6209,Agent,Singapore,0.5947,Place,United States,0.5586,Place
30,foxbasic,2.6,-0.1,Trump,0.25281245,PERSON,appellate court,0.13474095,PERSON,Lawyers,0.07008445,PERSON,United States,0.049336858,PERSON,ban,0.022203822,PERSON,Donald Trump,Twitter,Brief (law),United States,Mike Pence,-1404872049,2662,4603,5324,659,1217914,61833,4477,168330,168330,36581,Mike Pence,0.6682,Agent,Twitter,0.5771,Work,United States courts of appeals,0.5458,,United States Department of Homeland Security,0.5097,Agent,Islamic terrorism,0.467,
31,reutersbasic,1.1,-0.3,John Bercow,0.26343426,PERSON,Donald Trump,0.2148102,PERSON,lawmakers,0.07938448,PERSON,address,0.01981846,PERSON,parliament,0.019171795,PERSON,Palace of Westminster,Donald Trump,Immigration,Speaker of the House of Commons (United Kingdom),Public sphere,-140836785,2417,3724,4834,655,904794,48607,6587,139722,139722,33228,Palace of Westminster,0.6379,Place,Theresa May,0.5992,Agent,Charles de Gaulle,0.5673,Agent,Nelson Mandela,0.5007,Agent,Immigration,0.4999,
32,foxbasic,4.7,0.0,Iranian,0.30199832,LOCATION,Trump,0.16948232,LOCATION,Islamic Republic,0.05920492,LOCATION,agreements,0.05583102,LOCATION,Deal,0.033184875,LOCATION,Joint Comprehensive Plan of Action,Iran,Nuclear weapon,Donald Trump,Politics,-142376964,6073,8841,12146,659,2506481,122756,14008,383255,383255,39628,Joint Comprehensive Plan of Action,1.0,,Nuclear program of Iran,1.0,Place,Benjamin Netanyahu,0.8228,Agent,Barack Obama,0.6698,Agent,Central Intelligence Agency,0.6645,Place
