Product_Dimensions,Shipping_Weight,avg_rating,reviews_url,ASIN,product_title,2_star,3_star,list_price,1_star,in_stock,Customer_Reviews,category,description,num_reviews,shipping,5_star,num_questions,sale_price,url,4_star,Item_model_number
5.3 x 5.9 x 3.9 inches,1.8 pounds (,4.1 out of 5 stars,https://www.amazon.com/Lineon-Colors-Adult-Coloring-Markers/product-reviews/B01M0F4U2S/ref=cm_cr_dp_qt_see_all_top/158-5756566-3215318?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,B01M0F4U2S,"Lineon 108 Colors Gel Pens,Gel Pen Set for Adult Coloring Books Art Markers",7%,8%,$69.99,10%,In Stock.,4.1 out of 5 stars,"Arts, Crafts & Sewing","Lineon gel pens with 108 unique colors, are ideal for adult coloring books.. Long lasting and durable tips also provide smooth writing for coloring, doodling and drawing. Non-toxic, acid free.. Assorted color types in one pack: Glitter, neon glitter, metallic, neon, pastel, swirl and standard.. Simple but classic packing way saves space for storing and easy for using.. 100% Satisfaction Guarantee. We will handle and solve all the product' problems immediately for you. If it's still unsatisfactory we will provide full refund.. ",85,"Fast, FREE Shipping",54%,7 answered questions,,https://www.amazon.com/Lineon-Colors-Adult-Coloring-Markers/dp/B01M0F4U2S?_encoding=UTF8&psc=1,21%,GEL PENS 018
,,,,,,,,,,,,,,,,,,,https://www.amazon.com/Clover-806-Shiro-Tape-Measure/dp/B000YZAO2K?_encoding=UTF8&psc=1,,
,,4.5 out of 5 stars,https://www.amazon.com/MAGNASONIC-Professional-Ultrasonic-Eyeglass-MGUC500/product-reviews/B007Q2M17K/ref=cm_cr_dp_qt_see_all_top/151-2920184-7815555?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,,MAGNASONIC Professional Ultrasonic Jewelry and Eyeglass Cleaner With Digital Timer MGUC500,3%,4%,,4%,In Stock.,,"Clothing, Shoes & Jewelry",,"2,393","Fast, FREE Shipping",70%,306 answered questions,,https://www.amazon.com/MAGNASONIC-Professional-Ultrasonic-Eyeglass-MGUC500/dp/B007Q2M17K?_encoding=UTF8&psc=1,19%,
,,,,,,,,,,,,,,,,,,,https://www.amazon.com/Pro-18-Piece-Sketch-Draw-Pencil/dp/B000HTBBO8?_encoding=UTF8&psc=1,,
14 x 13 x 0 inches,7 ounces (,4.7 out of 5 stars,https://www.amazon.com/Cricut-Cutting-Standard-12x12-Inch-2-Pack/product-reviews/B00BSK750Y/ref=cm_cr_dp_qt_see_all_top/166-9906891-4748212?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,B00BSK750Y,"Provo Craft Cricut Cutting Mats, Standard Grip, 12x12-Inch, 2-Pack",2%,4%,,3%,In Stock.,4.7 out of 5 stars,"Arts, Crafts & Sewing","Works with the Cricut Explore machine, Cricut Expression machine, and Cricut Expression 2 machine. Includes two 12"" x 12"" Standard Grip adhesive cutting mats. To ensure best performance, use the recommended material types on each of the mats: Cardstock, Pattern Paper, Embossed Cardstock, Iron-on and Vinyl. Keep the clear film cover on the mat when storing to keep mat free from paper scraps and dust. Use the scraper to scrape away excess pieces and the spatula to carefully remove cut images. ","1,892","Fast, FREE Shipping",83%,60 answered questions,$10.22,https://www.amazon.com/Cricut-Cutting-Standard-12x12-Inch-2-Pack/dp/B00BSK750Y?_encoding=UTF8&psc=1,8%,2001974
8 x 3.3 x 0.5 inches,0.3 ounces (,4.5 out of 5 stars,https://www.amazon.com/Heartybay-10Pieces-Round-Pointed-Nylon/product-reviews/B00V4EG6D6/ref=cm_cr_dp_qt_see_all_top/152-0112067-5598536?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,B00V4EG6D6,"Heartybay 10Pieces Round Pointed Tip Nylon Hair Brush Set, Blue",2%,8%,,3%,In Stock.,4.5 out of 5 stars,"Arts, Crafts & Sewing","WARRANTY & SUPPORT: Check seller name before purchasing! heartybay products must be sold by ""heartybay - Fulfilled by Amazon"" or ""heartybay"". Warranty from heartybay. Feel free to contact us at any time :). This acrylic artist paint brush set contains 10 sizes: 5/8 8 6 4 5 3 2 2 1 2/0.. Length:16.5cm~18.5cm(6.5~7.3 inches). High-quality material,excellent workmanship, attractive packaging, the achievements of this professional grade quality brushes!Good idea as gifts for beginners, kids and artists or own use for Watercolor Oil, Acrylic Painting / Body, Nail, Face Painting / Miniature, Ceramic, Model, Leather, Gesso, Craft Art Painting, etc.. Note: Due to the difference between different monitors, the picture may not reflect the actual color of the item. Thank you!. ",578,"Fast, FREE Shipping",71%,40 answered questions,$5.98,https://www.amazon.com/Heartybay-10Pieces-Round-Pointed-Nylon/dp/B00V4EG6D6?_encoding=UTF8&psc=1,16%,H-P45
0.5 x 9.2 x 12 inches,1.4 pounds (,4.8 out of 5 stars,https://www.amazon.com/Strathmore-400-Sketch-Pads-12/product-reviews/B0027A39PY/ref=cm_cr_dp_qt_see_all_top/151-9646313-2648007?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,B0027A39PY,Strathmore Series 400 Sketch Pads 9 in. x 12 in. - pad of 100,1%,3%,$12.89,1%,In Stock.,4.8 out of 5 stars,"Arts, Crafts & Sewing",. . All-purpose paper intended for experimentation or perfecting techniques. Includes 100 sheets of paper. 60-pound weight paper. Lightly textured. ,"1,139","Fast, FREE Shipping",84%,47 answered questions,$8.72,https://www.amazon.com/Strathmore-400-Sketch-Pads-12/dp/B0027A39PY?_encoding=UTF8&psc=1,11%,STR-455-3
,"Amazon only ships this item within the contiguous 48 United States. Other Sellers on Amazon may ship this item to Alaska, Hawaii and US Territories.",4.7 out of 5 stars,https://www.amazon.com/Elmers-Glue-All-Multi-Purpose-Liquid-Strong/product-reviews/B0038DZZJC/ref=cm_cr_dp_qt_see_all_top/168-8275644-7823267?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,B0038DZZJC,"Elmer's Glue-All Multi-Purpose Liquid Glue, Extra Strong, 1 Gallon, 1 Count",2%,1%,,2%,Available from these sellers.,4.7 out of 5 stars,Office Products,". . Bonds to paper, fabric, wood, ceramics, leather, and more. Safe, non-toxic, and quick-drying formula. Perfect for crafts, repairs, and projects. Ideal for use in the kitchen, workshop, den, and garage. Great for creating slime at home or in the classroom!. ",382,,88%,34 answered questions,,https://www.amazon.com/Elmers-Glue-All-Multi-Purpose-Liquid-Strong/dp/B0038DZZJC?_encoding=UTF8&psc=1,7%,
,,4.2 out of 5 stars,https://www.amazon.com/Resealable-Cellophane-Bakery-Candle-UNIQUEPACKING/product-reviews/B018HFT6TK/ref=cm_cr_dp_qt_see_all_top/153-2532477-5285213?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,,"100 Pcs 4x6 Clear Resealable Cello / Cellophane Bags Good for Bakery, Candle, Soap, Cookie (by UNIQUEPACKING)",5%,6%,,10%,,,"Arts, Crafts & Sewing",,176,"Fast, FREE Shipping",70%,13 answered questions,$4.86,https://www.amazon.com/Resealable-Cellophane-Bakery-Candle-UNIQUEPACKING/dp/B018HFT6TK?_encoding=UTF8&psc=1,9%,
15.2 x 10.8 x 1.8 inches,10.4 ounces (,4.3 out of 5 stars,https://www.amazon.com/Sargent-Art-Coloring-Assorted-22-7251/product-reviews/B0027PA1AU/ref=cm_cr_dp_qt_see_all_top/151-7304538-0146319?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,B0027PA1AU,"Sargent Art Premium Coloring Pencils, Pack of 50 Assorted Colors, 22-7251",6%,10%,,4%,In Stock.,4.3 out of 5 stars,,"For ages 3+, Thick 3.3 millimeter leads. 50 Colored Pencils for artists and illustrators of all ages. Subtle colors with a variety of shade and hue variations.. AP Certified. Features color coordinated barrels matching each lead. ","2,946",FREE Shipping,61%,60 answered questions,$6.12,https://www.amazon.com/Sargent-Art-Coloring-Assorted-22-7251/dp/B0027PA1AU?_encoding=UTF8&psc=1,19%,22-7251
